,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,10,Not much to see here all buildings are empty and look the same,0,much,여기에서 볼 것이 많지 않습니다 모든 건물이 비어 있고 똑같이 보입니다.
1,1,1,20,A cultural landmark that needs to be visited when in Seoul I havent been to any of the other royal palaces in Seoul so I cant compare but we thought this place was great and not crowded we visited a weekday in May Ive been here before and then it was much more crowded but even then it felt like there were plenty of space for everyone You should probably combine this with the Secret Garden but unfortunately we didnt have the time I recommend this place,1,much,서울에있을 때 방문해야 할 문화 랜드 마크 나는 서울의 다른 왕궁에 가본 적이 없어서 비교할 수 없지만 우리는이 장소가 훌륭하고 혼잡하지 않다고 생각했습니다. 우리는 5 월 평일에 방문했습니다. 훨씬 더 혼잡했지만 모든 사람들을위한 충분한 공간이있는 것처럼 느껴졌습니다. 이것을 Secret Garden과 결합해야하지만 불행히도 시간이 없었습니다.이 장소를 추천합니다.
2,2,2,30,A wonderful palace to visit when you come to Seoul It is a lot less busy than Gyeongbokgung Palace which makes your visit to it seem a lot more personal and intimate Whilst here you can marvel at the architecture of the palace and its surrounding buildings or take a stroll through the many gardens and paths or relax at the lake There is so much to do in this place and I recommend you spend a minimum 2 hours here to fully appreciate it Would love to come back here,2,much,서울에 오면 방문하기 좋은 궁궐 경복궁보다 훨씬 덜 붐비므로 방문하는 것이 훨씬 더 개인적이고 친밀해 보입니다. 이곳에서 궁궐과 주변 건물의 건축 양식에 감탄하거나 사진을 찍을 수 있습니다. 많은 정원과 길을 산책하거나 호수에서 휴식
3,3,3,57,It was a really nice afternoon sadly the secret garden was closed apparently you had to prebook tickets which we were unaware of the sign said for covid but I met a person the next day who said she went the same day and possibly time as us so prebook those tickets if you want to see the gardens For the rest of it I thought is was much more beautiful than Gyeongbokgun Palace but it did seem a bit smaller Well worth the visit if youre in Seoul,3,much,슬프게도 비밀 정원이 문을 닫은 것은 정말 좋은 오후였습니다. 분명히 당신은 우리가 covid에 대해 말한 표시를 알지 못하는 티켓을 사전 예약해야했지만 다음 날 그녀가 우리와 같은 날 그리고 아마도 우리와 같은 시간에 갔다고 말한 사람을 만났습니다. 정원을보고 싶다면 그 티켓을 나머지는 경복궁보다 훨씬 더 아름답다고 생각했지만 조금 작아 보였습니다. 서울에 있다면 방문할만한 가치가 있습니다.
4,4,4,90,"Stunning palace. I have a lot of time in Seoul and Korea so going to see all the palaces. If your time is limited, definitely do this one. Time your visit accordingly with the mandatory guided tour of the Secret Garden. Annoyingly they appear to change timings so check online the day before your visit. I got there at 09:00 when they opened. I was the first person inside. I walked around the palace grounds myself for just over an hour and then did the English guided Secret Garden tour at 10:30 which finished around noon. Lasts about one and a half hours. You can leave the tour after fifty minutes as the last part is quite a bit of walking including uphill. For most of us it is fine but others were struggling with the heat even though it was early and parts of it are uphill so be mindful. I spent in total three hours there. Separate ticket for the palace and Secret Garden. They do have guided tours of the palace itself but to be honest, you can easily do this yourself. They give you a booklet plus there are information boards. Suggest going early as soon as it opens. It was beautiful and peaceful and you could freely walk around and enjoy the setting, also getting some good photographs. When I left at noon, it was much busier. Grounds are clean and well laid out. The palace was stunning. I loved the details of the doors and the architecture. There is a cafe and what appeared to be an art or souvenir shop on the premises. I didn't bother with it. Take water with especially if you are there for three hours like me. There are restrooms too. My thoughts. The Secret Garden is apparently the highlight. Whilst this was nice, I think the weather will contribute towards your experience. We had a lovely day and the sun shining with the reflection on the water and the colours of the leaves made the gardens look very pretty. However, we can't control the weather and I would suggest thinking about this if you have a day with bad weather. Parts of the garden were nice but other parts started to look the same. I started to get bored as did a lot of the group. I was glad I went though. The guide was difficult to understand (although the tour was in English) but there are information boards as well along the route which also provide useful facts. They limit the number of people on the tour so purchase a ticket as soon as you arrive.",4,much,"멋진 궁전. 나는 서울과 한국에 시간이 많아서 모든 궁궐을 보러 갑니다. 시간이 제한되어 있다면 반드시 이 작업을 수행하십시오. Secret Garden의 필수 가이드 투어에 따라 방문 시간을 정하십시오. 짜증나게도 그들은 시간을 변경하는 것처럼 보이므로 방문 전날 온라인으로 확인하십시오. 오픈시간인 09:00에 도착했어요. 나는 그 안에 있는 첫 번째 사람이었다. 나는 1시간 조금 넘게 궁궐 주변을 걷다가 정오쯤 끝난 10시 30분에 영국식 시크릿 가든 투어를 했다. 약 1시간 30분 동안 지속됩니다. 마지막 부분은 오르막을 포함하여 꽤 걸어야 하므로 50분 후에 투어를 떠날 수 있습니다. 우리 대부분은 괜찮지만 다른 사람들은 이른 시간임에도 불구하고 더위와 고군분투하고 있습니다. 나는 거기에서 총 3시간을 보냈다. 궁전과 시크릿 가든은 별도의 티켓입니다. 그들은 궁전 자체에 대한 가이드 투어를 제공하지만 솔직히 말해서 혼자서 쉽게 할 수 있습니다. 그들은 당신에게 소책자와 정보 게시판을 제공합니다. 열리면 일찍 가시는 것이 좋습니다. 그것은 아름답고 평화로웠고 자유롭게 걸으며 배경을 즐기고 좋은 사진을 찍을 수 있었습니다. 정오에 출발했을 때는 훨씬 더 바빴다. 부지가 깨끗하고 잘 정돈되어 있습니다. 궁전은 충격적이었다. 나는 문과 건축물의 세부 사항을 좋아했습니다. 구내에는 카페와 예술품이나 기념품 가게로 보이는 것이 있습니다. 나는 그것을 귀찮게하지 않았다. 특히 나처럼 3시간 동안 그곳에 있다면 물을 가지고 가십시오. 화장실도 있습니다. 내 생각. 시크릿 가든이 하이라이트인 것 같습니다. 이것은 좋았지 만 날씨가 당신의 경험에 기여할 것이라고 생각합니다. 우리는 멋진 하루를 보냈고 태양은 물에 반사되어 빛나고 나뭇잎의 색은 정원을 매우 아름답게 만듭니다. 하지만 우리는 날씨를 제어할 수 없으며, 날씨가 좋지 않은 날이라면 이 점을 고려하는 것이 좋습니다. 정원의 일부는 멋졌지만 다른 부분은 똑같이 보이기 시작했습니다. 나는 많은 그룹이 그랬던 것처럼 지루해지기 시작했다. 그래도 가길 잘했다. 가이드는 이해하기 어려웠지만(투어는 영어로 진행되었지만) 경로를 따라 유용한 정보를 제공하는 정보 게시판도 있습니다. 투어 인원이 제한되어 있으므로 도착하자마자 티켓을 구매하세요."
5,5,5,91,"In this park is a large collection of, mostly repaired and rebuild ancient historical buildings, excellent to learn about Korea's history, Very much worth the visit!",5,much,이 공원에는 한국의 역사에 대해 배울 수 있는 훌륭한 고대 역사적 건물이 대부분 수리 및 재건된 대규모 컬렉션이 있습니다. 방문할 가치가 있습니다!
6,6,6,108,"Set within a large park, accessible by subway, bus or tour, this Prospering Virtue Palace was built during the Joseon Dynasty. It served as the main palace for nearly 270 years following its destruction during the Japanese invasion and its subsequent rebuilding. A visitor may note that one building in particular, the Seonjeongjeon Hall is the only building featuring a tiled blue roof. There indeed is a love story to the history of this exquisite and beautiful palace, yet I shall leave that for the visitor to enjoy on their visit.  One detail in particular that distinguishes this palace from other palaces of the Joseon Dynasty is the palace gardens, and I am already planning my return trip to behold the “Quintessence of Joseon-era Landscaping” in spring or summer, to step where Kings and Queens strolled, relaxed, and perhaps engaged in sericulture. To truly savor visiting the Changdeokgung Palace I need to walk its gardens, valleys, pavilions and behold the lotus ponds and then see the Palace from otherwise hidden views. The Secret Garden occupies more than half of the entirety of Changdeokgung Palace, and I am delighted to plan my return to see the views from the Buyongji Pond and Juhamnu Pavilion, Aeryeonji Pond and Uiduhap, the New Seonwonjeon (New Royal Shrine) and so much more.  In the meantime I hope you enjoy my photographs of Changdeokgung Palace.  Please note that the admission to the Changdeokgung Palace is separate from the admission to the Secret Garden and, at least as of this writing, there is (but verify this) a Royal Palace Pass valid for 3 months from the purchase date, which includes admission to the Changdeokgung Palace and the Secret Garden; the Gyeongbokgung Palace; the Changgyeonggung Palace; the Deoksugung Palace; and the Jongmyo Shrine.",6,much,"지하철, 버스 또는 투어로 갈 수 있는 큰 공원 내에 위치한 이 번영하는 미덕은 조선 왕조 시대에 지어졌습니다. 임진왜란 때 파괴되고 재건된 후 거의 270년 동안 본궁으로 사용되었습니다. 방문객들은 특히 한 건물인 선정전이 유일한 파란색 기와지붕이라는 사실을 알 수 있습니다. 이 절묘하고 아름다운 궁전의 역사에는 참으로 사랑 이야기가 있지만 방문객이 방문할 때 즐길 수 있도록 남겨 두겠습니다. 특히 이 궁궐을 다른 조선 궁궐과 구별짓는 부분은 궁궐 정원인데, 벌써 봄이나 여름에 '조선조경의 정수'를 보고 왕과 왕비가 있는 곳으로 돌아오는 여행을 계획하고 있다. 산책하고, 편안하게 쉬며, 아마도 양잠에 종사했을 것입니다. 창덕궁 방문을 진정으로 즐기려면 정원, 계곡, 정자를 거닐고 연꽃 연못을 본 다음 숨겨진 전망에서 궁전을 봐야 합니다. 비밀정원은 창덕궁 전체 면적의 절반 이상을 차지하고 있으며, 부용지와 주함루, 애련지와 의두합, 신선원전 등 많은 전망을 보기 위해 다시 돌아오도록 계획하게 되어 기쁩니다. 더. 그동안 창덕궁에서 찍은 사진을 즐겨주시기 바랍니다. 창덕궁 입장은 비밀의 정원 입장과 별개이며, 최소한 이 글을 쓰는 시점에는 구매일로부터 3개월 동안 유효한 왕궁 패스(입장 포함)가 있습니다. 창덕궁과 비밀의 정원으로; 경복궁; 창경궁; 덕수궁; 그리고 종묘."
7,7,7,111,"From Anguk subway station, head east from Exit 3, and you will find the entrance to the palace. Admission was reasonable at 3,000 won. You get to see the Throne Hall, with the impressive king's chair. Other than that, a lot was under repair, and you don't get to access the King's residence building, so not much to see. We didn't know how or if you could access the Queen's residence building (behind the King's residence building)... so overall, we didn't get to see much; however, the ones we saw were well preserved.",7,much,"지하철 안국역 3번출구에서 동쪽으로 가면 궁궐 입구가 나옵니다. 입장료는 3,000원으로 합리적이었습니다. 인상적인 왕의 의자가 있는 왕좌의 홀이 보입니다. 그 외에 많은 부분이 수리 중이었고 왕의 거주 건물에 액세스 할 수 없으므로 볼 것이 많지 않습니다. 우리는 어떻게 또는 당신이 여왕의 거주 건물(왕의 거주 건물 뒤)에 접근할 수 있는지 몰랐습니다... 그래서 전반적으로 우리는 많이 볼 수 없었습니다. 그러나 우리가 본 것들은 잘 보존되었습니다."
8,8,8,121,"Historically palace, if you wearing hanbok , you get to enter for free because Koreans care much about their traditions. Very impressed.",8,much,역사적으로 궁궐은 한복을 입으면 무료로 입장할 수 있는 한국인들이 전통을 중시하기 때문입니다. 매우 감동.
9,9,9,131,"Visited the palace first before Gyeongbokgung. Read reviews that this palace was designed to be in harmony with the environment and after arriving there, it can be observed as to how it is. For a Palace, it is certainly not imposing as the Gyeongbokgung one and certainly no surprise why many princes chose to have their palace here. Unfortunately, I did not follow any guided tour for the front part if the palace, thus may have missed much interesting snippets.  However the guided tour to the ""Secret Garden"" is a must. Only entered with a guided tour, they are conducted at different times for different languages. I say it's a must so when you visit, u can imagine how the palace designers have made much effort to be a environmentally harmonious building. Do make a point to visit it.",9,much,"경복궁보다 먼저 궁궐을 찾았다. 이 궁전은 환경과 조화를 이루도록 설계되었다는 리뷰를 읽고 그곳에 도착하면 어떤 모습인지 관찰할 수 있습니다. 궁의 경우 경복궁처럼 위풍당당하지 않으며 많은 왕자들이 이곳을 궁궐로 선택한 것도 놀라운 일이 아닙니다. 불행히도 궁전의 경우 앞 부분에 대한 가이드 투어를 따르지 않았기 때문에 많은 흥미로운 스니펫을 놓쳤을 수 있습니다. 그러나 ""비밀의 정원""으로의 가이드 투어는 필수입니다. 가이드 투어로만 입장하며 언어별로 다른 시간에 진행됩니다. 꼭 가봐야 하는 곳이라 궁전 디자이너들이 환경적으로 조화로운 건물이 되기 위해 얼마나 많은 노력을 했는지 상상이 가실 겁니다. 그것을 방문하는 포인트를 만드십시오."
