,Unnamed: 0.1,index,Unnamed: 0,경복궁부정단어리뷰,index.1,단어,번역
0,0,0,151,"This is the largest palace complex in Seoul. Its history is very interesting! The palace is in reality a reconstruction; the original palace was burned and demolished by the Japanese during their occupation of Korea last century. The restoration of the palace is quite good. Unfortunately, most rooms are empty as their contents disappeared. Only the library in the back of the palace is original and its content is well-preserved. It still works as a public library. The floors, colors, roofs, and windows are original.  Some tips:  1. If you plan to stay in Seoul for at least four or five days and want to learn on the rich past of Korea, you should start you visit here.  2. You may spent the whole day visiting the palace grounds. It is quite relaxing, very well-kept, large, magical. There is a traditional, small tea shop within the palace where you can refresh drinking a delicious Korean tea in a Korean atmosphere.  3. Bathrooms are located in different places. They are impeccable.  4. Buy the ticket that covers all palaces. It is cheap. It last for several days. It will give you access to three other palaces (Two are close by), the secret garden (beautiful place), and the Jongmyo sanctuary. All are UNESCO sites. The sanctuary is far away and you need to take the metro. The palaces and the gardens are walking distance. This is why you need at least 2, (ideally 3 days) to visit all these sites.  5. If your interest is in in the rich past of Seoul ( Joseon period), the ticket is perfect. Look for a hotel in this area. Seoul is very big and crowded. Traffic is hectic and distances are enormous.  6. If you rent a Hanbok (Traditional Korean clothing) you will have free access to the palace. This is nice as it will make you feel more local and the pictures could be lovely. However, keep in mind that clothing is heavy and hot. We were there in September of 2019. It was a warm and humid day. It was not too hot. However, people wearing Hanboks shortened their visit because of how hot and wet they felt.  7. See the change of guards. We saw it at noon. It is a colorful symbolic, short ceremony. No many tourists; people behaved really well.  8. After finishing your visit, go to Insa Dong for dinner and shopping. It is really nice and relaxing. It takes 10-15 minutes to get to Insa Dong (walking distance). You may have ice cream midway.",0,empty,"이것은 서울에서 가장 큰 궁전 단지입니다. 그 역사는 매우 흥미 롭습니다! 궁전은 실제로 재건축입니다. 원래의 궁전은 지난 세기에 일본이 한국을 점령하는 동안 불타서 파괴되었습니다. 궁전의 복원은 꽤 좋습니다. 불행히도 대부분의 방은 내용이 사라져 비어 있습니다. 왕궁 뒤편에 있는 도서관만 원본이며 그 내용이 잘 보존되어 있습니다. 여전히 공공 도서관으로 작동합니다. 바닥, 색상, 지붕 및 창은 원본입니다. 몇 가지 팁: 1. 적어도 4박 5일 동안 서울에 머물 계획이고 한국의 풍부한 과거에 대해 배우고 싶다면 여기를 방문하는 것이 좋습니다. 2. 하루 종일 궁전 경내를 방문할 수 있습니다. 그것은 매우 편안하고 잘 관리되고 크고 마술적입니다. 한국적인 분위기에서 맛있는 한국차를 마시며 상쾌한 시간을 보낼 수 있는 궁궐 안에는 전통적인 작은 찻집이 있습니다. 3. 욕실은 다른 장소에 있습니다. 그들은 완벽합니다. 4. 모든 궁전을 포함하는 티켓을 구입하십시오. 그것은 저렴합니다. 며칠 동안 지속됩니다. 그것은 당신에게 세 개의 다른 궁전(두 개는 가까이에 있음), 비밀 정원(아름다운 장소) 및 종묘에 접근할 수 있게 해줍니다. 모두 유네스코 사이트입니다. 성소는 멀고 지하철을 타야합니다. 궁전과 정원은 도보 거리에 있습니다. 그렇기 때문에 이 모든 사이트를 방문하려면 최소 2일(이상적으로는 3일)이 필요합니다. 5. 서울의 풍요로운 과거(조선시대)에 관심이 있다면 티켓이 딱이다. 이 지역에서 호텔을 찾으십시오. 서울은 매우 크고 혼잡합니다. 교통체증이 심하고 거리가 엄청납니다. 6. 한복을 대여하면 궁궐에 무료로 입장할 수 있습니다. 이것은 당신을 더 현지화하고 사진을 사랑스럽게 만들 수 있기 때문에 좋습니다. 그러나 옷은 무겁고 뜨겁습니다. 우리는 2019년 9월에 그곳에 있었습니다. 따뜻하고 습한 날이었습니다. 너무 덥지 않았습니다. 그러나 한복을 입은 사람들은 덥고 습한 느낌 때문에 방문 시간을 단축했습니다. 7. 경비원의 교대식을 보십시오. 우리는 정오에 그것을 보았다. 다채롭고 상징적인 짧은 의식입니다. 많은 관광객이 없습니다. 사람들은 정말 잘 행동했습니다. 8. 관광을 마치고 인사동으로 이동하여 저녁식사 및 쇼핑. 정말 멋지고 편안합니다. 인사동까지 도보로 10~15분 소요됩니다. 중간에 아이스크림을 먹을 수도 있습니다."
1,1,1,155,"Highly recommended to visit Gyeongbokgung Palace at 9am as it’s quite empty, not many tourists yet. The Palace is very interesting with long history. There is a security guards gate change performance at 10am and it’s free. Anyway, the palace is closed on Tuesday. It's very convenient to visit as it's located in the heart of Seoul.",1,empty,오전 9시에 경복궁을 방문하는 것이 좋습니다. 아직 관광객이 많지 않은 매우 비어 있습니다. 궁전은 오랜 역사와 함께 매우 흥미 롭습니다. 오전 10시에 경비원 게이트 체인지 공연이 있으며 무료입니다. 어쨌든 궁전은 화요일에 문을 닫습니다. 서울 한복판에 위치해 있어 방문하기 매우 편리합니다.
2,2,2,275,A beautiful palace that takes several hours to see properly. If you plan to visit any other palace or Jongymo Shrine buy the Combined Ticket as more cost effective. The Pavilions are especially lovely. There is no set way to go around and most buildings are empty (the Throne Room is partially furnished). If you hire a Hanbok (costume) entrance is free (depends on weather if you do this as they are not rain friendly).,2,empty,제대로 보려면 몇 시간이 걸리는 아름다운 궁전. 다른 궁궐이나 종이모를 방문할 계획이라면 통합 입장권을 구매하는 것이 더 저렴합니다. 파빌리온이 특히 아름답습니다. 돌아다녀도 정해진 길이 없고 대부분의 건물이 비어 있습니다(왕좌의 방은 부분적으로 가구가 비치되어 있습니다). 한복(의상)을 대여하면 입장료가 무료입니다(비가 내리지 않으므로 날씨에 따라 다름).
3,3,3,493,"A national treasure, but if you only visit one palace in Seoul, choose Changdeokgung Palace instead (I've left a review there, too). Gyeongokgung is gigantic, but in its current state feels empty. Actually, the museums inside were more interesting than the grounds themselves.",3,empty,"국보지만 서울에서 한 곳만 가신다면 창덕궁을 선택하세요(저도 후기 남겼어요). 경옥궁은 거대하지만 현재의 모습은 텅 비어 있다. 사실, 그 안에 있는 박물관은 그 자체보다 더 흥미로웠습니다."
4,4,4,672,The palace is very pretty. Not spectacular at all but very pretty and a nice place to kill some time. Went there today with my mother. It is packed and just empty shells of buildings. The highlight is the free folk art museum.  Never the less enjoyed this palace with what could be a tranquil setting all for the price of $3,4,empty,궁전은 매우 아름답습니다. 전혀 장관이 아니지만 매우 예쁘고 시간을 보내기에 좋은 곳입니다. 오늘 어머니와 함께 거기에 갔다. 그것은 포장되고 건물의 빈 껍질뿐입니다. 하이라이트는 무료 민속 미술관입니다. $ 3의 가격으로 고요한 설정이 될 수있는이 궁전을 결코 덜 즐겼습니다.
5,5,5,674,"This is a strange place. First of all it had been completely destroyed by the Japanese (and many times before) and they only started reconstructing it in the 1990s - so the entire thing is only about 20 years old (and they are still adding buildings) and completely empty. Secondly it looks like a small Korean copy of the forbidden city in Beijing. With this in mind it is still an interesting visit as it gives an idea how the original palace might have looked like, if you have only time for one place I would recommend Changdeokgung, which is more authentic and imho more beautiful.",5,empty,"이곳은 이상한 곳입니다. 우선 그것은 일본군에 의해 완전히 파괴되었고(그리고 그 이전에도 여러 번) 1990년대에야 재건을 시작했습니다. 따라서 전체 건물은 약 20년밖에 되지 않았고(그리고 여전히 건물을 추가하고 있음) 완전히 비어 있습니다. 둘째, 그것은 베이징에 있는 자금성의 작은 한국어 사본처럼 보입니다. 이를 염두에 두고 원래의 궁궐이 어떤 모습이었을지 짐작할 수 있어 여전히 흥미로운 방문입니다. 한 곳만 갈 시간이 있다면 더 정통하고 임호가 더 아름다운 창덕궁을 추천하고 싶습니다."
6,6,6,705,"The changing of the guards is worth seeing. It takes place in a massive empty square and the guards move around it, so you get good views of the whole thing. It's very colourful and makes for good pictures. Besides that, there is not much else to see besides the buildings, and the main gate.",6,empty,경비원의 변화는 볼 가치가 있습니다. 그것은 거대한 빈 광장에서 일어나고 경비원이 그 주위를 움직이므로 전체를 잘 볼 수 있습니다. 색상이 매우 다양하고 좋은 사진을 만듭니다. 그 외에 건물과 정문 외에는 볼 것이 별로 없습니다.
7,7,7,868,"Arrived here at 2 pm and very crowded because many visitors from locals and foreigner. Cost me 3000 Won per person (free of charge for people using hanbok). There's a guardian changing ceremony at 10 am and 2 pm. But it's not a real guardian, only some actor (but they do it very very serious and nice to watch).  This palace is very large, but never empty of visitors since it's the main palace. Oh good thing is this object provide free locker where we can put our bag. It's located near from the entrance.  Many people come here using hanbok (traditional clothes from Korea). Surely can take beautiful photos here.",7,empty,오후 2시에 이곳에 도착했는데 현지인과 외국인이 많이 방문하기 때문에 매우 붐볐습니다. 1인당 3000원(한복 이용시 무료). 오전 10시와 오후 2시에 보호자 교대식이 있습니다. 그러나 그것은 실제 보호자가 아니라 일부 배우일 뿐입니다(그러나 그들은 매우 진지하고 보기에 좋습니다). 이 궁전은 매우 크지만 메인 궁전이기 때문에 방문객이 결코 비어 있지 않습니다. 오 좋은 점은 이 물건이 우리 가방을 넣을 수 있는 무료 사물함을 제공한다는 것입니다. 입구에서 가까운 곳에 있습니다. 많은 사람들이 한복을 입고 이곳에 옵니다. 확실히 여기에서 아름다운 사진을 찍을 수 있습니다.
8,8,8,883,"Like many of sites in Seoul a lot of the place was destroyed by the Japanese, A lot has been rebuilt to the original architecture, Only down side 95% of the buildings are empty, so gets a bit boring just look at the outside walls which all have the same decor. On highlight is the changing of the place guard ceremony twice a day except Mondays, If you are over 65 take a copy of your passport or other proof of age as its free entry. We also found the last Wednesday of the Month was free. Expect to spend around 1.5 to 2 hours here",8,empty,서울의 많은 장소와 마찬가지로 많은 장소가 일본에 의해 파괴되었습니다. 많은 부분이 원래 건축물로 재건되었습니다. 건물의 아래쪽 면만 95%가 비어 있으므로 외부 벽을 보기만 해도 약간 지루해집니다. 모두 같은 장식을 가지고 있습니다. 하이라이트는 월요일을 제외하고 하루에 두 번 장소 경비대 교체 의식입니다. 65 세 이상인 경우 여권 사본 또는 기타 연령 증명을 무료 입장으로 가져 가십시오. 우리는 또한 그 달의 마지막 수요일이 무료라는 것을 알았습니다. 여기에서 약 1.5-2 시간을 보낼 것으로 예상됩니다.
9,9,9,1063,"If you have been to the Forbidden City in Beijing, you will be more tolerant of this rebuilt collection of buildings that is the Gyeongbokgung Palace. Some reviewers complain there isn't much to see here. But I guess it depends upon what your goals are.Yes, the buildings are mostly closed or empty. But the way the palace is built with exposure to weather with unheated buildings, it is understandable why they won't be full of ancient artifacts. You'll find those in museums nearby. I have been here probably five times going back over 30 years, and I never cease to find it a place to calmly reflect on Korea's ancient and interesting history as a keystone located in the heart of East Asia. Additionally, you will find two great museums within its boundary. A great place for leisurely walks and quiet thinking (except on Korean holidays!).",9,empty,"베이징의 자금성에 가본 적이 있다면 경복궁인 이 재건된 건물 모음에 더 관대할 것입니다. 일부 평론가들은 여기에 볼 것이 별로 없다고 불평합니다. 하지만 그것은 당신의 목표가 무엇인지에 달려 있다고 생각합니다.네, 건물은 대부분 폐쇄되거나 비어 있습니다. 그러나 난방이 되지 않는 건물로 날씨에 노출되어 궁전을 지은 방식을 보면 고대 유물로 가득 차 있지 않은 이유를 이해할 수 있습니다. 가까운 박물관에서 찾을 수 있습니다. 30여 년 전으로 거슬러 올라가면 아마 다섯 번은 갔을 텐데, 동아시아의 한복판에 위치한 종석으로서 한국의 고대 역사와 흥미로운 역사를 차분히 반성할 수 있는 곳을 끊임없이 찾고 있습니다. 또한 경계 내에 두 개의 훌륭한 박물관이 있습니다. 여유롭게 산책하고 조용히 생각하기에 좋은 곳입니다(한국 공휴일 제외!)."
