,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,49,"definitely don't go here in the winter. even going in march is not a smart move. i nearly lost my face when going on the rollercoasters, not from screaming but rather the ghastly icy wind gushing at my face. should seriously rethink going to any amusement attractions during winter!",0,think,확실히 겨울에 여기에 가지 마십시오. 행진에 가는 것조차 현명한 행동이 아닙니다. 나는 롤러코스터를 탈 때 비명을 지르지 않고 오히려 얼굴에 분출하는 무시무시한 얼음 바람에 얼굴을 거의 잃을 뻔했습니다. 겨울 동안 놀이기구에 가는 것을 진지하게 재고해야 합니다!
1,1,1,51,"I went to Seoul Land with my family. I think there's the amusement park part and the zoo part. We went to the zoo part. Actually we were planning to go to the amusement park but we went there by accident. Anyways, it didn't cost that much. There were many animals. It wasn't bad... I guess we had a good time.But I think I would go to the amusement park next time if I have a chance.",1,think,가족과 함께 서울랜드에 다녀왔습니다. 놀이동산 부분과 동물원 부분이 있는 것 같아요. 우리는 동물원 부분에 갔다. 사실 우리는 놀이동산에 가려고 했는데 우연히 갔다. 어쨌든 비용은 그렇게 많이 들지 않았습니다. 많은 동물들이 있었습니다. 나쁘지 않았어.. 잘 지냈나봐.하지만 다음에 기회가 된다면 놀이동산에 가보고 싶은 생각이 든다.
2,2,0,32,"Because of cold weather and small number of visitor, some rides are not operated. Parade and events were not lively compare to other season",2,small,추운 날씨와 적은 인원으로 인해 일부 놀이기구는 운영되지 않습니다. 퍼레이드와 이벤트는 다른 시즌에 비해 활기가 없었습니다.
3,3,1,48,"Just went there today with my 2 children aged 10 and 8. It's a pretty interesting park with an amusement park in one section, the zoo in another. Had already read the comments on the zoo and no one mentioned that entrance into the zoo required cash or a korean card. I wanted to buy a package that included the sky lift (which was awesome!) and tram and zoo entrance with my canadian credit card and they said that the zoo entrance fee could not be paid by my credit card. The tram and skylift were separate and went through ok. There was one ATM machine but it does not work with north american cards. Zoo was ok. Yes the enclosures seemed small compared to our zoos. I can't comment on the animals. We have a world renowned zoo at home and they were all doing the same thing...sleeping. We enjoyed our trip and would come back and join all the active seniors just to do the hike up the mountain! Unlike many public places in north america, the washrooms are super clean as are all the subways!",3,small,"오늘 10살과 8살의 두 자녀와 함께 거기에 갔습니다. 한 구역에는 놀이동산이 있고 다른 구역에는 동물원이 있는 꽤 흥미로운 공원입니다. 동물원에 대한 의견을 이미 읽었고 동물원에 입장하려면 현금이나 한국 카드가 필요하다고 언급한 사람은 아무도 없었습니다. 나는 내 캐나다 신용 카드로 스카이 리프트 (굉장했습니다!)와 트램 및 동물원 입구가 포함 된 패키지를 사고 싶었고 동물원 입장료를 내 신용 카드로 지불 할 수 없다고 말했습니다. 트램과 스카이 리프트가 분리되어 정상적으로 통과했습니다. ATM 기계가 하나 있었지만 북미 카드에서는 작동하지 않습니다. 동물원은 괜찮 았습니다. 예, 우리 동물원에 비해 인클로저가 작아 보였습니다. 나는 동물에 대해 논평할 수 없다. 우리 집에는 세계적으로 유명한 동물원이 있고 그들은 모두 같은 일을 하고 있었습니다...자고 있었습니다. 우리는 여행을 즐겼고 돌아와서 모든 활동적인 노인들과 함께 산을 하이킹 할 것입니다! 북미의 많은 공공 장소와 달리 화장실은 모든 지하철과 마찬가지로 매우 깨끗합니다!"
4,4,0,13,This amusement park is older and dated but it was still fun as there was not really any lines for any of the attractions. You will notice that many younger children or families go to this amusement park however it is still good for all ages as there are rides for children and those who are older.,4,old,이 놀이 공원은 더 오래되고 구식이지만 어떤 명소에도 실제로 줄이 없었기 때문에 여전히 재미있었습니다. 많은 어린 아이들이나 가족들이 이 놀이공원을 찾는 것을 알 수 있을 것입니다.
5,5,1,20,"This is a outdoor theme park consist of different kind of themes for children. If you would like to have fun with your children, this is one of a good choose for you. But it is a bit cold in winter.",5,old,아이들을 위한 다양한 테마로 구성된 야외테마파크입니다. 아이들과 즐거운 시간을 보내고 싶다면 좋은 선택 중 하나입니다. 하지만 겨울에는 조금 춥습니다.
6,6,2,21,"Maybe this theme is old already or maybe I came during winter, or maybe combination of both. There is really very little people in this theme park. There is so little people that I believe because of it many of the rides is closed or seems closed. But if you approach the rides some of them is actually open and the staff will return and operate it. (they seems to be talking to other staff which also their rides have no guest riding it lol)  A little anti climax since the mood is so different from lotte world or everland, but a very good point here is that you can practically ride everything that is operating even if we came at noon time because there is no queues mostly. Only thing to note is many street food stall is closed so you have to eat at their restaurant, which is also empty, so don't come here on empty stomach.  Everything is old and such don't expect pretty stuff, but during winter, they have ice sledge which in my opinion is the most fun ride and worth coming. No waiting time, can play as much as you want, I will not grade this theme park higher or lower than everland, both are as good, just different expectations.",6,old,"어쩌면 이 테마는 이미 오래되었거나 겨울에 왔을 수도 있고, 아니면 둘의 조합일 수도 있습니다. 이 테마파크에는 정말 사람이 거의 없습니다. 많은 놀이기구가 문을 닫았거나 문을 닫은 것처럼 보이기 때문에 믿는 사람이 너무 적습니다. 그러나 당신이 놀이기구에 접근하면 그들 중 일부는 실제로 열려 있고 직원이 돌아와서 그것을 작동시킵니다. (다른 스태프들과 이야기를 하는 것 같기도 하고 손님도 타지 않는 놀이기구 ㅋㅋ) 롯데월드나 에버랜드와는 분위기가 너무 달라서 약간 안티 클라이막스지만 여기에서 아주 좋은 점은 모든 것을 실제로 탈 수 있다는 것입니다. 대부분 대기열이 없기 때문에 정오에 와도 운영하고 있습니다. 주의할 점은 많은 노점상들이 문을 닫았기 때문에 식당에서 식사를 해야 하며, 그 식당도 비어 있으므로 공복으로 오지 마십시오. 모든 것이 낡아서 예쁜 것을 기대하지는 않지만 겨울에는 얼음 썰매가 있습니다. 제 생각에는 가장 재미있고 올 가치가 있다고 생각합니다. 대기 시간이없고 원하는만큼 재생할 수 있습니다. 나는이 테마 파크를 에버랜드보다 높거나 낮게 평가하지 않을 것입니다. 둘 다 좋은 것입니다. 단지 다른 기대입니다."
7,7,3,23,"This place is definitely for kids, probably younger than 6 or 7 years old. Rides are not exciting or thrilling at all. Boring.",7,old,이 장소는 확실히 6-7세 미만인 아이들을 위한 곳입니다. 놀이기구는 전혀 흥미롭거나 스릴이 없습니다. 지루한.
8,8,4,24,"The place is so deserted and empty when we went on a weekday. Perhaps the rides are more suitable for younger children (5-12 years old) or its not as popular as the other 2 theme parks. Or maybe some of the rides are abit run down.  There are probably only less than 80 people during our visit and my kids can repeat the same ride 6 times without ridiculous queue. Mostly younger kids like 12-15 years old and lesser couples. They have a huge rollercoaster and drop down just like the popular theme park. Price is half compared to Lotte World when you purchase through KLOOK app. Super worth it and you need walk 3 mins after exit from train station to take the elephant ride to the theme park. Or walk to park in 15 mins.  There are restaurants, 7-11, cafes and 1 halal Kebab stall (near Tomorrow Land). For muslims, there is a dedicated musollah near 7-11, please ask the staff to open the door for you. Very clean and spacious with separate rooms, however we can't use the tap so its handy to bring a bottle of clean water.",8,old,"우리가 평일에 갔을 때 장소는 너무 황량하고 비어 있습니다. 놀이기구는 어린 아이들(5-12세)에게 더 적합하거나 다른 2개의 테마파크만큼 인기가 없습니다. 아니면 놀이기구 중 일부가 약간 떨어졌을 수도 있습니다. 우리가 방문하는 동안 아마도 80명 미만일 것입니다. 제 아이들은 어리석은 대기열 없이 같은 타기를 6번 반복할 수 있습니다. 대부분 12-15세 이하의 커플과 같은 어린 아이들입니다. 그들은 거대한 롤러 코스터를 가지고 있으며 인기있는 테마 파크처럼 드롭 다운됩니다. KLOOK 앱을 통해 구매하시면 롯데월드 대비 절반 가격입니다. 그만한 가치가 있으며 코끼리를 타고 테마 파크로 이동하려면 기차역에서 나온 후 3분이 소요됩니다. 또는 도보로 15분이면 주차할 수 있습니다. 레스토랑, 7-11, 카페 및 1개의 할랄 케밥 노점(투모로우랜드 근처)이 있습니다. 이슬람교도의 경우 7-11 근처에 전용 무솔라가 있습니다. 직원에게 문을 열어달라고 요청하십시오. 매우 깨끗하고 별도의 방이 있지만 수돗물을 사용할 수 없으므로 깨끗한 물 한 병을 가져 오는 것이 편리합니다."
9,9,5,28,"Multicultural families in Korea can get half-price yearly passes and foreigners visiting Korea can get great deals on tourist websites. Seoul Land is a bit tired and needs a bit of TLC, but there is plenty to do and the kids love it. My 6 and 7 year old can go on most rides. Parking is free during the week and the surrounding mountain views are really pretty. For a full day experience, combine Seoul Land with the Grand Park (zoo). We love the rollercoasters, flume ride and Larva Twister the most. Food and beverages are not too expensive and outside food is allowed in, if you prefer to have a picnic. There are lots of water fountains too.",9,old,"한국의 다문화가족은 연간이용권을 반값에 구매할 수 있고, 한국을 방문하는 외국인은 관광사이트에서 저렴하게 이용할 수 있다. 서울랜드는 조금 피곤하고 약간의 TLC가 필요하지만 할 일이 많고 아이들이 좋아합니다. 6세와 7세 아이는 대부분의 놀이기구를 탈 수 있습니다. 주중에는 주차가 무료이며 주변 산의 경치가 정말 아름답습니다. 하루 종일 경험하려면 서울랜드와 대공원(동물원)을 결합하세요. 우리는 롤러코스터, 수로 타기 및 Larva Twister를 가장 좋아합니다. 음식과 음료는 너무 비싸지 않으며 피크닉을 선호하는 경우 외부 음식이 허용됩니다. 분수대도 많이 있습니다."
