,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,75,"This park is huge! If you're tired of the crowds in Seoul city, spend some time here. Just take a walk and enjoy the city skyline, bridges or sit and chill with friends. You can easily buy a mat at the park. We came in the daytime. Hope to catch the fireworks festival next time,!",0,crowds,"이 공원은 거대합니다! 서울 시내의 인파에 지쳤다면 이곳에서 시간을 보내세요. 산책을 하고 도시의 스카이라인, 다리를 즐기거나 친구와 함께 앉아 휴식을 취하십시오. 공원에서 매트를 쉽게 구입할 수 있습니다. 우리는 낮에 왔습니다. 다음에는 불꽃축제도 꼭 보시길 바라며,!"
1,1,1,127,"There's a reason this place draws crowds (especially in the Spring time). It's a wonderful place to take a stroll, walk your dog, or just lie out and enjoy the short window of time when the sun isn't too strong and it's not too cold out.",1,crowds,이 장소가 인파를 모으는 데는 이유가 있습니다(특히 봄철). 산책을 하거나 강아지를 산책시키거나 태양이 너무 강하지 않고 너무 춥지 않은 짧은 시간 동안 누워서 시간을 보내기에 좋은 곳입니다.
2,2,2,129,"This is a place where the local youths hangout to eat, drink and chill out in general. We decided to come here to try the local fad - eating ramen noodles in the park.  First you have to go to the very crowded convenience store to get your ramen. Next, cook your noodles. The store provides every amenity that you will need for a hot bowl of noodles. Lastly, find a spot amongst the very crowded waterfront to eat!  This was a good experience to enjoy your food, people watch and seeing the world go by. However the crowds and noise will seriously turn you off.  Granted, this is a public location and we came on a Saturday but it was a bit turn off.  We also discovered to our amusement that there is a booth in the park. You can actually call to order food delivered to you and the delivery man will meet you at the booth.  It was an interesting one time experience, however we will not probably come back here again.",2,crowds,"이곳은 지역 젊은이들이 모여서 먹고 마시고 쉬는 곳입니다. 우리는 공원에서 라면을 먹는 현지 유행을 시도하기 위해 여기에 오기로 결정했습니다. 먼저 라면을 사려면 사람이 많은 편의점에 가야 합니다. 다음으로 국수를 요리하십시오. 가게는 뜨거운 국수 한 그릇에 필요한 모든 편의 시설을 제공합니다. 마지막으로, 매우 붐비는 해안가에서 먹을 곳을 찾으십시오! 이것은 음식을 즐기고 사람들이 세상을보고 보는 좋은 경험이었습니다. 그러나 군중과 소음은 심각하게 당신을 끌 것입니다. 물론 이것은 공공 장소이고 우리는 토요일에 왔지만 약간 꺼져있었습니다. 우리도 공원에 부스가 있다는 것을 우리의 즐거움에 발견했습니다. 실제로 전화를 걸어 음식 배달을 주문하면 배달 기사가 부스에서 당신을 만날 것입니다. 그것은 흥미로운 일회성 경험이었지만 우리는 아마 다시 여기에 오지 않을 것입니다."
3,3,3,140,"Visited with 50+ school kids in the start of winter!! Clear, cold and stunning! A great place to hang out, ride bikes, walk the riverbank, play in the gardens among statues, gardens, paths and big lawned areas. Sculptures, fountains, stunning views of the city and bridges. Boats on the river were preparing for night cruises with christmas decorations and lights but the cafes happily served food and drinks to us all. Due ti the cold, there were not big crowds so we had the place pretty much to ourselves, however it can be crowded. Beautiful views up and down the river and across to the city, Definate stop in Seoul.",3,crowds,"겨울의 시작에 50+ 학교 아이들과 함께 방문!! 맑고 차갑고 멋진! 어울리고, 자전거를 타고, 강둑을 걷고, 동상, 정원, 길 및 넓은 잔디밭 사이의 정원에서 놀기에 좋은 장소입니다. 조각품, 분수, 도시와 다리의 멋진 전망. 강 위의 보트는 크리스마스 장식과 조명으로 야간 크루즈를 준비하고 있었지만 카페는 우리 모두에게 음식과 음료를 행복하게 제공했습니다. 추운 관계로 사람이 많지 않아 혼자만의 공간이 많았지만 혼잡할 수 있습니다. 강 위아래로 그리고 도시를 가로 질러 아름다운 전망, 서울에서 정차합니다."
4,4,4,275,Actually the cherries were not fully blossomed when we went . The crowds were absolutely suffocating so the whole experience was a miss for us.,4,crowds,사실 우리가 갔을 때는 벚꽃이 만개하지 않았다. 군중은 절대적으로 질식했기 때문에 전체 경험은 우리에게 그리웠습니다.
5,5,0,23,Loving this area   I  Seoul  U,5,area,이 지역을 사랑합니다 I Seoul U
6,6,1,73,"This park is the best place to enjoy the view of Seoul along the Han-River. There are less facilities than Banpo area. But you who use public transportation can arrive this park easier than that and many skyscrapers with lights also makes you feel good(of course, you can have fun with using food delivery service).  고층 건물들에 의한 야경이 이곳을 다른 한강공원에 비해 보다 매력적인 곳으로 만든다고 생각합니다. 다만 반포 한강공원에 비해 전반적인 구성은 알차지 않다는 느낌이 듭니다.",6,area,"This park is the best place to enjoy the view of Seoul along the Han-River. There are less facilities than Banpo area. But you who use public transportation can arrive this park easier than that and many skyscrapers with lights also makes you feel good(of course, you can have fun with using food delivery service).  고층 건물들에 의한 야경이 이곳을 다른 한강공원에 비해 보다 매력적인 곳으로 만든다고 생각합니다. 다만 반포 한강공원에 비해 전반적인 구성은 알차지 않다는 느낌이 듭니다."
7,7,2,83,"I would mainly tell people to get off at yeouinaru station, exit 1, to enjoy hangang park. It's right next to the river and has so many food trucks during the summer time. You could just grab a meal and a few beverages and sit there peacefully as long as you want. Try to go when the sun is setting so that the temperature will be cooler. This has been one of my favorite summer spots and I try to go every weekend during the summer to enjoy the area, people, and food.",7,area,"저는 주로 여의나루역 1번출구에서 내려서 한강공원을 즐기시라고 말씀드리고 싶습니다. 강 바로 옆에 있어 여름철에는 푸드트럭이 정말 많습니다. 식사와 몇 가지 음료를 들고 원하는 만큼 평화롭게 거기에 앉아 있을 수 있습니다. 해가 질 때 가서 온도를 낮추십시오. 이것은 내가 가장 좋아하는 여름 장소 중 하나였으며 여름 동안 매주 주말에 가서 지역, 사람, 음식을 즐기려고 노력합니다."
8,8,3,87,"You actually forget that you are in the middle of a very large city. The park offers a long circuit path for walking or jogging, plenty of park benches where you can watch the world pass by. The echo area also has elevated decking paths where you can explore the flora in this area of Korea, with plenty of labels annotating the species of the various trees.",8,area,당신은 실제로 당신이 매우 큰 도시의 한가운데에 있다는 것을 잊습니다. 공원에는 걷거나 조깅을 할 수 있는 긴 순환 경로와 세계가 지나가는 것을 볼 수 있는 많은 공원 벤치가 있습니다. 에코 지역에는 또한 한국의 이 지역의 식물을 탐험할 수 있는 높은 데크 경로가 있으며 다양한 나무의 종을 표시하는 레이블이 많이 있습니다.
9,9,4,91,We went for the cherry blossoms and enjoyed the festivities. A good deal of effort went into making the event enjoyable for people of all ages and it seems like it would be a lovely area for a stroll at any time of year.,9,area,우리는 벚꽃을 보러 갔고 축제를 즐겼습니다. 모든 연령대의 사람들이 행사를 즐길 수 있도록 많은 노력을 기울였으며 일년 중 언제라도 산책하기에 좋은 곳인 것 같습니다.
