,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,208, Convenience store friendliness is the worst The first convenience store on the right side of the front door is the worst ,0,worst
1,0,112, close too early The lift staff are unfriendly ,1,staff
2,1,264,"We went there in August and it's too hot for us. We could only walked for half an hour and decided to leave. The zoo is pretty old. The staff is not good at providing information (as we walk along the way to the zoo from cable car station, we just realized that there a shuttle bus to the zoo but the woman at the information didnt tell us. So we have to walk under really hot weather).",2,staff
3,2,281,"I visited the Gwacheon-located Seoul Grand Park and it was overall a positive experience. I only visited the zoo section, and not Seoul Land, the amusement park. For what it's worth my friends have told me that Seoul Land isn't really worth it, compared to Lotte World or Everland. The zoo features many animals, of all kinds and species and from all continents. There's pretty much everything you can think of : reptiles, big mammals, seals, éléphants, lions... The park is also perfectly located in between mountains and offers a stunning view. It also has a fairly large choice of dining and snack options. My bigger complaint with the park is that it feels a bit run down. Enclosures are fairly stale, and a some animals seemed a bit unhealthy. It also lacks some kind of a theme (safari, themes for different clades or cintinents), special events allowing greater interaction with animals or staff, as well as a session dedicated to children for example)",3,staff
4,3,294,"This place was amazing and so big we couldn't even do it all before we got tired and a little too hot for the day. There are many animals and they have nicely done enclosures. The guide map was in English but we found very few of the staff spoke English. However this wasn't too important as we wanted to just see the animals. They had an amazing dolphin and seal lion show that was included with the entrance fee. There was an impressive green house with many many different species of lovely plants. We also took the sky lift to get a birds eye view (and return to the front) and it wasn't very expensive. The zoo is non-smoking which was nice. There were several food options and one had a lot of good Korean food options with a serve yourself kimchi bar. There were colored lines along paths if you wanted to do a particular loop with each taking about two hours to complete. We didn't use these, but it was a nice option. Overall this zoo was enormous and very nicely done. We were glad we were able to visit and little sad we didn't get to see the whole place (or have time to to return again on another day).",4,staff
5,4,306,"We are a family of four, we have a 9 year old daughter and a 3 year old son. We went to Seoul Grand Park on Sep 1 2013 and loved it. I would highly recommend taking the subway, line #4, stop SEOUL GRAND PARK. If you exit out of exit 2, you will walk about 1/4 mile to the SGP tram loading/unloading zone. I would recommend paying to ride the tram as the entrance to the zoo is about 1/2 to 3/4 of a mile uphill (and trust me you are going to be walking uphill enough). The tram cost us 2,700 won. Although the tram area looks busy as all get out, trams came one right after another, only waiting about 30 seconds between trams. They moved us out like cattle! We were pleased with the tram. So, once the tram stopped, we bought our tickets to the zoo (they included a special ""theme"" ticket allowing us into another attraction, I am all but certain it was the rose garden, but we never made it), and we entered the zoo (9,600 won total, I could NOT believe how inexpensive it was). Ok, once in the zoo, either take the ski lift all the way up to the top and walk down and call it a day, or find a good spot to tighten your walking shoes. The walk to the top is uphill, you will earn your view of the lions and the other ""cats"", but it is well worth it. I've never been to a zoo that had over 6 lions, not lioness, lions! This zoo has it ALL, from Bison, Bears (so many), Dolphins to Deer. The highlight of the day was the deer eating out of my daughter and son's hand (although it's probably not recommended by the staff, if you have little ones than bring lettuce or carrots, my kids just fed them the green leaves they found on the ground and they ate them). We had absolutely no complaints about this zoo, in fact it blew away our expectations. Bathrooms extremely clean, convenient stores selling soda and snacks for regular prices (not jacked up because it's in a zoo, a soda was 900 won), and such a wide variety of animals. Tip #1 - allow a FULL day here. So, the end of the day we hopped back on the tram and we thought it would take us straight to the loading/unloading area we boarded the tram when we arrived....no. It made one stop at Seoul Land prior to heading back. Tip #2 - there is MORE at the Seoul Grand Park than the zoo!!! Who knew right?? Well, we do and we are definitely heading back soon! We had an incredible day!",5,staff
6,0,5, Its summer and the animals are wet There are many empty cages There are many construction sites but satisfaction is low ,6,empty
7,1,179, It was a pity because there were so many empty kennels Maybe it was because there were not as many visitors as before Or should I rather be happy with the many empty kennels The leopard kennel was ,7,empty
8,2,237,"This is a park in massive area which includes multiple different attractions. The zoo has most visitors and is a pretty good place to any ages.  Facilities: Zoo, Garden, Camping Zone, Seoul Land(Amusement Park), Contemporary Museum, etc. We only entered the zoo. But, there was a rose garden as a season special and it looked nice, too.  Location: This is in Gwacheon City. But, only 4 stops away from Metro Sadang Station (line #4). Accessibility is great from Seoul. From the metro station, it's a short walk to the park. There are some food stalls in the way. It's fun to watch and I recommend having foods here because foods inside the park are much more expensive.  Zoo: - We bought combined ticket of 10,500 won for a lift, a elephant bus and an entrance. After buying the ticket, go to the lift station on the right and take the lift until the highest area of the zoo. Walk around the zoo and take the bus when it's done. This seems to be the best way to save money.  - The zoo was fine. Food stands, bathrooms, benches are everywhere. Bird Zone is like a Jurassic Park. If you are lucky, you'll be able to see parrots very closely. We were very amused to see apes. I think Ape Zone is the best part in this zoo.  - I was a bit disappointed not to see lions. There were MANY constructions and some animals aren't staying at where they are supposed to be. Bat cages were empty.  - It's a lot of walking anyway. Be ready to get tired.  - There's A-Zoo tour on the website to travel comfortably riding on a cart for children or seniors. It's not available at the ticket office. I think they should fix that.  - Even though there are animals of many kinds, there are still many this zoo doesn't have. So, don't expect to see every one you can imagine.  - There's an arboretum in the zoo. It was just okay level.  - There are a number of visitors in the zoo. But, this is a huge zoo and there's no chance to wait to see something. We liked it.  - Some of them close at 18:00. You'd better enter before that if you wish to see everything.",8,empty
9,3,240,"I came here on an a Korean language class trip and was appalled by the living conditions of the animals. The enclosures were too small and the animals looked absolutely miserable. Some of them were acting out obviously because they were going crazy in their enclosures. I couldn't believe the beautiful animals they had that were being kept prison. They care more about having different types of animals (there must have been at least 15 different types of monkeys) than the welfare of the animals. One monkey was kept in a large, empty concrete box with just a swing to keep it entertained and it broke my heart to see the monkey sitting in the corner, baring its teeth fiercely at us. Do not visit this animal prison, you are only contributing to the problem!",9,empty
10,4,250,"Seoul's Zoo, the Grand Park, is located by easy metro ride from the city. Has lions, tigers, wolves, bears, and a good primate selection. Unfortunately all the bird exhibits are currently closed for health reasons and the dolphins have been returned to the ocean, so there are not any substantial marine life displays aside from seals. Animals seem generally well-read for, with some species benefiting from better habitats than others. Some of the wolves seemed a little sad, elephants seemed to have a very small space, and seals appeared cramped too. The zoo is in process of building some new enclosures and will hopefully improve those living conditions. Minimal English signage but enough to find one's way around. We visited on a Wednesday afternoon and the park was virtually empty, which made for a very pleasant time. Plenty of clean public restrooms and at least one convenience store in addition to numerous snack food vendors. Food prices not marked up. 0900-1900. $5 entry, $10 2-part skylift one-way. Take exit 2 from Grand Park metro, walk toward main building then turn right at building and walk 300m to the Sky lift. Recommend taking sky lift out to end of park and walking back to metro. We didn't think there was enough to see to merit buying more skylift passes.",10,empty
11,0,201, Unfortunately I think the cages of the animals are too small and they dont look very happy and healthy either But at least the park is nice ,11,small
12,1,221, As long as you have the stamina you cant really spend a day here There is also a small water play area basic animal viewing toilets and lots of shops Really recommend this place ,12,small
13,2,230,"We drove. Traffic was pretty backed up getting to and from the parking lot and Waze was directing us away from the parking we needed, beyond the ""Seoul Zoo"" parking sign, so we ignored Waze. We were able to pay for parking using our debit card, didn't need a Korean bank card or won. 5,000 won for a smaller vehicle and 10,000 won for a larger. From the parking lot, follow the crowds to get tickets for the Elephant Tram or walk 1km to the main entrance of the zoo. At the zoo entrance, buy tickets to enter the zoo. There are stroller rentals available, we were also able to use our debit card for this. 3,000 won, but had to leave ID there until we returned. Strollers were nice. The zoo grounds are beautiful. It was hot out, but I bet a trip in the fall would have been perfect. I was expecting to see a lot of sad exhibits based on other comments, but they seemed pretty typical compared to any other zoo I've been to. I thought the spacing was good and yes, there's a lot of walking, but it didn't feel like too much. My kids had a lot of fun. I thought the food/drink choices were good, too. You can also bring your own food and drink in if you wanted. When leaving, you have to buy a return trip for the Elephant Tram or make the 1 km trek back to the parking area (which is also the same as the entrance to the subway)... I recommend going, especially if you have kids! It was fun!",13,small
14,3,233,"I love visiting zoo’s and seeing different animals. However, I recommend not visiting this zoo. I travelled 1.5 hours to get here, and I feel like my time travelling and visiting was wasted. There were many different animals, which was probably the best point. Each enclosure was small, dirty, and there was no sign of a zookeeper anywhere. Usually on my visits to the zoo I see many zookeepers tending and feeding the animals, but during my visit here I didn’t see any. Many animals looked sad and hungry, often eating dry leaves. The monkeys were also acting out at each other, probably because the cages were so small. As I mentioned, I love to visit the zoo, just not this one.",14,small
15,4,240,"I came here on an a Korean language class trip and was appalled by the living conditions of the animals. The enclosures were too small and the animals looked absolutely miserable. Some of them were acting out obviously because they were going crazy in their enclosures. I couldn't believe the beautiful animals they had that were being kept prison. They care more about having different types of animals (there must have been at least 15 different types of monkeys) than the welfare of the animals. One monkey was kept in a large, empty concrete box with just a swing to keep it entertained and it broke my heart to see the monkey sitting in the corner, baring its teeth fiercely at us. Do not visit this animal prison, you are only contributing to the problem!",15,small
