,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,49,"definitely don't go here in the winter. even going in march is not a smart move. i nearly lost my face when going on the rollercoasters, not from screaming but rather the ghastly icy wind gushing at my face. should seriously rethink going to any amusement attractions during winter!",0,think
1,1,51,"I went to Seoul Land with my family. I think there's the amusement park part and the zoo part. We went to the zoo part. Actually we were planning to go to the amusement park but we went there by accident. Anyways, it didn't cost that much. There were many animals. It wasn't bad... I guess we had a good time.But I think I would go to the amusement park next time if I have a chance.",1,think
2,0,32,"Because of cold weather and small number of visitor, some rides are not operated. Parade and events were not lively compare to other season",2,small
3,1,48,"Just went there today with my 2 children aged 10 and 8. It's a pretty interesting park with an amusement park in one section, the zoo in another. Had already read the comments on the zoo and no one mentioned that entrance into the zoo required cash or a korean card. I wanted to buy a package that included the sky lift (which was awesome!) and tram and zoo entrance with my canadian credit card and they said that the zoo entrance fee could not be paid by my credit card. The tram and skylift were separate and went through ok. There was one ATM machine but it does not work with north american cards. Zoo was ok. Yes the enclosures seemed small compared to our zoos. I can't comment on the animals. We have a world renowned zoo at home and they were all doing the same thing...sleeping. We enjoyed our trip and would come back and join all the active seniors just to do the hike up the mountain! Unlike many public places in north america, the washrooms are super clean as are all the subways!",3,small
4,0,13,This amusement park is older and dated but it was still fun as there was not really any lines for any of the attractions. You will notice that many younger children or families go to this amusement park however it is still good for all ages as there are rides for children and those who are older.,4,old
5,1,20,"This is a outdoor theme park consist of different kind of themes for children. If you would like to have fun with your children, this is one of a good choose for you. But it is a bit cold in winter.",5,old
6,2,21,"Maybe this theme is old already or maybe I came during winter, or maybe combination of both. There is really very little people in this theme park. There is so little people that I believe because of it many of the rides is closed or seems closed. But if you approach the rides some of them is actually open and the staff will return and operate it. (they seems to be talking to other staff which also their rides have no guest riding it lol)  A little anti climax since the mood is so different from lotte world or everland, but a very good point here is that you can practically ride everything that is operating even if we came at noon time because there is no queues mostly. Only thing to note is many street food stall is closed so you have to eat at their restaurant, which is also empty, so don't come here on empty stomach.  Everything is old and such don't expect pretty stuff, but during winter, they have ice sledge which in my opinion is the most fun ride and worth coming. No waiting time, can play as much as you want, I will not grade this theme park higher or lower than everland, both are as good, just different expectations.",6,old
7,3,23,"This place is definitely for kids, probably younger than 6 or 7 years old. Rides are not exciting or thrilling at all. Boring.",7,old
8,4,24,"The place is so deserted and empty when we went on a weekday. Perhaps the rides are more suitable for younger children (5-12 years old) or its not as popular as the other 2 theme parks. Or maybe some of the rides are abit run down.  There are probably only less than 80 people during our visit and my kids can repeat the same ride 6 times without ridiculous queue. Mostly younger kids like 12-15 years old and lesser couples. They have a huge rollercoaster and drop down just like the popular theme park. Price is half compared to Lotte World when you purchase through KLOOK app. Super worth it and you need walk 3 mins after exit from train station to take the elephant ride to the theme park. Or walk to park in 15 mins.  There are restaurants, 7-11, cafes and 1 halal Kebab stall (near Tomorrow Land). For muslims, there is a dedicated musollah near 7-11, please ask the staff to open the door for you. Very clean and spacious with separate rooms, however we can't use the tap so its handy to bring a bottle of clean water.",8,old
9,5,28,"Multicultural families in Korea can get half-price yearly passes and foreigners visiting Korea can get great deals on tourist websites. Seoul Land is a bit tired and needs a bit of TLC, but there is plenty to do and the kids love it. My 6 and 7 year old can go on most rides. Parking is free during the week and the surrounding mountain views are really pretty. For a full day experience, combine Seoul Land with the Grand Park (zoo). We love the rollercoasters, flume ride and Larva Twister the most. Food and beverages are not too expensive and outside food is allowed in, if you prefer to have a picnic. There are lots of water fountains too.",9,old
