,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,75,"This park is huge! If you're tired of the crowds in Seoul city, spend some time here. Just take a walk and enjoy the city skyline, bridges or sit and chill with friends. You can easily buy a mat at the park. We came in the daytime. Hope to catch the fireworks festival next time,!",0,crowds
1,1,127,"There's a reason this place draws crowds (especially in the Spring time). It's a wonderful place to take a stroll, walk your dog, or just lie out and enjoy the short window of time when the sun isn't too strong and it's not too cold out.",1,crowds
2,2,129,"This is a place where the local youths hangout to eat, drink and chill out in general. We decided to come here to try the local fad - eating ramen noodles in the park.  First you have to go to the very crowded convenience store to get your ramen. Next, cook your noodles. The store provides every amenity that you will need for a hot bowl of noodles. Lastly, find a spot amongst the very crowded waterfront to eat!  This was a good experience to enjoy your food, people watch and seeing the world go by. However the crowds and noise will seriously turn you off.  Granted, this is a public location and we came on a Saturday but it was a bit turn off.  We also discovered to our amusement that there is a booth in the park. You can actually call to order food delivered to you and the delivery man will meet you at the booth.  It was an interesting one time experience, however we will not probably come back here again.",2,crowds
3,3,140,"Visited with 50+ school kids in the start of winter!! Clear, cold and stunning! A great place to hang out, ride bikes, walk the riverbank, play in the gardens among statues, gardens, paths and big lawned areas. Sculptures, fountains, stunning views of the city and bridges. Boats on the river were preparing for night cruises with christmas decorations and lights but the cafes happily served food and drinks to us all. Due ti the cold, there were not big crowds so we had the place pretty much to ourselves, however it can be crowded. Beautiful views up and down the river and across to the city, Definate stop in Seoul.",3,crowds
4,4,275,Actually the cherries were not fully blossomed when we went . The crowds were absolutely suffocating so the whole experience was a miss for us.,4,crowds
5,0,23,Loving this area   I  Seoul  U,5,area
6,1,73,"This park is the best place to enjoy the view of Seoul along the Han-River. There are less facilities than Banpo area. But you who use public transportation can arrive this park easier than that and many skyscrapers with lights also makes you feel good(of course, you can have fun with using food delivery service).  고층 건물들에 의한 야경이 이곳을 다른 한강공원에 비해 보다 매력적인 곳으로 만든다고 생각합니다. 다만 반포 한강공원에 비해 전반적인 구성은 알차지 않다는 느낌이 듭니다.",6,area
7,2,83,"I would mainly tell people to get off at yeouinaru station, exit 1, to enjoy hangang park. It's right next to the river and has so many food trucks during the summer time. You could just grab a meal and a few beverages and sit there peacefully as long as you want. Try to go when the sun is setting so that the temperature will be cooler. This has been one of my favorite summer spots and I try to go every weekend during the summer to enjoy the area, people, and food.",7,area
8,3,87,"You actually forget that you are in the middle of a very large city. The park offers a long circuit path for walking or jogging, plenty of park benches where you can watch the world pass by. The echo area also has elevated decking paths where you can explore the flora in this area of Korea, with plenty of labels annotating the species of the various trees.",8,area
9,4,91,We went for the cherry blossoms and enjoyed the festivities. A good deal of effort went into making the event enjoyable for people of all ages and it seems like it would be a lovely area for a stroll at any time of year.,9,area
10,5,95,"This is a really nice riverside park of Hangang(Han River). Good to visit and chill. - Metro #5 Yeonaru is the closest station. It's also nice walking from Yeouido Station through Yeouido Park. - Since it's a huge area, riding a bicycle is really popular. - You can also try Eland Cruise. - It's very windy until March. Be prepared with enough clothes.",10,area
11,6,101,"It's a very nice place for picnic with friends, family or love ones. It's a good place to feel like ""Korean"" / local. On weekend, it will be very crowded. But all of the facilities are fully provided. You can rent the mat and tent for sitting and enjoy your picnic, rent the bicycles to ride around the area, buying food/ snacks. They also provide the clean toilets as well. You can see the nice scenery of Han river. It's better to arrive around late afternoon and spend time until the early night.",11,area
12,7,109,"I came here in 2015 during the spring and there were cherry blossoms everywhere. The park itself is beautifully located along the Han River and a nice spot to spend some time enjoying yourself or with friends/family. I loved the area so much that the next time I come (spring 2019), I have planned to stay at the Conrad Seoul to have a view and be in walking distance. Highly recommend.",12,area
13,8,131,"There are several places, which are higher, that is why the attracting point is broken. Back in the days that was nice to visit this building, but now, when there is Lotter Tower in the city, sorry... Though the area around building is nice:)",13,area
