,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,10,Not much to see here all buildings are empty and look the same,0,much
1,1,20,A cultural landmark that needs to be visited when in Seoul I havent been to any of the other royal palaces in Seoul so I cant compare but we thought this place was great and not crowded we visited a weekday in May Ive been here before and then it was much more crowded but even then it felt like there were plenty of space for everyone You should probably combine this with the Secret Garden but unfortunately we didnt have the time I recommend this place,1,much
2,2,30,A wonderful palace to visit when you come to Seoul It is a lot less busy than Gyeongbokgung Palace which makes your visit to it seem a lot more personal and intimate Whilst here you can marvel at the architecture of the palace and its surrounding buildings or take a stroll through the many gardens and paths or relax at the lake There is so much to do in this place and I recommend you spend a minimum 2 hours here to fully appreciate it Would love to come back here,2,much
3,3,57,It was a really nice afternoon sadly the secret garden was closed apparently you had to prebook tickets which we were unaware of the sign said for covid but I met a person the next day who said she went the same day and possibly time as us so prebook those tickets if you want to see the gardens For the rest of it I thought is was much more beautiful than Gyeongbokgun Palace but it did seem a bit smaller Well worth the visit if youre in Seoul,3,much
4,4,90,"Stunning palace. I have a lot of time in Seoul and Korea so going to see all the palaces. If your time is limited, definitely do this one. Time your visit accordingly with the mandatory guided tour of the Secret Garden. Annoyingly they appear to change timings so check online the day before your visit. I got there at 09:00 when they opened. I was the first person inside. I walked around the palace grounds myself for just over an hour and then did the English guided Secret Garden tour at 10:30 which finished around noon. Lasts about one and a half hours. You can leave the tour after fifty minutes as the last part is quite a bit of walking including uphill. For most of us it is fine but others were struggling with the heat even though it was early and parts of it are uphill so be mindful. I spent in total three hours there. Separate ticket for the palace and Secret Garden. They do have guided tours of the palace itself but to be honest, you can easily do this yourself. They give you a booklet plus there are information boards. Suggest going early as soon as it opens. It was beautiful and peaceful and you could freely walk around and enjoy the setting, also getting some good photographs. When I left at noon, it was much busier. Grounds are clean and well laid out. The palace was stunning. I loved the details of the doors and the architecture. There is a cafe and what appeared to be an art or souvenir shop on the premises. I didn't bother with it. Take water with especially if you are there for three hours like me. There are restrooms too. My thoughts. The Secret Garden is apparently the highlight. Whilst this was nice, I think the weather will contribute towards your experience. We had a lovely day and the sun shining with the reflection on the water and the colours of the leaves made the gardens look very pretty. However, we can't control the weather and I would suggest thinking about this if you have a day with bad weather. Parts of the garden were nice but other parts started to look the same. I started to get bored as did a lot of the group. I was glad I went though. The guide was difficult to understand (although the tour was in English) but there are information boards as well along the route which also provide useful facts. They limit the number of people on the tour so purchase a ticket as soon as you arrive.",4,much
5,5,91,"In this park is a large collection of, mostly repaired and rebuild ancient historical buildings, excellent to learn about Korea's history, Very much worth the visit!",5,much
6,6,108,"Set within a large park, accessible by subway, bus or tour, this Prospering Virtue Palace was built during the Joseon Dynasty. It served as the main palace for nearly 270 years following its destruction during the Japanese invasion and its subsequent rebuilding. A visitor may note that one building in particular, the Seonjeongjeon Hall is the only building featuring a tiled blue roof. There indeed is a love story to the history of this exquisite and beautiful palace, yet I shall leave that for the visitor to enjoy on their visit.  One detail in particular that distinguishes this palace from other palaces of the Joseon Dynasty is the palace gardens, and I am already planning my return trip to behold the “Quintessence of Joseon-era Landscaping” in spring or summer, to step where Kings and Queens strolled, relaxed, and perhaps engaged in sericulture. To truly savor visiting the Changdeokgung Palace I need to walk its gardens, valleys, pavilions and behold the lotus ponds and then see the Palace from otherwise hidden views. The Secret Garden occupies more than half of the entirety of Changdeokgung Palace, and I am delighted to plan my return to see the views from the Buyongji Pond and Juhamnu Pavilion, Aeryeonji Pond and Uiduhap, the New Seonwonjeon (New Royal Shrine) and so much more.  In the meantime I hope you enjoy my photographs of Changdeokgung Palace.  Please note that the admission to the Changdeokgung Palace is separate from the admission to the Secret Garden and, at least as of this writing, there is (but verify this) a Royal Palace Pass valid for 3 months from the purchase date, which includes admission to the Changdeokgung Palace and the Secret Garden; the Gyeongbokgung Palace; the Changgyeonggung Palace; the Deoksugung Palace; and the Jongmyo Shrine.",6,much
7,7,111,"From Anguk subway station, head east from Exit 3, and you will find the entrance to the palace. Admission was reasonable at 3,000 won. You get to see the Throne Hall, with the impressive king's chair. Other than that, a lot was under repair, and you don't get to access the King's residence building, so not much to see. We didn't know how or if you could access the Queen's residence building (behind the King's residence building)... so overall, we didn't get to see much; however, the ones we saw were well preserved.",7,much
8,8,121,"Historically palace, if you wearing hanbok , you get to enter for free because Koreans care much about their traditions. Very impressed.",8,much
9,9,131,"Visited the palace first before Gyeongbokgung. Read reviews that this palace was designed to be in harmony with the environment and after arriving there, it can be observed as to how it is. For a Palace, it is certainly not imposing as the Gyeongbokgung one and certainly no surprise why many princes chose to have their palace here. Unfortunately, I did not follow any guided tour for the front part if the palace, thus may have missed much interesting snippets.  However the guided tour to the ""Secret Garden"" is a must. Only entered with a guided tour, they are conducted at different times for different languages. I say it's a must so when you visit, u can imagine how the palace designers have made much effort to be a environmentally harmonious building. Do make a point to visit it.",9,much
10,10,137,"A much often overlooked attraction compared to its more renowned 'sister' palace, the Gyeongbokgong.  The palace grounds are larger and the palace was used as a residence for the royal family back in the old days. Recommend to visit during the autumn due to sights of the structures complemented by the bright colors of the autumn foliage",10,much
11,11,144,This tour includes a guided tour of the palace grounds at night plus a performance at the end if the tour. We were served hot Korean tea in a disposable cup and given a goodie bag containing a purse and a bar of soap. It would have been nice if we were given some traditional Korean sweets instead of the soap. Try the moonlight tour if you want a different experience but do note the price is much higher than the day ticket.,11,much
12,12,152,I went to Changdeokgung Palace on a Sunday afternoon. It has less much people than Gyeongbokgung Palace. But I was not disappointed. I had opportunity to take many beautiful photos with interruption from other tourists. Don't expect grand buildings here as well as other palaces in Seoul. It offers a different kind of beauty and experience comparing to palaces in Beijing.,12,much
13,13,170,I hired the traditional “hanbok” dress to wear to the palace and get nice photos. This place is perfect for photos and the architecture and history is beautiful. Wearing the traditional dress made it more surreal and it really felt like you were there. It is a huge place so bring water and get as much photos as you can.,13,much
14,14,176,Very much enjoyed wandering around this UNESCO site. Now regret that we didn’t do the Secret Gardens but we were tiring.,14,much
15,15,192,"The palaces are beautiful and the grounds are well-landscaped. The original buildings were burned by the Japanese during their occupation of Korea, so these are recreations, but feel ancient. The guides at the library are very kind and helpful providing very interesting information. Take your time, there is a lot to see. It is also common to see people dressed in the garb of that time period which really adds to the atmosphere as you wander the grounds. There is so much history here. And if you are there in the summer, bring the sun umbrellas. It is hot and rain is frequent at that time of year. The little cafe has limited offerings, so you may want to bring food. Note of caution: If you take the Hop On Hop Off bus, they drop you off a quite a ways from the entrance. It is better to get off at the stop prior; it is much closer to the entrance.",15,much
16,16,193,Lovely place filled with history. There is so much to see. We did t have time to do the secret gardens. It was a very good visit.,16,much
17,17,210,"This is the most special of all the palaces and probably the one to visit in case you plan on doing one only. The palace is spacious with large open places. Tourists are not allowed inside much of the covered areas and most of the time you are out in the open. So it can be harsh during summers. But still if you are touring seoul this is one of the must do activities. Just be prepared for the walk and the sun. The secret garden tour is amazing and can only be taken as a guided tour of roughly 70 min duration in summers and 90 during other times. Most of cultural heritage sites including this palace in seoul are free to enter from Aug 10 -25, due to National Liberation Day celebrations...however secret garden tour is paid and needs to be booked atleast a day prior. There is a souvenir and refreshment shop inside for the tourists. From the inside one can also tour the Changgyeonggung palace since the two are connected. The entire tour including the palaces and secret garden can take from 2-3 hours.",17,much
18,18,227,"Absolutely magnificent palace complex. I spent about 5 hours wandering around the inner and outer court before exploring the palace itself and the secret gardens. I was mesmerised by it to be honest. I intended to spend a couple of hours, a half day at most, but ended up spending pretty much a whole day here. The gardens are extra, 5000 won, but are well worth it. The place is stunning obviously but don't rush through the inner and outer courtyards as they are just as enchanting. One of the best days I've had on tour in a long, longt ime and definitely the best and most beautiful attraction in Seoul. An absolute must-do in my opinion.",18,much
19,19,236,"I’d premise this with the fact it was an exceptionally hot and humid day we visited Changdeokgung palace which definitely impacted our enjoyment. The gardens are the main reason to visit and they are lovely (no flowers, all trees and greenery when we went in June - well maintained) but I would say beyond walking around the gardens, there wasn’t much to do. The entry price was only 1,000 won which is cheap but for that you can’t get inside any of the buildings and when it is hot, it’s a bit relentless.  So in short I’d recommend a short visit but not on a hot day.",19,much
20,20,244,"Following the Japanese Invasion both the first and main Gyeongbokgung Palace and this secondary palace were destroyed, but Changdeokgung Palace was rebuilt quickly and then became the main palace. This unique Korean palace was built in harmony with the landscape and is a true beauty. I did not go to the Secret Gardens though. It is a UNESCO World Heritage Site. Walking thru both Palaces and the Bukchon Hanbok Village will take up much of your day so it's best to get an early start and then head to Insadong Street to browse and eat. These are some of the best sites to see in this section of Seoul.",20,much
21,21,251,I think my expectation was way too high and the day I visited was a cold day without much sun. That's why I was little disappointed and it would have been so much better if the day was warmer and brighter.,21,much
22,22,253,"The palace is very nice, but the garden is so much nicer. Lots of trees, so a nice place to visit on a hot day. Entering the garden is kinda weird. You have to buy a ticket for a specific time and only at that time you can enter the garden, even though the sign at the garden entrance says you can just go in on your own. You can choose to do a guided tour or walk around on your own.",22,much
23,23,258,Glad that we sign up for this moonlight tour. The atmosphere at night was so different from the day where it was much more peaceful except that it can be quite scary if you're walking alone. It's so beautiful at night walking around with a lantern on hand.  Get to see more of it and understand better from the guided tour despite having tour this place in the last trip.,23,much
24,24,293,This palace is one of the Joseon Dynasty king's favorite and it is much beautiful and calmer than Gyeongbokgung since it is near the secret garden. It is the only palace in Seoul that has granted UNESCO World Heritage.,24,much
25,25,320,"今年秋天終於排上日程，剛好可以參加古宮的夜間導覽。 ＊注意!外國人只有周日場次。我提前一個月上網買票，因為聽說很熱門，有時可能搶不到票。 前些年已經去過兩次昌德宮，但這是第一次夜間參觀，氣氛格外不同，安靜、神秘、美好。英文導覽員的英文很好，說得不多，但很清楚。記得一定要早點報到，因為是所有隊伍一齊在門外集合，等門開了才會魚貫進入。(自己腦補: 等待的時候有點像古代朝臣在宮門外等候上朝的那種感覺^^) 其實夜間能看到的古蹟特色比較少，畢竟天色已暗。但另有一股韻味(不透露太多，才能好好體會)。雖然收費較高，但包含一場很不錯的國樂與舞蹈等表演，還有小小點心盒。 *注意: 入秋後首爾日夜溫差大，整場tour都在戶外，若當天剛好遇上低溫冷鋒之類的，建議帽子、圍巾、手套都戴上。 *景福宮也有夜間參訪，買票時記得看清楚是景福宮(星光紀行)還是昌德宮(月光紀行)。兩者內容稍有不同，票價與時間長短也有差異。 I visited this palace twice before during daytime. This was my first Moonlight Tour to this ancient palace. It provided a different feel when walking in the quiet night. Open your ears and eyes, for there's music and performance. * This tour is only offered in a limited period ever spring and autumn. For foreigners, only Sunday nights are available, so plan your tour ahead if you're interested. * If you want to really see the beauty of architecture, visit during daytime -- it's really dark during this Moonlight Tour so you won't be able to see much palace features. * They would give you an earphone guide-set and a lantern to light your way. The English guide spoke good English. Note: The more famous palace -Gyeongbokgung- has a nighttime tour too, called Starlight Tour. There's some difference in the content of these two tours. In sum, this Tour is totally worthwhile, and it provides a unique experience. Keep warm, though, for temperatures could drop suddenly in spring/autumn nights in Seoul. Arrive early to check-in -- all visitors would lineup and wait for the gate to open and enter all-together. You can purchase online beforehand. The tickets could sometimes be sold out since this is a popular tour.",25,much
26,26,325,"Seoul has a few royal palaces. Changdeokgung was in use far into the 20th century. The thing with these palaces is; once you have seen one, you have pretty much seen them all. When you visit Seoul for the first time I certainly wouldn’t recommend to go see all palaces. One, two max, is more than enough. Changdeokgung is perfect for a quiet stroll on a lazy Sunday afternoon. From the back gate you can walk straight into Changgyeonggung palace. These two palaces are a haven of peace in busy Seoul. Enjoy.",26,much
27,27,327,"Wonderful palace with much to see and do, and with a multitude of photo opportunities. Beautifully kept grounds.",27,much
28,28,329,"You need to go with the free guided tour they provided, otherwise I don’t think you will enjoy it that much. The structure looks practically the same and there are so many small doors leading to small streets that you may get lost in it. But I like this one better than the gyeongbokgung, maybe because not so many people visiting it so not that crowded, you can really enjoy the scenery and imagine how the life’s like there when it’s still used by the royal family.",28,much
29,29,346,"I like this much better than Gyeongbokgung, especially because of the Secret Garden tour. And I think it's just the right size to walk around and appreciate each structure.",29,much
30,30,351,"Changdeokgung Palace was my favorite palace visited on my trip to Seoul. I was here later in the day after visiting Gyeongbokgung and it was far less crowded and more peaceful. The scale is much smaller, but prettier I think. Many of the buildings here were open for display, so you can see what the rooms looked like. There are so many buildings and small paths to walk around here, you can get lost. I did not do the private gardens, I will keep that for next time. The entrance price was cheap and this palace was easy to get to. If you don't have time to visit all the palaces, I recommend visiting Changdeokgung Palace.",30,much
31,31,369,Need to spend a few hours to take it all in. To see how the rulers in every society have lived so much better than everyone else is very telling. Pretty sure I could have be a really good ruler.,31,much
32,32,376,"though smaller than its main sister, the Gyeongbok Palace, Changdeok Palace can hold its own. In fact, I'd much prefer Changdeok due to its size (smaller palace ground) but no less beautiful and intricate. It also has Secret Garden palace (you need extra ticket to get in, famed for its beautiful ground and garden). With Changdeok, you got to see buildings and its functionality, its architecture and also history (progression). The colorful walls and ceilings are such a wonder, the neat design of the buildings are a marvel in itself. It's worth a visit for palace, architecture, and historical geek. You can definitely take great pictures in the compound, because there are many great spots to shoot.",32,much
33,33,384,The English tour guide was excellent and made the visit so much better. Worth a visit. Wish I had taken time out for the secret garden guided tour too.,33,much
34,34,391,"There's so much to do and see here as inside there are also entrances to Changyeonggung Palace and the Secret Garden Tour. The architecture of this complex is so outstanding that it was inscribed on the UNESCO World Cultural Heritage List in 1997. Also, I'd highly, highly recommend the Secret Garden Tour, just make sure you get there early enough because there are limited tickets available for each time slot.",34,much
35,35,397,"Not much to see. Buildings from yesterday, almost nothing is original, everything rebuilt in the last years... it is just worthed because what happened arround there... no interest",35,much
36,36,438,"The palace is somewhat small, as the building are all rebuilt to resembles the original structure, looks too good order to be a 600 year old historical site. However, it’s a good mock up to know the history of Korea. A small palace, not really too much to see. King’s life looks boring.",36,much
37,37,445,We love the beauty of all palaces. Hanbok costume brought us back in times. Beautiful set up & we had so much fun there.,37,much
38,38,446,"entrance fee: 3,000 won for entering Changdeokgung Palace (free if dress up in Hanbok); another 5,000 won for entering Secret Garden, booking may be required.  No regret if you cannot enter the Secret Garden due to full booking in summer. Landscape and scenery are nothing special there. It was very humid in July when I went there. But I believe its scenery would be very beautiful when maples blossom in fall.  In general, the buildings of Changdeokgung Palace outside Secret Garden are much better than those in Gyeongbokgung Palace.",38,much
