,Unnamed: 0.1,index,Unnamed: 0,남산부정단어리뷰,index.1,단어,번역
0,0,0,6, I went a few years ago and I didnt like it its not much of a joke and its expensive for what it offers It seems that the only attractions in South Korea are Kpop and Kdramas A few palaces if anything but ,0,much,나는 몇 년 전에 갔고 나는 그것을 좋아하지 않았습니다. 농담이 아니며 제공하는 것에 비해 비싸다. 한국의 유일한 관광 명소는 Kpop과 Kdramas뿐인 것 같습니다.
1,1,1,12,Namsan Seoul Tower was built in 1969 as Koreas first integrated transmission tower beaming television and radio broadcasts across the capital Since opening to the public in 1980 it has become a muchloved Seoul landmark The towers main ,1,much,남산서울타워는 1969년 한국 최초의 통합 송전탑으로 세워져 수도 전역에 텔레비전과 라디오를 송출했다. 1980년 일반에 공개된 이후 많은 사랑을 받는 서울의 랜드마크가 되었다 타워 메인
2,2,2,79,The view was spectacular up here Worth the climb from the train station hella steep but hey humidity is lower so i didnt sweat much,2,much,보기는 여기에서 훌륭했다 기차역에서 올라갈 가치가 있지만 가파르지만 습도가 낮아 땀을 많이 흘리지 않았습니다.
3,3,3,83, I honestly expected much more The views are nothing to write home about during the day or at night the climb is quite shabby in the elevator expensive and you have to wait If you have nothing else to do in Seoul ,3,much,솔직히 훨씬 더 기대했는데 낮이나 밤에나 집에 쓸만한 뷰가 없네 오르막이 상당히 허름하고 엘리베이터가 비싸고 기다려야 한다 서울에서 할 일이 없으면
4,4,4,158, Its a weekend so the wait is over an hour But the night view of Seoul at night is so wonderful As much as the observatory is open it would be nice if the souvenir shop on the first floor was open until late You ,4,much,주말이라 1시간 넘게 기다려야 하지만 서울의 밤 야경은 너무 멋져요 전망대가 열려있는만큼 1층 기념품샵이 늦게까지 영업했으면 좋았을텐데
5,5,5,196,Good experience and no need to spend much money and cheapest place to travel,5,much,좋은 경험과 여행에 많은 돈과 가장 저렴한 장소를 쓸 필요가 없습니다.
6,6,6,237,Good place to have a look at Seouls skyline The entry ticket is reasonably cheap but there isnt too much to do at the observation deck Unfortunately the windows were quite dirty and some viewsphotos werent as good as they should ,6,much,서울 스카이라인을 볼 수 있는 좋은 곳 입장권은 합리적으로 저렴하지만 전망대에서 할 일이 너무 많지 않습니다 불행히도 창문이 매우 더럽고 일부 전망 사진이 예상만큼 좋지 않았습니다
7,7,7,281, Seoul lookout site to see the city in 360 You also dont miss much if you dont go up to the top of the tower which costs about 19000 won There are very good views from the free zone and you can go up by bus or ,7,much,360도에서 내려다보는 서울전망대 전망대 꼭대기까지 올라가지 않으면 놓칠 수 없는 곳. 약 19000원
8,8,8,311,"Namsan Tower is a Korean landmark, and it is one of the tallest towers in Asia. It offers not only a view of all of Seoul, but also a chance to enjoy a meal inside the tower. At first, Namsan Tower was used for broadcasting, and then fully open to the public, it is worth watching the Namsan Tower lock wall, slowly a wall of locks, and the lock hanging on it must be a couple together. Now, the Nanshan Tower locked wall is a very popular tourist attraction. At Nanshan Tower, the highlight is that there are interpreters for multiple languages so that you do not have to worry about language barriers. Secondly, the entertainment near the tower is also very much available, which can satisfy no longer a single view of a tourist destination but can enjoy food and shopping at the same time as viewing the landscape.",8,much,"남산타워는 한국의 랜드마크이자 아시아에서 가장 높은 타워 중 하나입니다. 서울 전체를 조망할 수 있을 뿐만 아니라 타워 안에서 식사를 즐길 수 있는 기회도 제공한다. 처음에는 남산타워가 방송용으로 쓰였다가 이후 전면 개방되어 남산타워 자물쇠 벽, 천천히 자물쇠 벽, 그리고 그 위에 걸려 있는 자물쇠가 커플이 되어야 하는 모습을 볼 만하다. 이제 남산루(南山塔)는 매우 인기 있는 관광명소가 되었습니다. Nanshan Tower의 하이라이트는 다국어 통역사가 있으므로 언어 ​​장벽에 대해 걱정할 필요가 없다는 것입니다. 둘째, 타워 주변에 즐길거리도 매우 많아 관광지를 한눈에 바라볼 수 있는 것이 아니라 풍경을 바라보며 음식과 쇼핑을 동시에 즐길 수 있다."
9,9,9,328,We visited it during weekday to avoid the long line of the cable car. We skipped the ticket line by purchasing it thru Klook. The view is much nicer in autumn.,9,much,우리는 케이블카의 긴 줄을 피하기 위해 평일에 방문했습니다. 우리는 Klook을 통해 구매하여 티켓 라인을 건너 뛰었습니다. 가을에 보면 훨씬 더 멋집니다.
