,Unnamed: 0.1,index,Unnamed: 0,덕수궁부정단어리뷰,index.1,단어,번역
0,0,0,31, Since it has not been restored yet you may think that it is more flat than other palaces and lacks much to see It seemed to show the pain of our history in its own way ,0,much,"아직 복원되지 않아서 다른 궁궐보다 평평하고 볼 것도 별로 없다고 생각할 수도 있겠지만, 우리 역사의 아픔을 나름대로 잘 보여주고 있는 것 같다."
1,1,1,127, Its not as spacious as Gyeongbokgung Palace and theres not much to see but the buildings where East and West meet are new and pretty ,1,much,경복궁만큼 넓지도 않고 볼거리도 많지는 않지만 동서양이 만나는 건물들이 새롭고 예쁘다.
2,2,2,136, Its not too big and its great to take a walk and enjoy I am very much looking forward to the flowers that will bloom one after another such as cherry blossom peony wisteria and pear tree ,2,much,"너무 크지 않고 산책하며 즐기기에 너무 좋아요 벚꽃 모란 등나무, 배나무 등 연달아 피어날 꽃들이 너무너무 기대됩니다"
3,3,3,174, It may not seem like much but once you step inside there is something unusual about the weight of history ,3,much,별 것 아닌 것 같지만 안으로 들어서면 역사의 무게에 비범한 무언가가 있다.
4,4,4,249,A small palace compared to that of Gyeongbukgung and Changdeokgung This palace is perfect for those who wanted to visit one but do not have much time The palace allows visitors to understand the ancient Korean culture There is a change of guard ceremony at fixed timings here,4,much,"경북궁, 창덕궁에 비해 작은 궁궐 가보고 싶었지만 시간이 많지 않은 분들에게 안성맞춤인 궁궐로 한국의 고대 문화를 이해할 수 있습니다."
5,5,5,251,There is a common believe that most South Korean Temples look pretty much alike and that is an undeniable truth Nonetheless there is a hidden differential beauty on each one of them Here at this temple we could appreciate the differences  This palace also has a lot of dynamic history as has been occupied not only by the Korean Royal family In 1897 after the incident when Emperor Gojong took refuge in the Russian legation he returned to this place and named it Gyeongungung again During the Japanese occupation of Korea in 1592 the residential buildings became a temporary royal residence after all the other palaces were destroyed by fires  Many of the structures here have since been removed or sold In 1933 all buildings except for a few central and western style buildings were removed It was then made a park and opened to the public  At the end of the trail you may walk youll find a turquoise Blue Fountain European looking On the left of this you will find a smaller part of the palace detached unit and on the right of the fountain youll be right in front of the Deoksugung National Museum of Modern  Contemporary Art  Its important at the door to purchase the full package ticket so that you can appreciate both Palace and Museum  Since 2007 restoration work to restore Deoksugung Palace to its original specifications  This work has been ongoing We do recommend extensively this palace although we couldnt appreciate the full beauty as it has been a bitter winter this January but in Spring must be definitely wonderful  Dont miss it,5,much,한국의 대부분의 사찰은 모양이 거의 비슷하다는 공통된 믿음이 있으며 이는 부인할 수 없는 사실입니다. 그럼에도 불구하고 각 사찰에는 숨겨진 다른 아름다움이 있습니다 여기 이 사찰에서 우리는 차이점을 이해할 수 있습니다 이 궁에도 많은 역동적인 역사가 있습니다 조선 왕실뿐만 아니라 1897년 고종이 러시아 공사관으로 피신한 사건 이후 이곳으로 돌아와 다시 경운궁이라 명명했다. 다른 모든 궁전이 화재로 소실된 후 거주지 이곳에 있는 많은 건축물이 그 이후로 철거되거나 매각되었습니다. 1933년에 일부 중부 및 서양식 건물을 제외한 모든 건물이 철거되었습니다. 그 후 공원으로 지정되어 대중에게 공개되었습니다. 트레일을 따라 걸으면 청록색 파란색 분수 유럽풍이 보입니다. 이 왼쪽에 궁전 데트의 작은 부분이 있습니다. 2007년부터 덕수궁 복원 공사로 궁과 박물관을 모두 감상할 수 있도록 풀 패키지 티켓을 구입하는 것이 관문에서 중요하다. 궁전 원래 사양의 궁전 이 작업은 계속 진행 중입니다 올 1월은 혹독한 겨울을 보냈기 때문에 완전한 아름다움을 감상할 수는 없었지만 이 궁전을 광범위하게 추천합니다. 그러나 봄은 확실히 멋질 것입니다 놓치지 마세요
6,6,6,256,This is a much smaller palace as compared to the grand Gyeongbokgung palace and is in the heart of the city We landed there just in time for the changing of the guards ceremony which is again not as elaborate as the one at Gyeongbokgung but is still nice You can watch the ceremony from the street You need a ticket only to enter the palace grounds The visit does not take much time as the palace grounds are small The guide pointed out to us some of the structures dating back to 1600,6,much,웅대한 경복궁에 비해 훨씬 작은 궁궐이고 도심 한복판에 있다 우리는 경복궁만큼 정교하지는 않지만 여전히 멋진 근위병 교대식에 맞춰 그곳에 착륙했다. 거리에서 의식을 볼 수 있습니다 궁전 부지에 입장하려면 티켓 만 필요합니다 궁전 부지가 작기 때문에 방문에 많은 시간이 걸리지 않습니다 가이드는 1600으로 거슬러 올라가는 건축물 중 일부를 우리에게 지적했습니다
7,7,7,278,Dropped by here because it was on our way and walked the grounds A few beautiful nature corners and buildings are pictureworthy as usual Otherwise not much to see here but if its on your way its worth stopping by,7,much,도중에 들렀고 경내를 걸었기 때문에 여기에 들렀습니다. 몇 개의 아름다운 자연 코너와 건물은 평소와 같이 그림이 아름답습니다.
8,8,8,299,This palace and the surrounding grounds are much smaller than the nearby Gyeongbokgung Palace but it is still worth a visit if you have an hour or so to spare We arrived just as the changing of the guard ceremony was starting 11am which takes place just in front of the main gate There wasnt such a big crowd so we had a good view of the ceremony After that we took a walk around the westernstyle garden and the interesting buildings in different architectural styles Part of the site was under renovation but there was still plenty to see including the Modern Art Museum,8,much,이 궁과 주변 경내는 인근 경복궁에 비해 훨씬 작지만 1시간 정도 여유가 있다면 한 번 가볼만한 곳이다. 정문 사람들이 많지 않아서 예식을 잘 볼 수 있었습니다. 그 후 우리는 서양식 정원과 다양한 건축 양식의 흥미로운 건물을 산책했습니다. 현대미술관을 비롯한
9,9,9,308,Small place which only takes half an our or so to walk around Not much to see inside The main attraction is the changing of the guard ceremony It was excellent Lots of interesting uniforms to look at and excellent drummers,9,much,걷는 데 우리 반 정도 밖에 걸리지 않는 작은 장소 내부는별로 볼 것이 없습니다 주요 명소는 근위병 교대식입니다 훌륭했습니다 볼 흥미로운 유니폼과 훌륭한 드러머가 많았습니다
10,10,10,309,Deoksugung is a lot smaller than the other Seoul palaces Gyeongbokgung Changdeokgung but its still worth visiting Its much more quiet and offers a break from the city on a hot day Take you time and sit around for awhile observing locals and enjoying the scenery Since its centrally located Deoksugung also offers great views of traditional palace buildings with a bunch of modern skyscrapers in the background  a combination of old and new that makes Seoul so interesting,10,much,덕수궁은 서울의 다른 궁궐보다 훨씬 작습니다. 경복궁 창덕궁은 여전히 ​​방문할 가치가 있습니다. 훨씬 더 조용하고 더운 날 도시에서 휴식을 제공합니다. 시간을내어 현지인을 관찰하고 경치를 즐기며 시간을 보내십시오. 덕수궁은 또한 서울을 매우 흥미롭게 만드는 옛것과 새것의 조합을 배경으로 많은 현대식 고층 빌딩이 있는 전통적인 궁궐 건물의 멋진 전망을 제공합니다.
