,index,Unnamed: 0,경복궁부정단어리뷰,index,단어
0,0,151,"This is the largest palace complex in Seoul. Its history is very interesting! The palace is in reality a reconstruction; the original palace was burned and demolished by the Japanese during their occupation of Korea last century. The restoration of the palace is quite good. Unfortunately, most rooms are empty as their contents disappeared. Only the library in the back of the palace is original and its content is well-preserved. It still works as a public library. The floors, colors, roofs, and windows are original.  Some tips:  1. If you plan to stay in Seoul for at least four or five days and want to learn on the rich past of Korea, you should start you visit here.  2. You may spent the whole day visiting the palace grounds. It is quite relaxing, very well-kept, large, magical. There is a traditional, small tea shop within the palace where you can refresh drinking a delicious Korean tea in a Korean atmosphere.  3. Bathrooms are located in different places. They are impeccable.  4. Buy the ticket that covers all palaces. It is cheap. It last for several days. It will give you access to three other palaces (Two are close by), the secret garden (beautiful place), and the Jongmyo sanctuary. All are UNESCO sites. The sanctuary is far away and you need to take the metro. The palaces and the gardens are walking distance. This is why you need at least 2, (ideally 3 days) to visit all these sites.  5. If your interest is in in the rich past of Seoul ( Joseon period), the ticket is perfect. Look for a hotel in this area. Seoul is very big and crowded. Traffic is hectic and distances are enormous.  6. If you rent a Hanbok (Traditional Korean clothing) you will have free access to the palace. This is nice as it will make you feel more local and the pictures could be lovely. However, keep in mind that clothing is heavy and hot. We were there in September of 2019. It was a warm and humid day. It was not too hot. However, people wearing Hanboks shortened their visit because of how hot and wet they felt.  7. See the change of guards. We saw it at noon. It is a colorful symbolic, short ceremony. No many tourists; people behaved really well.  8. After finishing your visit, go to Insa Dong for dinner and shopping. It is really nice and relaxing. It takes 10-15 minutes to get to Insa Dong (walking distance). You may have ice cream midway.",0,empty
1,1,155,"Highly recommended to visit Gyeongbokgung Palace at 9am as it’s quite empty, not many tourists yet. The Palace is very interesting with long history. There is a security guards gate change performance at 10am and it’s free. Anyway, the palace is closed on Tuesday. It's very convenient to visit as it's located in the heart of Seoul.",1,empty
2,2,275,A beautiful palace that takes several hours to see properly. If you plan to visit any other palace or Jongymo Shrine buy the Combined Ticket as more cost effective. The Pavilions are especially lovely. There is no set way to go around and most buildings are empty (the Throne Room is partially furnished). If you hire a Hanbok (costume) entrance is free (depends on weather if you do this as they are not rain friendly).,2,empty
3,3,493,"A national treasure, but if you only visit one palace in Seoul, choose Changdeokgung Palace instead (I've left a review there, too). Gyeongokgung is gigantic, but in its current state feels empty. Actually, the museums inside were more interesting than the grounds themselves.",3,empty
4,4,672,The palace is very pretty. Not spectacular at all but very pretty and a nice place to kill some time. Went there today with my mother. It is packed and just empty shells of buildings. The highlight is the free folk art museum.  Never the less enjoyed this palace with what could be a tranquil setting all for the price of $3,4,empty
5,5,674,"This is a strange place. First of all it had been completely destroyed by the Japanese (and many times before) and they only started reconstructing it in the 1990s - so the entire thing is only about 20 years old (and they are still adding buildings) and completely empty. Secondly it looks like a small Korean copy of the forbidden city in Beijing. With this in mind it is still an interesting visit as it gives an idea how the original palace might have looked like, if you have only time for one place I would recommend Changdeokgung, which is more authentic and imho more beautiful.",5,empty
6,6,705,"The changing of the guards is worth seeing. It takes place in a massive empty square and the guards move around it, so you get good views of the whole thing. It's very colourful and makes for good pictures. Besides that, there is not much else to see besides the buildings, and the main gate.",6,empty
7,7,868,"Arrived here at 2 pm and very crowded because many visitors from locals and foreigner. Cost me 3000 Won per person (free of charge for people using hanbok). There's a guardian changing ceremony at 10 am and 2 pm. But it's not a real guardian, only some actor (but they do it very very serious and nice to watch).  This palace is very large, but never empty of visitors since it's the main palace. Oh good thing is this object provide free locker where we can put our bag. It's located near from the entrance.  Many people come here using hanbok (traditional clothes from Korea). Surely can take beautiful photos here.",7,empty
8,8,883,"Like many of sites in Seoul a lot of the place was destroyed by the Japanese, A lot has been rebuilt to the original architecture, Only down side 95% of the buildings are empty, so gets a bit boring just look at the outside walls which all have the same decor. On highlight is the changing of the place guard ceremony twice a day except Mondays, If you are over 65 take a copy of your passport or other proof of age as its free entry. We also found the last Wednesday of the Month was free. Expect to spend around 1.5 to 2 hours here",8,empty
9,9,1063,"If you have been to the Forbidden City in Beijing, you will be more tolerant of this rebuilt collection of buildings that is the Gyeongbokgung Palace. Some reviewers complain there isn't much to see here. But I guess it depends upon what your goals are.Yes, the buildings are mostly closed or empty. But the way the palace is built with exposure to weather with unheated buildings, it is understandable why they won't be full of ancient artifacts. You'll find those in museums nearby. I have been here probably five times going back over 30 years, and I never cease to find it a place to calmly reflect on Korea's ancient and interesting history as a keystone located in the heart of East Asia. Additionally, you will find two great museums within its boundary. A great place for leisurely walks and quiet thinking (except on Korean holidays!).",9,empty
10,10,1067,I visited this palace today.  Wow - how boring can a palace be! This one takes the biscuit!! Lots of Koreans all garbed up in traditional Korean dress which they hire locally - even men so they get free admission. Selfies are the order of the day. We maybe just a bit of glamour.  Let's get down to hard facts. Lots of buildings - most closed with nothing to see. Those open / nothing inside - again empty rooms - nothing to see. Exceptions: the throne room has a throne in - basic and the Gyeonghoeru Pavilion is of national significance for its important part in architectural design and application.  This is not a place to visit even if it only costs 4000 won.  The National Palace Museum of Korea is in the same compound (admission free) is excellent. So head there when disillusionment overcomes you from your Palace experience.,10,empty
11,11,1070,"My sister and I visited Gyeongbokgung, once without a hanbok (entrance fee is 3000krw/person if I'm not mistaken) and again with hanbok (free entry) for the fun of it. Visitors are not allowed to enter any of the buildings which are empty, however are free to walk everywhere. Everything is outdoor... The weather was pretty cold when we were there. The cafe and gift shop was our temporary hideout for snacks and hot tea. There are free English tours available at certain times during the day. We did not join the tour due to the cold weather. The guards change ceremony is also interesting to watch. This was one of the busiest palace we visited during our trip. We spent about 2-3 hours here.",11,empty
12,12,1185,The palace is worth the visit for its unique oriental buildings and its change of guards which matches that at the Buckingham palace. The rooms are empty so don't expect to see fine interiors.,12,empty
13,13,1223,Go there for a good morning walk.Nothing much to see. Very empty palace. Lucky the entrance fee is not expensive.,13,empty
14,14,1482,"As my wife likes history and has been watching some Korean dramas relating to this period in time, we had to come and visit when we visited Korea. We watched the changing of the guards and spent an afternoon looking around. It was okay, pity you can't actually go inside the buildings (which are empty). It would be nice to visit here in the summer months.",14,empty
15,15,1523,"A vast area with a lot of very pretty but closed buildings. There were some you could look into, but most of the buildings seemed like empty shells. Very beautiful buildings though. Not many places to get something to eat, and not really much to see. Maybe a guided tour would have been more informative, but I really loathe guided tours - so that's not an option for me. It didn't feel like totally wasted time, but I will never visit again.",15,empty
16,16,1573,"Gyeongbokgung Palace is absolutely huge, but after a while all of the buildings start to look very similar. The first part of the palace is the most interesting: Gwanghwamun Gate, the large paved courtyards and the throne room are truly impressive. After the first 3 or 4 buildings I got bored very quickly and found that the rest of the palace consisted of nothing more than empty rooms in near identical buildings. The only features of interest past the initial cluster of buildings were the small lake with the garden island (behind the main palace) and the large pavilion for official entertaining on a large lake to the west of the main section of palace buildings. A lack of clear signage made it hard to find where to go next. I spent an hour and a half wandering around until I lost interest but you could easily spend much more time here if you wanted to. I was a bit disappointed that the palace is largely just empty buildings you can only see from the outside - it is hard to appreciate the rich history of Korea when one buildings looks the same as the one you just saw. Changdeokgung Palace had more character and was much prettier. The Changing of the Guard happens regularly and is a good show, but not as interesting as the one at Deoksugung Palace.",16,empty
17,17,1602,"Kinda waste of time and money for visit.. probably i duno how to appreciate wide ""empty"" palace. Simply nothing for me to see. Less than 10mins, am outta of this place",17,empty
18,18,1673,"This palace is just an empty palace. To know more about the palace, please get a tour. Otherwise, you can buy the palace brochure for 500 won. Audio guides are available as well.  Nothing much to see except for the huge area use to construct the palace, many are reconstructed back as it was damaged and of cause the guard changing ceremony for the first timers.  Nevertheless, an eye opener for first timers.  I went there during December, as the place is covered with mud and melted snow, it gets quite dirty for your shoes as well as for your legs (jeans).  Please also take note that as the roof are constructed like in the olden days, they have a down slope roof, therefore melted snow (ice) will slide and drop down, please be careful when you are touring the palace especially if you have kids.",18,empty
