,index,Unnamed: 0,남산부정단어리뷰,index,단어
0,0,6, I went a few years ago and I didnt like it its not much of a joke and its expensive for what it offers It seems that the only attractions in South Korea are Kpop and Kdramas A few palaces if anything but ,0,much
1,1,12,Namsan Seoul Tower was built in 1969 as Koreas first integrated transmission tower beaming television and radio broadcasts across the capital Since opening to the public in 1980 it has become a muchloved Seoul landmark The towers main ,1,much
2,2,79,The view was spectacular up here Worth the climb from the train station hella steep but hey humidity is lower so i didnt sweat much,2,much
3,3,83, I honestly expected much more The views are nothing to write home about during the day or at night the climb is quite shabby in the elevator expensive and you have to wait If you have nothing else to do in Seoul ,3,much
4,4,158, Its a weekend so the wait is over an hour But the night view of Seoul at night is so wonderful As much as the observatory is open it would be nice if the souvenir shop on the first floor was open until late You ,4,much
5,5,196,Good experience and no need to spend much money and cheapest place to travel,5,much
6,6,237,Good place to have a look at Seouls skyline The entry ticket is reasonably cheap but there isnt too much to do at the observation deck Unfortunately the windows were quite dirty and some viewsphotos werent as good as they should ,6,much
7,7,281, Seoul lookout site to see the city in 360 You also dont miss much if you dont go up to the top of the tower which costs about 19000 won There are very good views from the free zone and you can go up by bus or ,7,much
8,8,311,"Namsan Tower is a Korean landmark, and it is one of the tallest towers in Asia. It offers not only a view of all of Seoul, but also a chance to enjoy a meal inside the tower. At first, Namsan Tower was used for broadcasting, and then fully open to the public, it is worth watching the Namsan Tower lock wall, slowly a wall of locks, and the lock hanging on it must be a couple together. Now, the Nanshan Tower locked wall is a very popular tourist attraction. At Nanshan Tower, the highlight is that there are interpreters for multiple languages so that you do not have to worry about language barriers. Secondly, the entertainment near the tower is also very much available, which can satisfy no longer a single view of a tourist destination but can enjoy food and shopping at the same time as viewing the landscape.",8,much
9,9,328,We visited it during weekday to avoid the long line of the cable car. We skipped the ticket line by purchasing it thru Klook. The view is much nicer in autumn.,9,much
10,10,346,The tower is interesting but probably not worth visiting unless you have a nice clear day. It was dull the day we went and you couldn’t see much.,10,much
11,11,359,"Probably outshined by Lotte Tower which of course is bigger and badder but the wait times and surrounding area at N Tower are much better. There is good food, a bar, lovelocks and a trippy colors room before you enter the tower elevator.",11,much
12,12,390,"Two options to the top of the tower, hike or take a cable car. We decided to take the cable car. After purchasing the tickets, we have to stand in a very long queue which goes up two floors to reach the cable car station. It too us 40 minutes before we got into the car. The ride was smooth, but the view from the car and from the tower is nothing special. We went there in the night expecting nice views, but there is too much light which prevents us from getting a good view of the city (see picture).  Lot of young couples around who come to 'lock their love' on the railings of the tower using a paddlock. This seems to be a popular belief. There are restaurants and souvenier shops in the tower.",12,much
