,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index,단어
0,0,59,Beautiful old architecture and nice for a calming walk in loud Seoul Recommend to go early as it can get fuller during the day  Respect the locals and dont litter be loud or go inside peoples places  gardens ,0,inside
1,1,86,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside,1,inside
2,2,109,This village is super chill and extremely photogenic but please remember to refrain from making too much noises as they are all houses with real humans staying inside Residents probably not paid by the tourism board of South Korea but some of them put on their thinking caps Paid for an observation deck with free water in it seems like a residents rooftop haha Whats funny is later on as we explore we found a better view with no charges,2,inside
3,3,143,A district with the largest number of traditional Korean houses. The houses are kept in good conditions and some are opened to public. Traditional Korean costumes can be hired from the shops for photo-taking on the streets and inside the houses. A reminder for visitors to avoid disturbing the residents there.,3,inside
4,4,160,"What a Lovely Neighborhood indeed. Very calmed place filled with little streets in between and tiny dead end streets. It can get annoying for a bit trying to go on each and everyone of these tinny streets, but soon enough you'll find out, that is not about getting somewhere, but the beauty that you can photograph at the end of each of these streets. Then you turn around and go on your way to the next. Kinda like this is a journey and not a destination; if I want to get all philosophical and stuff.  Therefore after you are done with the cute pictures, remain in the main street of this village and then start to build your way up. You'll find on your left and right side a multitude of nice little shops; we specially loved a tinny flower shop / coffee shop. Very subtle and calm inside, nice jazz music as a background and although South Koreans have the worst coffee to drink in the world; the small pastries kinda make up for this.  All in all and without too much mystery, it is worth to go and check one by one these little stores, where you will find also a very nice lady who makes and designs her own clothing (very luxurious and not cheap) but very much worth. Also there is a fine lady who designs her own silver jewelry, very well made and with a nice weight and surprisingly very affordable.  Please look at our pictures and find out what we are talking about. Beautiful street indeed and we had a lovely time. This is the kind of streets you need to look for in Seoul. The crowded Millennial streets will drive you nuts with cheap nasty food and cheap Chinese stuff that has no material and spiritual value whatsoever.",4,inside
5,5,198,"The architecture is beautiful, without a doubt. Looks new too, which I guess is expected because you don't expect a 600 years + building to still be standing without work done to restore it. I enjoyed walking in the less popular alleyways where I had the time and space to reflect upon the history of the people who lived here way before my time.  Now- these are also people's home and the many signs posted on the walls remind you this, and to be quiet. And even though no one said anything to me it reay felt voyueristic and sorta intrusive. (I saw 2 or so elderly women walk past tourists on the steps of their houses to get inside). I tried to imagine how I'd feel like if day in, day out, I had to contend with throngs of tourists taking pictures outside my house. I imagine during the warmer months, opening a window is neat impossible what with the hoarders of strangers milling about.  Should you go? Depends on you and what you feel comfortable with.",5,inside
6,6,203,"As u walk from the subway station towards Bukchon Hanok Village, look for the tourism ambassadors decked out in bright red uniform & hat. They will offer u a physical map and recommend a route for u to follow so that u will not be lost figuring out where to go inside Bukchon Hanok Village. The walking route is highly recommended as u get to see lots of stuff which u might miss if u cluelessly wander around.",6,inside
7,7,216,"not easy to find this place, as I walked and walked trying to look for this place. it is a village where people are living, so we dont really see inside of their house, is quite tiring too as this village is just a two rows of village",7,inside
8,8,259,"as this is still an actual residential area the inside of the house can’t be seen, but it is the interior + exteriors that makes the Hanok ever interesting ... fine other hanok villages that allow you to have a meal in it I.e onion cafe",8,inside
9,9,304,"The neighborhood has the largest collection of privately owned hanoks, or traditional Korean homes with tiled roofs, stone floors and amazing wooden doors, in Seoul. It’s located on in a hilly neighborhood nestled between Gyeongbok Palace and Changdeok Palace which are both walkable for this location. While I strolled through Bukchon Village up, down, back and forth it may feel like a trip through the ages, the neighborhood is not frozen in time. Some of the hanoks are still private homes, but others have been converted into tea houses, coffee shops. These are neat little places to get a look inside on of these beauties majority of them be historically updated renovations but they kept it to the err of time. I really enjoyed my time even while it rained.  Remember people still live here so a quiet ordinance is in place and is patrolled.",9,inside
10,10,308,"We spent so little time there in the morning, as we brought our parents. We visited a nice cafe inside that served delicious muffin and drinks.  Some of the routes are steep, and require good stamina. Heck, we just stayed for around 30 min walking and maybe another 30 in that cafe. We just had a couple of good photos (since we were all dressed in hanbok) and left.  Maybe if I travle with friends someday I will visit this village again, maybe even make a traditional stamps or two. But travelling as a family... I won't recommend this place.",10,inside
11,11,314,"Lovely neighborhood with privately owned hanoks. Start out at the Tradional Cultural Center and pick up a free detailed area map. The Cultural Center has restrooms and displays of typical hanok houses that you can peek inside. Shops and restaurants are along the way although on a Tuesday morning there did not seem to be many places open but the crowd was also sparse. Signage is good at helping one find the way. Some of the streets are steep. We took the metro getting off at Anguk Station, exit 3.",11,inside
12,12,374,This was part of a tour and it's lots of traditional houses in a specific part of Seoul. The houses are not open to the public and before you go you are asked not to make too much noise as its residential. There are people there with signs saying don't make too much noise. You really don't see the houses inside it's just the exterior and they are 100 years old it was interesting but I don't think I would make it my business to take time out to go there to see it specifically. It would be nice if one hone was on view.,12,inside
13,13,378,I'm kindda a history buff so having to experience walking along and inside the urban environment dating back 600 years ago was a chance not to be missed. The houses are so well maintained and beautiful to look at. Love it here!,13,inside
14,14,479,"Maybe because there were just too many tourists when we were there to take any nice photos. However, still interesting to know that these traditional houses actually have residents staying inside.",14,inside
15,15,489,"Just walk along the road deep inside the Village. You will find traditional Korean tea houses, restaurants, and item shops. However, be aware of the residents. They dislike too loud voice.",15,inside
16,16,491,"The village has nice traditional Korean houses. However, they are suffering from tourism. The houses are mostly occupied but families living in them. But tourists are not letting them live happily and with privacy. There are signs by the residents (see photos) indicating that they are suffering. There are signs on most doors asking people to not open doors/knock on them. There are also staff with yellow vests asking tourists to be quiet as they visit the village. Yet, I witnessed so many people talking loudly, knocking on doors and trying to go inside, and many other disturbing behaviors. This is unsustainable and unethical tourism. There are many other places in Korea where you can find that style of architecture. Do yourself and the village a favor and skip this place - let the locals live. I would’ve skipped if I was aware of this problem.",16,inside
17,17,492,Strolled through the village following a recommended walking tour provided by a tourist info center. Charming traditional houses. You could go inside a couple of them. Some areas with shopping & restaurants. Many people wandering about in traditional Korean dress added to the experience,17,inside
18,18,500,This is a residential area in Seoul and one should have that in mind when visiting the place. It is made of small private homes with history boasting 600 years. The houses are small made with wood and stone on a very peculiar architectural style. Some were turned into small restaurants and coffee shops giving you a chance to see the inside of the houses. Some locals wearing yellow jackets can help you through the narrow streets. The visit should not take long and it is definitely a spot you should not miss.,18,inside
19,19,545,A traditional Korean village inside the city. They have preserved the heritage. You have to walk up and you can take photo with the headless traditional figurines n front of the village!,19,inside
20,20,552,"The village is located about 10-15 min walk from Anguk station. The station itself is one of the most artistic station I have ever visited in Seoul. I must say that the village is a good place to get to know Korean heritage through its traditional houses (you must know that some people still live inside those houses). There is this one house that you can enter so that you can experience living like a Korean. For those who loves learning about different culture, this is the place to be !",20,inside
21,21,618,This is a lovely residential area which worth to pay a visit. The houses are beautiful but we didn’t have a chance to look inside!,21,inside
22,22,622,"Bukchon Hanok Village is the small village in in middle of buzzling city of Seoul which keep its traditional architectural houses. If you'd like to explore the inside of houses, try not visit it in the evening because you can not go inside after 5 PM. Wearing hanbok while exploring the house will give you new experience of the real Korean village people.",22,inside
23,23,633,"Quite nice architecture but all doors are closed except for one or two which have been turned to shops. The street can be narrow and steep. I was surprised to see a banner that roughly says ‘No tourists please ‘ and no talking signs pasted on most doors. I guess people live inside these houses and the whole atmosphere is very quite except for those made by tourists. Despite the hot summer, some tourists are game enough to wear traditional dresses to take photos.😂",23,inside
24,24,663,"what should I say, yes it's old and traditional houses but imagine that a hundred year old house with a Lamborghini inside. nice house but not a must to see in Korea",24,inside
25,25,707,"i love history and the houses here are just so beautiful. i want to get in to see how it look inside.  it is very tiring to go up and down the street. it is uphill and downhill.  there are many shop where you can buy clothes and everything.  restaurants and coffee shop not to get hungry.  when you are up you will be able to witness a beautiful view, just relax and enjoy",25,inside
26,26,731,"Our taxi dropped us off this 100 year old Korean exhibition house either a scenic overview of the Bukchon village, unfortunately we were not allowed inside the house because we were not with a guided tour. But fortunately they allowed us to enter & view the house from the garden -- to officially open in 2 months. This was a home of a Korean surgeon & now bought by the City of Seoul. Yes it's worth a visit then walk to G-Palace . Ginseng chicken soup Restaurant was our lunch stop in this area.",26,inside
27,27,751,It is fun to walk around the area. Especially the little craft shops inside or the small cafe's. It is close to the palace!,27,inside
28,28,785,"This is absolutely fantastic! Bukchon is a traditional Korean hanok village in the heart of Seoul. The hanok houses are so beautiful, and I couldn't stop taking photos. It is possible to go inside some of the houses, and you can also buy morning or afternoon tea and just enjoy the atmosphere of this amazing place. The streets are quite steep, but it is definitely worth making the effort to navigate your way through them. And you'll find some great views over Seoul too. I would highly recommend a visit to Bukchon.",28,inside
29,29,787,"been to this place the morning before our flight going back home (manila). though im satisfied seeing the hanok, but i would love to experience going inside and see how traditional houses were arranged. unfortunately, we were not able to follow the tour map and were not able to reach the highlight of the hanok village (where the abundant hanoks are located). dont forget to try a mango dessert at philippines dessert cafe. :)  how to get here? we took a train from myeongdong. the nearest subway station is Anguk (orange line, line 3). take exit 3, walk few meters and take left turn for Gyedong-gil (road/street).  For tour map, visit this site and print the map: http://www.visitseoul.net/en/article/article.do?_method=view&art_id=58509&lang=en&m=0004004004001&p=04",29,inside
30,30,792,"Whenever you visited an old village, one would think it is a show case. In this case, this is real life though the building dated back some 500 years ago. They have couple of houses open to visitors to see inside.  It is only available to visit before sunset to give residence some privacy. The area outside the old village is also very interesting with cafe and restaurant', also very near to president residence.",30,inside
31,31,794,"Lots of traditional homes still preserved from the olden days. I went here on mid May and it was still chilly. So bring your jackets during any season. You have to walk a lot from the station and the place is quite hilly so sneakers are recommended. The neighborhoods are a mix of traditional and modern houses. People live inside. Lots of flowers blooming on early summer. The roads were quite narrow and scenic. Excellent for pictures. It was great cultural experience. If you don't care about culture, don't bother with it. You might find it Uninteresting.  I was very tired of walking towards the end of my journey there, so I rested in a Cafe And had some shaved ice cream with red bean paste and rice cake. The portion was big but still it was overpriced, in my opinion. Actually, everything in there is more pricey than anywhere else. It's a stylish little town. And I bet the merchants know tourists go there so it's expected, I guess.  Despite the cold weather and aching feet, I still really enjoyed my trip there. Definitely recommend!!!! ♡",31,inside
32,32,809,"actually, lots of this area is private are which is owned by citizen. but the government opens for public as a tourist destination. so, they suggest you not to make noisy sounds. you can see the typical of old style Korean house. my friend who was my guide said that this area is quite expensive. so, all the house might have expensive price. don't forget to take a map at the tourist information, because they give a direction how to explore this place. only few place in the Bukchon that have free entrance. if you want to see inside the house, you have to pay 10.000 won. if you want see all around Bukchon from 3rd fl., you have to pay also (but i forgot how much is it). i've found nothing special in here, just to improve knowledge about the Korean tradition. Bukchon is very near to Gyeongbokgung. so, after visit Gyeongbokgung, try to walk to find Bukchon.",32,inside
33,33,822,"A must visit in seoul, where the traditional old quarter situated in the middle of modern glitzy seoul. A comfortable stroll next to the palace and Insadong area. Can easily spend about an hour or two. Has the lovely korean traditional houses. We'll preserved. If lucky can visit some inside and take a look. Has some lovely cafés and art galleries.",33,inside
