,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,208, Convenience store friendliness is the worst The first convenience store on the right side of the front door is the worst ,0,worst,편의점 친절도 최악 정문 우측 첫번째 편의점 최악
1,1,0,112, close too early The lift staff are unfriendly ,1,staff,너무 일찍 닫음 엘리베이터 직원이 불친절함
2,2,1,264,"We went there in August and it's too hot for us. We could only walked for half an hour and decided to leave. The zoo is pretty old. The staff is not good at providing information (as we walk along the way to the zoo from cable car station, we just realized that there a shuttle bus to the zoo but the woman at the information didnt tell us. So we have to walk under really hot weather).",2,staff,우리는 8월에 거기에 갔고 우리에게는 너무 덥습니다. 우리는 30분 정도만 걸을 수 있었고 떠나기로 결정했습니다. 동물원은 꽤 오래되었습니다. 직원이 정보를 잘 제공하지 않습니다 (케이블카 정류장에서 동물원으로가는 길을 따라 걸을 때 우리는 동물원까지 셔틀 버스가 있다는 것을 알았지 만 안내 직원이 우리에게 알려주지 않았습니다. 그래서 우리는 아래로 걸어 가야합니다. 정말 더운 날씨).
3,3,2,281,"I visited the Gwacheon-located Seoul Grand Park and it was overall a positive experience. I only visited the zoo section, and not Seoul Land, the amusement park. For what it's worth my friends have told me that Seoul Land isn't really worth it, compared to Lotte World or Everland. The zoo features many animals, of all kinds and species and from all continents. There's pretty much everything you can think of : reptiles, big mammals, seals, éléphants, lions... The park is also perfectly located in between mountains and offers a stunning view. It also has a fairly large choice of dining and snack options. My bigger complaint with the park is that it feels a bit run down. Enclosures are fairly stale, and a some animals seemed a bit unhealthy. It also lacks some kind of a theme (safari, themes for different clades or cintinents), special events allowing greater interaction with animals or staff, as well as a session dedicated to children for example)",3,staff,"과천에 위치한 서울대공원을 방문했는데 전반적으로 긍정적인 경험이었습니다. 동물원 부분만 가보고 놀이동산인 서울랜드는 안 가봤다. 내 친구들은 롯데월드나 에버랜드에 비해 서울랜드가 별로 가치가 없다고 말했다. 동물원에는 모든 종류와 종, 모든 대륙의 많은 동물이 있습니다. 파충류, 대형 포유류, 물개, 코끼리, 사자 등 생각할 수 있는 모든 것이 있습니다. 또한 공원은 산 사이에 완벽하게 위치해 있어 멋진 전망을 제공합니다. 또한 식사 및 스낵 옵션의 선택 폭이 상당히 넓습니다. 공원에 대한 나의 더 큰 불만은 약간 무너진 느낌이 든다는 것입니다. 인클로저는 상당히 오래되었고 일부 동물은 건강에 좋지 않은 것처럼 보였습니다. 또한 일종의 테마(사파리, 다양한 계통 또는 신티넨트를 위한 테마), 동물 또는 직원과의 더 큰 상호 작용을 허용하는 특별 이벤트, 어린이 전용 세션이 부족합니다."
4,4,3,294,"This place was amazing and so big we couldn't even do it all before we got tired and a little too hot for the day. There are many animals and they have nicely done enclosures. The guide map was in English but we found very few of the staff spoke English. However this wasn't too important as we wanted to just see the animals. They had an amazing dolphin and seal lion show that was included with the entrance fee. There was an impressive green house with many many different species of lovely plants. We also took the sky lift to get a birds eye view (and return to the front) and it wasn't very expensive. The zoo is non-smoking which was nice. There were several food options and one had a lot of good Korean food options with a serve yourself kimchi bar. There were colored lines along paths if you wanted to do a particular loop with each taking about two hours to complete. We didn't use these, but it was a nice option. Overall this zoo was enormous and very nicely done. We were glad we were able to visit and little sad we didn't get to see the whole place (or have time to to return again on another day).",4,staff,이 장소는 놀랍고 너무 커서 우리가 피곤하고 하루 동안 너무 더워지기 전에 모든 것을 할 수 없었습니다. 많은 동물이 있으며 그들은 인클로저를 멋지게 만들었습니다. 가이드 맵은 영어로 되어 있었지만 영어를 구사하는 직원은 거의 없었습니다. 그러나 우리가 동물을보고 싶었 기 때문에 이것은 그다지 중요하지 않았습니다. 그들은 입장료에 포함 된 놀라운 돌고래와 물개 사자 쇼를했습니다. 다양한 종류의 사랑스러운 식물이 있는 인상적인 온실이 있었습니다. 우리는 또한 조감도를 보기 위해 스카이 리프트를 탔고(앞으로 돌아갑니다) 그리 비싸지 않았습니다. 동물원은 금연이어서 좋았습니다. 몇 가지 음식 옵션이 있었고 그 중 하나는 김치 바를 제공하는 좋은 한국 음식 옵션이 많이 있었습니다. 특정 루프를 완료하는 데 약 2시간이 걸리는 특정 루프를 수행하려는 경우 경로를 따라 컬러 라인이 있었습니다. 우리는 이것을 사용하지 않았지만 좋은 옵션이었습니다. 전반적으로이 동물원은 거대하고 매우 훌륭하게 이루어졌습니다. 우리는 우리가 방문할 수 있어서 기뻤고 우리가 전체 장소를 볼 수 없어서 조금 슬펐습니다(또는 다른 날에 다시 돌아올 시간이 없습니다).
5,5,4,306,"We are a family of four, we have a 9 year old daughter and a 3 year old son. We went to Seoul Grand Park on Sep 1 2013 and loved it. I would highly recommend taking the subway, line #4, stop SEOUL GRAND PARK. If you exit out of exit 2, you will walk about 1/4 mile to the SGP tram loading/unloading zone. I would recommend paying to ride the tram as the entrance to the zoo is about 1/2 to 3/4 of a mile uphill (and trust me you are going to be walking uphill enough). The tram cost us 2,700 won. Although the tram area looks busy as all get out, trams came one right after another, only waiting about 30 seconds between trams. They moved us out like cattle! We were pleased with the tram. So, once the tram stopped, we bought our tickets to the zoo (they included a special ""theme"" ticket allowing us into another attraction, I am all but certain it was the rose garden, but we never made it), and we entered the zoo (9,600 won total, I could NOT believe how inexpensive it was). Ok, once in the zoo, either take the ski lift all the way up to the top and walk down and call it a day, or find a good spot to tighten your walking shoes. The walk to the top is uphill, you will earn your view of the lions and the other ""cats"", but it is well worth it. I've never been to a zoo that had over 6 lions, not lioness, lions! This zoo has it ALL, from Bison, Bears (so many), Dolphins to Deer. The highlight of the day was the deer eating out of my daughter and son's hand (although it's probably not recommended by the staff, if you have little ones than bring lettuce or carrots, my kids just fed them the green leaves they found on the ground and they ate them). We had absolutely no complaints about this zoo, in fact it blew away our expectations. Bathrooms extremely clean, convenient stores selling soda and snacks for regular prices (not jacked up because it's in a zoo, a soda was 900 won), and such a wide variety of animals. Tip #1 - allow a FULL day here. So, the end of the day we hopped back on the tram and we thought it would take us straight to the loading/unloading area we boarded the tram when we arrived....no. It made one stop at Seoul Land prior to heading back. Tip #2 - there is MORE at the Seoul Grand Park than the zoo!!! Who knew right?? Well, we do and we are definitely heading back soon! We had an incredible day!",5,staff,"저희는 4인 가족이며 9살 딸과 3살 아들이 있습니다. 우리는 2013년 9월 1일에 서울 대공원에 갔고 그것을 좋아했습니다. 지하철 4호선 SEOUL GRAND PARK 하차를 추천합니다. 2번 출구로 나가면 SGP 트램 승하차 구역까지 약 1/4마일을 걸을 수 있습니다. 동물원 입구가 약 1/2에서 3/4마일 오르막이기 때문에 트램을 타기 위해 비용을 지불하는 것이 좋습니다. 트램 요금은 2,700원입니다. 트램 구역은 모두 나가서 붐비는 것처럼 보이지만 트램은 트램 사이에 약 30초 정도만 기다리면 연이어 들어옵니다. 그들은 소처럼 우리를 옮겼습니다! 우리는 트램에 만족했습니다. 그래서 트램이 멈췄을 때 우리는 동물원 티켓을 샀고(여기에는 다른 명소로 갈 수 있는 특별한 ""테마"" 티켓이 포함되어 있었고 장미 정원이었음은 거의 확실하지만 우리는 가본 적이 없습니다) 우리는 입장했습니다. 동물원(총 9,600원, 가격이 믿기지 않을 정도). 좋아, 일단 동물원에 가면 스키 리프트를 타고 꼭대기까지 올라갔다가 내려와서 하루라고 부르거나 운동화를 조일 수 있는 좋은 장소를 찾으세요. 정상까지 걸어가는 길은 오르막이며 사자와 다른 ""고양이""를 볼 수 있지만 그만한 가치가 있습니다. 나는 사자가 아닌 6마리 이상의 사자가 있는 동물원에 가본 적이 없다! 이 동물원에는 들소, 곰(너무 많음), 돌고래부터 사슴까지 모든 것이 있습니다. 오늘의 하이라이트는 사슴이 딸과 아들의 손을 먹는 것이었습니다 (직원이 권장하지는 않지만 상추 나 당근보다 어린 아이가있는 경우 아이들은 땅에서 찾은 녹색 잎을 먹였습니다. 그리고 그들은 그것을 먹었다). 우리는 이 동물원에 대해 전혀 불만이 없었습니다. 사실 그것은 우리의 기대를 날려버렸습니다. 욕실 매우 깨끗하고 음료수와 스낵을 정가에 판매하는 편의점 (동물원에 있기 때문에 잭이 아닌 음료수는 900 원) 및 다양한 동물. 팁 #1 - 여기에서 하루 종일 허용합니다. 그래서 우리는 트램을 다시 탔고 우리가 도착했을 때 트램을 탔던 선적/하역 지역으로 곧장 갈 것이라고 생각했습니다. …아니요. 서울랜드에 한 번 들른 뒤 귀환했다. 팁 #2 - 서울대공원에는 동물원보다 더 많은 것이 있습니다!!! 누가 제대로 알았어?? 글쎄, 우리는 그렇게하고 우리는 곧 다시 향하고 있습니다! 우리는 놀라운 하루를 보냈습니다!"
6,6,0,5, Its summer and the animals are wet There are many empty cages There are many construction sites but satisfaction is low ,6,empty,여름이라 동물들이 젖어 있다 빈 우리가 많다 건설현장은 많지만 만족도가 낮다
7,7,1,179, It was a pity because there were so many empty kennels Maybe it was because there were not as many visitors as before Or should I rather be happy with the many empty kennels The leopard kennel was ,7,empty,빈 사육장이 너무 많아서 아쉬웠어요 손님이 예전만큼 많지 않아서인지 아니면 빈 사육장이 많아 다행인지 표범 사육사는
8,8,2,237,"This is a park in massive area which includes multiple different attractions. The zoo has most visitors and is a pretty good place to any ages.  Facilities: Zoo, Garden, Camping Zone, Seoul Land(Amusement Park), Contemporary Museum, etc. We only entered the zoo. But, there was a rose garden as a season special and it looked nice, too.  Location: This is in Gwacheon City. But, only 4 stops away from Metro Sadang Station (line #4). Accessibility is great from Seoul. From the metro station, it's a short walk to the park. There are some food stalls in the way. It's fun to watch and I recommend having foods here because foods inside the park are much more expensive.  Zoo: - We bought combined ticket of 10,500 won for a lift, a elephant bus and an entrance. After buying the ticket, go to the lift station on the right and take the lift until the highest area of the zoo. Walk around the zoo and take the bus when it's done. This seems to be the best way to save money.  - The zoo was fine. Food stands, bathrooms, benches are everywhere. Bird Zone is like a Jurassic Park. If you are lucky, you'll be able to see parrots very closely. We were very amused to see apes. I think Ape Zone is the best part in this zoo.  - I was a bit disappointed not to see lions. There were MANY constructions and some animals aren't staying at where they are supposed to be. Bat cages were empty.  - It's a lot of walking anyway. Be ready to get tired.  - There's A-Zoo tour on the website to travel comfortably riding on a cart for children or seniors. It's not available at the ticket office. I think they should fix that.  - Even though there are animals of many kinds, there are still many this zoo doesn't have. So, don't expect to see every one you can imagine.  - There's an arboretum in the zoo. It was just okay level.  - There are a number of visitors in the zoo. But, this is a huge zoo and there's no chance to wait to see something. We liked it.  - Some of them close at 18:00. You'd better enter before that if you wish to see everything.",8,empty,"이것은 여러 다른 명소를 포함하는 대규모 지역의 공원입니다. 동물원에는 방문객이 가장 많으며 모든 연령대에 꽤 좋은 곳입니다. 부대시설 : 동물원, 정원, 캠핑존, 서울랜드(놀이공원), 현대미술관 등 동물원만 입장. 하지만 시즌특집으로 장미정원이 있어서 보기에도 좋았습니다. 위치: 과천시에 있습니다. 그러나 지하철 사당역(4호선)에서 불과 4정거장 거리에 있습니다. 서울에서 접근성이 좋습니다. 지하철역에서 공원까지 도보로 가까운 거리에 있습니다. 가는 길에 먹거리 노점이 있습니다. 보는 것도 재미있고 공원 안의 음식은 훨씬 비싸기 때문에 여기서 음식을 먹는 것을 추천합니다. 동물원: - 리프트, 코끼리버스, 입장권을 10,500원에 샀습니다. 티켓 구매 후 우측 리프트 스테이션으로 이동 후 리프트를 타고 동물원의 가장 높은 곳까지 이동합니다. 동물원을 산책하고 끝나면 버스를 타십시오. 이것이 돈을 절약하는 가장 좋은 방법인 것 같습니다. - 동물원은 괜찮았어요. 음식 가판대, 욕실, 벤치가 어디에나 있습니다. Bird Zone은 쥬라기 공원과 같습니다. 운이 좋으면 앵무새를 아주 가까이에서 볼 수 있습니다. 우리는 유인원을 보는 것이 매우 즐거웠습니다. 이 동물원에서 가장 좋은 부분은 원숭이 존이라고 생각합니다. - 사자를 보지 못해 조금 아쉬웠다. 많은 건축물이 있었고 일부 동물은 있어야 할 곳에 머물지 않았습니다. 박쥐 케이지는 비어있었습니다. - 그나저나 많이 걸어요. 지칠 준비를하십시오. - 어린이나 시니어를 위한 카트를 타고 편안하게 여행할 수 있는 A-Zoo 투어가 홈페이지에 있습니다. 매표소에서는 사용할 수 없습니다. 나는 그들이 그것을 고쳐야 한다고 생각한다. - 많은 종류의 동물이 있지만 이 동물원에는 아직 없는 동물이 많습니다. 따라서 상상할 수 있는 모든 사람을 볼 것으로 기대하지 마십시오. - 동물원에 수목원이 있어요. 그냥 무난한 수준이었습니다. - 동물원에 방문객이 많습니다. 그러나 이곳은 거대한 동물원이고 무언가를 보기 위해 기다릴 기회가 없습니다. 우리는 그것을 좋아했다. - 일부는 18:00에 문을 닫습니다. 모든 것을 보고 싶다면 그 전에 들어가는 것이 좋습니다."
9,9,3,240,"I came here on an a Korean language class trip and was appalled by the living conditions of the animals. The enclosures were too small and the animals looked absolutely miserable. Some of them were acting out obviously because they were going crazy in their enclosures. I couldn't believe the beautiful animals they had that were being kept prison. They care more about having different types of animals (there must have been at least 15 different types of monkeys) than the welfare of the animals. One monkey was kept in a large, empty concrete box with just a swing to keep it entertained and it broke my heart to see the monkey sitting in the corner, baring its teeth fiercely at us. Do not visit this animal prison, you are only contributing to the problem!",9,empty,"한국어 수업으로 이곳에 왔는데 동물들의 생활 환경에 소름이 돋았다. 우리는 너무 작았고 동물들은 절대적으로 비참해 보였습니다. 그들 중 일부는 그들의 인클로저에서 미쳐가고 있었기 때문에 분명히 행동하고 있었습니다. 나는 그들이 감옥에 갇힌 아름다운 동물들을 믿을 수 없었습니다. 그들은 동물의 복지보다 다른 유형의 동물(최소한 15가지의 다른 유형의 원숭이가 있었음에 틀림없음)을 갖는 것에 더 관심이 있습니다. 원숭이 한 마리는 그네가 달린 커다란 빈 콘크리트 상자에 넣어 즐겁게 지냈는데 구석에 앉아 우리에게 맹렬하게 이빨을 드러내고 있는 원숭이를 보니 마음이 아팠습니다. 이 동물 감옥을 방문하지 마십시오, 당신은 문제에 기여하고 있습니다!"
