,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,341,The backdrop with leaves etc was dramatic But there really isnt anything to see inside the structures and we could only appreciate from the outside Wish there was more The changing of the guards was a nice bonus,0,anything,나뭇잎 등이 있는 배경은 드라마틱했지만 구조 내부에는 볼 것이 없었고 외부에서만 감상할 수 있었습니다.
1,1,1,354,This is a place with a very interesting history but they have not made anything of it It is some nice buildings and very little information Thats it,1,anything,이것은 매우 흥미로운 역사를 가진 곳이지만 그들은 그것에 대해 아무것도 만들지 않았습니다 멋진 건물과 매우 적은 정보가 있습니다.
2,2,2,391,As I have done most of the palaces this one didnt have anything special no must see factor until I went round the Historical Museum This was the tick in the box for this Palace The w1000 also includes the museum and if you want to walk round head over as soon as you arrive and get yourself on a tour It is access by tour only and they leave every 30 minutes but gets full quick as the groups are only small Shoes off and slippers on they gave me an English audio so I could follow round but obviously the passionate guide was giving the locals much more than I was hearing All renovated in the last 10 years but decorated as best as they could from old photos and with some of the original furniture The history you get is the best thing and even some photos of the old emperors and emperoresses Your 1000 doesnt also get you into the art gallery that will cost you more,2,anything,내가 대부분의 궁전을 해왔기 때문에 이 궁전에는 특별한 것이 없었습니다. 역사 박물관을 둘러볼 때까지 꼭 봐야 할 요소가 없습니다. 이것은 이 궁전의 상자에 있는 체크 표시였습니다. 도착하자마자 투어에 참여하고 투어로만 액세스 할 수 있으며 30 분마다 출발하지만 그룹이 작기 때문에 빨리 만석입니다. 분명히 열정적 인 가이드는 내가 들었던 것보다 훨씬 더 많은 것을 현지인들에게 제공하고있었습니다. 모든 것은 지난 10 년 동안 개조되었지만 오래된 사진과 원본 가구에서 가능한 한 최선을 다해 장식했습니다. 당신이 얻는 역사는 가장 좋은 것입니다. 당신의 1000은 또한 당신에게 더 많은 비용이 드는 미술관에 당신을 데려가지 않습니다.
3,3,3,560,This late 16th century palace and its numerous reconstructions really fail to impress The park itself is lovely at best with a nice pond and fountain in its middle but the palace is anything but unique The National Museum of Modern and Contemporary Art lies within the park but it was being renovated while we visited in August so we could not visit it of course nobody bothers to tell you that when you buy the ticket to the park  apx 1US Skip it,3,anything,이 16세기 후반의 궁전과 그 수많은 재건은 정말 인상적이지 못했습니다. 공원 자체는 중앙에 멋진 연못과 분수가 있어 기껏해야 아름답지만 궁전은 특별하지 않습니다. 국립현대미술관은 공원 안에 있지만 우리가 8 월에 방문하는 동안 개조 중이어서 방문 할 수 없었습니다. 물론 아무도 당신이 공원 apx 1US 티켓을 구입할 때 당신에게 그것을 말하는 것을 귀찮게하지 않습니다. 건너 뛰기
4,4,4,620,I enjoyed this Palace lots of history I arrived by subwayline 1 to City Hall the station stop was right at the entrance to the Palace Entrance fee was only KRW3000 which was well worth it there is so much to explore Be sure to check out the Changing of the Guard Ceremony which they do several times a day not to be missed there is also a very interesting Museum and a gift shop which offers some very colorful gifts After visiting Deoksugung check out Namdaemun Market which is a short walk away you will find anything here also a great place to grab a bite to eat,4,anything,나는이 궁전을 즐겼습니다 많은 역사를 지하철 1 호선으로 시청에 도착했습니다 역 정류장은 궁전 입구에 바로있었습니다 입장료는 3000 원으로 그만한 가치가있었습니다 탐험 할 것이 너무 많습니다 그들이 하루에 여러 번 행하는 근위병식을 놓치지 마세요. 또한 매우 흥미로운 박물관과 매우 다채로운 선물을 제공하는 선물 가게도 있습니다. 덕수궁을 방문한 후 가까운 도보 거리에 있는 남대문 시장을 확인하십시오. 여기에서도 무엇이든 찾을 수 있습니다 한 입 먹기 좋은 곳
5,5,0,3, Near Deoksugung for over 10 years I went to work but this was my first time going in It was spacious and quieter than I thought I thought there would be a space like this in the city center When I get a little ,5,going,덕수궁 근처에서 10년 넘게 일하러 다녔는데 가보는 건 처음이었어요 생각보다 넓고 조용했어요 도심에 이런 공간이 있을 줄 알았는데 조금 여유가 생겼을 때
6,6,1,8, I recommend going in the morning I went around 11 oclock and it was so hot that I couldnt move You can watch the changing ceremony at the main gate at 11 oclock ,6,going,오전에 가는걸 추천합니다 11시쯤 갔는데 너무 더워서 움직일수가 없었어요
7,7,2,22, An old palace walk in the city center But the palace special less shade If you are going in summer be sure to bring a parasol Take it with ,7,going,도심 속 고궁 산책 하지만 궁궐 특유의 그늘이 적은 여름에 가신다면 꼭 양산을 가지고 가세요
8,8,3,25, I had time before going to Incheon International Airport so I chose Deoksugung which is the closest to Seoul Station It was good except that it was a pity that the City Art Museum was closed ,8,going,인천공항 가기전에 여유가 있어서 서울역에서 가장 가까운 덕수궁으로 선택했어요
9,9,4,158, I remember going to a drawing contest when I was in public school ,9,going,공립학교 다닐 때 그림 대회에 갔던 기억이 난다.
