,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,152,I went to Changdeokgung Palace on a Sunday afternoon. It has less much people than Gyeongbokgung Palace. But I was not disappointed. I had opportunity to take many beautiful photos with interruption from other tourists. Don't expect grand buildings here as well as other palaces in Seoul. It offers a different kind of beauty and experience comparing to palaces in Beijing.,0,disappointed,일요일 오후 창덕궁에 다녀왔습니다. 경복궁보다 사람이 적습니다. 그러나 나는 실망하지 않았다. 다른 관광객들의 방해를 받으며 아름다운 사진을 많이 찍을 수 있는 기회가 있었습니다. 서울의 다른 궁전과 마찬가지로 이곳의 웅장한 건물을 기대하지 마십시오. 베이징의 궁궐과는 또 다른 아름다움과 경험을 선사합니다.
1,1,1,183,"We visited this place with two children. It is beautiful place and lots to see Highly recommend. Give enough time . Lots of walking . We took English speaking guide, Bit disappointed as she spoke very fast and did not allow group together to catch up. Go early as not to miss changing of guard and visit to Gardens.   .",1,disappointed,우리는 두 자녀와 함께 이곳을 방문했습니다. 아름답고 볼거리가 많은 곳입니다 적극 추천합니다. 충분한 시간을 주십시오. 많이 걷는다. 우리는 영어를 구사하는 가이드를 데려갔습니다. Bit는 그녀가 매우 빨리 말하고 그룹이 함께 따라 잡을 수 없었기 때문에 실망했습니다. 근위병 교대식과 정원 방문을 놓치지 않으려면 일찍 가십시오. .
2,2,2,251,I think my expectation was way too high and the day I visited was a cold day without much sun. That's why I was little disappointed and it would have been so much better if the day was warmer and brighter.,2,disappointed,내 기대가 너무 컸던 것 같아 내가 방문한 날은 해가 별로 없는 추운 날이었다. 그래서 조금 실망했고 날이 더 따뜻하고 화창했다면 훨씬 좋았을 텐데.
3,3,3,257,"It’s unclear what, if anything, is the original structure. It has been reconstructed with bits from another palace which makes it all seem a bit pointless, especially since they point out that many structures were modified in the process. Is this really what the palace looked like? And what parts are original, from the other palace, or new from the restoration which began in the 1990’s?  You can’t go into any of the ”historical” buildings (from the 1990’s..?) which means you only see exteriors and the occasional glance through and open window or door.  There is very little written information in English (or any other language for that matter). To enter the garden you have to join the English speaking guided tour which only runs 3-4 times a day, and since it’s a limited number of people per tour, chances are likely that you won’t get tickets unless you booked in advance. Although I can’t say I’m terribly disappointed in not getting a spot for the garden since I wasn’t very impressed with the palace to begin with.  I wouldn’t recommend this one.",3,disappointed,"원래 구조가 무엇인지 불분명합니다. 다른 궁전에서 가져온 조각으로 재건되어 모든 것이 약간 무의미해 보입니다. 특히 그 과정에서 많은 구조가 수정되었다는 점을 지적하기 때문입니다. 궁궐의 모습이 정말 이런 걸까요? 그리고 어떤 부분이 다른 궁전에서 가져온 것입니까, 아니면 1990년대에 시작된 복원 작업에서 가져온 것입니까? ""역사적인"" 건물(1990년대부터..?)에는 들어갈 수 없습니다. 즉, 외부만 볼 수 있고 가끔씩 창이나 문을 열고 들여다볼 수 있습니다. 영어(또는 그 문제에 대한 다른 언어)로 작성된 정보는 거의 없습니다. 정원에 입장하려면 하루에 3~4회만 진행되는 영어 가이드 투어에 참여해야 하며, 투어당 인원이 제한되어 있기 때문에 미리 예약하지 않으면 티켓을 얻지 못할 가능성이 높습니다. 나는 처음부터 궁전에 큰 감명을 받지 않았기 때문에 정원을 위한 자리를 얻지 못한 것에 몹시 실망했다고 말할 수는 없지만. 나는 이것을 추천하지 않을 것이다."
4,4,4,511,"The palace is nice, less crowded than Gyeongbokgung and a bit smaller, so I liked this one more. But the main reason I came here was the Secret Garden tour and we were not disappointed. The tour itself provides valuable information for those interested in the history of the place. I stayed back for the first few buildings, then decided to explore on my own, since I wanted to get nice pictures without the whole group in them (the tour is limited to 100 people). I would recommend that. You can always go back and catch up with the group, or ask the guide some questions. The gardens are so beautiful, we were lucky with the weather; sunshine and blue sky. It was just amazing and I took a million pictures (see below :-)), a total MUST DO if you love gardens. I would go back and book the tour again, it's so beautiful!",4,disappointed,"궁궐은 경복궁보다 덜 붐비고 조금 작아서 이곳이 더 마음에 들었다. 그러나 내가 여기에 온 주된 이유는 Secret Garden 투어였으며 우리는 실망하지 않았습니다. 투어 자체는 장소의 역사에 관심이 있는 사람들에게 귀중한 정보를 제공합니다. 나는 처음 몇 개의 건물에 머물렀다가 전체 그룹 없이 멋진 사진을 찍고 싶었기 때문에 스스로 탐험하기로 결정했습니다(투어는 100명으로 제한됨). 나는 그것을 추천할 것이다. 언제든지 돌아가서 그룹을 따라 잡거나 가이드에게 몇 가지 질문을 할 수 있습니다. 정원은 너무 아름답습니다. 날씨가 운이 좋았습니다. 햇살과 푸른 하늘. 그것은 단지 훌륭했고 나는 백만 장의 사진을 찍었습니다 (아래 참조 :-)), 당신이 정원을 사랑한다면 총계는해야합니다. 나는 돌아가서 여행을 다시 예약 할 것입니다. 너무 아름답습니다!"
5,5,5,715,"First of all, palaces in Seoul aren't something spectacular nor in fantastic sceneries. That's not what they pursued in the past. Gates might be the biggest structures. And maybe some temples on mountains or on cliffs will be better for wallpapers. Tourists expecting those might be disappointed after visits. Nevertheless, there are people who have been so impressed on them and Changdeokgung is one of the best.  - location: Locating in a less crowded area and with less reputation than Gyeongbokgung, Changdeokgung is comparatively quieter and more comfortable to take a look. Gwangjang Market, Jongmyo Shrine and Changgyeonggung Palace are near and good for connected package in a single day.  - The true beauty of Korea's palaces is a harmony with surrounding nature. Trees, rocks and even views around are parts of the palace. Sophisticated roofs of buildings are also nice.  - The tour is walking outside and watching. The good weather is very important.  - There aren't many buildings and visitors can't enter inside.  - Guided tours only during weekdays. Free visit on Saturday. I think slow travelers will prefer visiting on Saturday.  - Secret Garden: Called as Huwon(後苑 Backyard Garden) or Biwon(秘院 Secret Garden) in the history. 5,000 won to have a guided tour. This takes about 90 min and there are several buildings and pavilions in the forest. The old tree near the way out shouldn't be missed. Right next to the entrance of Huwon, there's the entrance of the other palace, Changgyeonggung.  - The gift shop has tons of quality gifts comparing to most other folk shops in Seoul. Prices are high as they need to be.  - Events like night specials will be also nice. They have illuminations and great performances.",5,disappointed,"우선 서울의 궁궐은 화려하지도, 환상적인 풍경도 아니다. 그것은 그들이 과거에 추구했던 것이 아닙니다. 게이트는 가장 큰 구조물일 수 있습니다. 그리고 아마도 산이나 절벽의 일부 사원은 배경 화면에 더 좋을 것입니다. 그것을 기대하는 관광객들은 방문 후 실망할 수 있습니다. 그럼에도 불구하고 그들에게 깊은 인상을 받은 사람들이 있고 창덕궁이 최고 중 하나입니다. - 위치: 창덕궁은 경복궁에 비해 덜 붐비는 지역에 위치하여 상대적으로 조용하고 구경하기 좋습니다. 광장시장, 종묘, 창경궁이 가깝고 하루 만에 연결 패키지로 좋습니다. - 한국 궁궐의 진정한 아름다움은 주변 자연과의 조화입니다. 나무, 바위, 심지어 궁전의 일부 주변 풍경. 건물의 세련된 지붕도 멋집니다. - 투어는 밖에서 걸어보고 있습니다. 좋은 날씨는 매우 중요합니다. - 건물이 많지 않아 방문객은 내부로 들어갈 수 없습니다. - 가이드 투어는 평일에만 진행됩니다. 토요일 무료 방문. 느린 여행자는 토요일에 방문하는 것이 좋습니다. - 시크릿 가든: 역사에서 후원(後苑 뒤뜰) 또는 비원(秘院)으로 불렸다. 가이드 투어는 5,000원입니다. 소요 시간은 약 90분이며 숲 속에 여러 건물과 정자가 있습니다. 출구 근처에 있는 오래된 나무는 놓쳐서는 안 됩니다. 휴원 입구 바로 옆에는 또 다른 궁궐인 창경궁의 입구가 있다. - 선물 가게에는 서울의 다른 민속 상점에 비해 품질의 선물이 많이 있습니다. 필요한 만큼 가격이 높습니다. - 야간특가 등의 이벤트도 좋습니다. 일루미네이션과 멋진 공연이 있습니다."
6,6,6,738,"If you have been in Asia a bit like China, Vietnam...you may feel disappointed. The whole complex is rebuilt so not much impression . The good point is the great museum inside",6,disappointed,"중국, 베트남과 같은 아시아 지역에 가본 적이 있다면... 실망할 수도 있습니다. 전체 단지가 재건되어 그다지 인상 깊지 않습니다. 좋은 점은 내부의 훌륭한 박물관입니다."
7,7,7,743,"I read about a Moonlight guided tour of this palace from 8 PM - 10 PM on Sunday nights from June 2017 - November 2017, so I jumped on the opportunity and booked the ticket 3 months in advance of my trip. I was not disappointed - this palace is seriously SO beautiful. Between Gyeonbokgung (the large main palace in Seoul at the city center) and this palace, I MUCH preferred Changdeokgung. The guided tour at night was great, and had an English speaking guide (they offer Korean, English, and Chinese). We went through the palace and learned about the different buildings and architecture. The secret garden is only open to moonlight tour guests and we got to see that too - it was absolutely stunning with the library lit up in the background over the pond. There were traditional musicians throughout the palace as well, playing the traditional flute, and someone was playing a gayageum in the garden. After the actual tour, there was also a cultural performance, where we saw two traditional Korean dances, heard a traditional music performance by a Korean ensemble, and heard one of the traditional Korean stories that are sung by the storyteller. We got to try special tea and foods as well, and got a little gift of 6 gold bookmarks with Changdeokgung's special window architecture on them. Overall, for 32,000 Won (~$30) I would highly recommend that people get tickets to this event, or if not at least go see the palace sometime during the day. I'm not sure what the regular day admission is for the palace, but I'm sure it's less than the moonlight tour. Maybe about 10,000 Won (~$10)? But I'm not totally sure.",7,disappointed,"나는 2017년 6월부터 2017년 11월까지 일요일 밤 8시부터 10시까지 이 궁전의 달빛 가이드 투어에 대해 읽었고, 그래서 나는 기회에 뛰어들어 여행 3개월 전에 티켓을 예약했습니다. 나는 실망하지 않았습니다. 이 궁전은 심각하게 아름답습니다. 경복궁(서울 도심에 있는 큰 궁궐)과 이 궁 중에서 나는 창덕궁을 훨씬 선호했다. 야간 가이드 투어는 훌륭했고 영어 가이드가 있었습니다(한국어, 영어 및 중국어 제공). 우리는 궁전을 둘러보고 다른 건물과 건축물에 대해 배웠습니다. 비밀 정원은 달빛 투어 손님에게만 열려 있으며 우리도 그것을 보게 되었습니다. 연못 너머의 배경에 도서관이 켜져 있는 것은 절대적으로 충격적이었습니다. 궁궐 곳곳에는 전통 피리를 연주하는 국악가들도 있었고 정원에서는 누군가가 가야금을 연주하고 있었다. 실제 투어가 끝난 후에는 문화 공연도 있었는데, 우리는 두 개의 한국 전통 무용을 보고, 한국 앙상블의 전통 음악 공연을 듣고, 이야기꾼이 부르는 한국 전통 이야기 중 하나를 들었습니다. 우리는 특별한 차와 음식도 맛보고 창덕궁의 특별한 창 구조가있는 6 개의 금 책갈피를 작은 선물로 받았습니다. 전반적으로 32,000원(~$30)이면 사람들이 이 이벤트의 티켓을 구입하거나 적어도 낮 시간에 궁전을 방문하는 것이 좋습니다. 궁궐의 일반 당일 입장권이 얼마인지는 잘 모르겠지만, 월광 투어보다 적은 것은 확실합니다. 약 10,000원(~$10) 정도? 하지만 확실하지 않습니다."
8,8,8,877,"went there specifically for the renowned Secret Garden sights end of March, the cherry blossom season. You gotta pay extra for this Secret Garden guided tour, as they wont let you in by yourself. otherwise you just pay for the general admission fee. Seem wearing a Hanbok will get you some discount on the entrance fee. the old heritage building is well maintained and upon entering we were greeted by 2 blooming white cherry blossom tree. there were a few more pink cherry blossom further in. as for the Secret Garden tour, very informative tour guide and very friendly. there are different language tour session, so know when is preferred time slots. Was a disappointed though with the scenery as the flowers are not in bloom and the trees are still withered from winter. Be prepared for a little up slope hike. Really choose your visiting season well or else be disappointed. Tour guide recommend to visit during full blown spring, authumn and winter (with snow covering the land) to enjoy the place true beauty. perhaps 1 day will revisit again.",8,disappointed,"벚꽃 시즌인 3월 말에 유명한 Secret Garden 명소를 방문했습니다. 이 Secret Garden 가이드 투어는 혼자 입장할 수 없으므로 추가 비용을 지불해야 합니다. 그렇지 않으면 일반 입장료만 지불하면 됩니다. 한복을 입으면 입장료가 좀 할인되는 것 같다. 오래된 유산 건물은 잘 관리되어 있으며 입구에 들어서면 2그루의 하얀 벚꽃이 우리를 맞이합니다. 더 많은 분홍색 벚꽃이 더있었습니다. Secret Garden 투어에 관해서는 매우 유익한 투어 가이드와 매우 친절했습니다. 다른 언어 투어 세션이 있으므로 선호하는 시간대를 확인하십시오. 꽃이 피지 않고 나무가 겨울에 아직 시들어서 풍경에 실망했습니다. 약간의 경사로 하이킹을 준비하십시오. 방문 시즌을 잘 선택하거나 그렇지 않으면 실망하십시오. 투어 가이드는 진정한 아름다움을 즐기기 위해 만발한 봄, 가을, 겨울(눈이 땅을 덮는 시기)에 방문할 것을 권장합니다. 아마도 1일은 다시 방문할 것입니다."
9,9,9,1223,"There are several palaces of this type in Seoul. If you are expecting a palace in the European sense you will be disappointed. Korean palaces are interesting and quite unique, but, for me, a little goes quite a long way. I would recommend visiting one (or two maximum) palace (give yourself about an hour) and then move on to something else.",9,disappointed,서울에는 이런 궁궐이 몇 군데 있다. 유럽식의 궁전을 기대했다면 실망할 것입니다. 한국의 궁궐은 흥미롭고 꽤 독특하지만 나에게 약간은 꽤 먼 길을 간다. 한(또는 두 개의 최대) 궁전을 방문하는 것이 좋습니다(약 1시간). 그런 다음 다른 곳으로 이동합니다.
