,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,26, It is easy to search for books and purchase them and when it is difficult to find them ask the staff and they are kind and helpful ,0,staff,책 검색 및 구매가 용이하고 찾기 어려울 때는 직원에게 물어보면 친절하고 도움이 됩니다.
1,1,1,44, Okay the staff were a bit friendly Tendency to be late in answering a question ,1,staff,좋아요 직원들이 조금 친절했습니다 질문에 늦게 답변하는 경향이 있습니다
2,2,2,46, The best book and stationery store I have ever seen Books stationery for every taste First books are divided by subject Secondly all the staff are very friendly and helpful They will be happy to tell you where ,2,staff,내가 본 최고의 책 및 문구점 모든 취향에 맞는 책 문구 첫 번째 책은 주제별로 나누어져 있습니다 두 번째로 모든 직원은 매우 친절하고 도움이 됩니다.
3,3,3,65,Great selection of English books for kids Friendly and helpful staff  For stroller access theres an elevator thru the lobby entrance on the east side of the building,3,staff,다양한 어린이용 영어 책 친절하고 도움이 되는 직원 유모차 이용 시 건물 동쪽 로비 입구를 통해 엘리베이터 이용 가능
4,4,4,77, I went to find the remaining stock to restart my piano study  I was very grateful to the staff for informing me in detail ,4,staff,피아노 공부 다시 시작하려고 남은 재고 찾으러 갔는데 자세히 알려주신 스탭분들 너무 감사했습니다
5,5,5,94,Helpful staff It has what I need HUGE bookstore,5,staff,도움이 되는 직원 필요한 것이 있습니다. 거대한 서점
6,6,6,122,Lovely staff Make sure you give plenty of time to visit this wonderful book shop,6,staff,사랑스러운 직원이 멋진 서점을 방문하는 데 충분한 시간을 할애하십시오.
7,7,7,141, Its spacious there are lots of books and the staff are friendly A place where you will never know where time goes ,7,staff,넓고 책도 많고 직원들도 친절합니다 시간 가는 줄 모를 곳
8,8,8,145, I asked the staff to find the book but it was very unfriendly Im here and Im responding like I cant find it Also the books Im looking for are all sold out so even online bookstores are not enough ,8,staff,직원들에게 책을 찾아달라고 했더니 너무 불친절해서 여기도 왔는데 못찾는 듯이 답장을 해주네요 저도 찾는 책들이 다 품절이라 온라인서점으로도 부족하네요
9,9,9,146, Its spacious big and the staff are friendly and nice The book is a bit expensive Good though ,9,staff,넓고 크고 직원들도 친절하고 좋아요 책이 좀 비싸긴 하지만 좋아요
10,10,10,181, A really long visit I wanted to preorder the book but the staff made me jump 3 times It was not a long visit ,10,staff,정말 오랜만에 방문해서 예약주문하고 싶었는데 직원분이 3번이나 뛰게 해주셨어요 긴 방문은 아니었어요
11,11,11,187, There are many kinds of books and the staff are very friendly ,11,staff,책 종류도 많고 직원들도 친절함
12,12,12,189, There were a lot of different kinds of books and the staff was mostly friendly but there were some bad staff who were not the search bar was not enough it was good to have a parking lot and it was good that it ,12,staff,다양한 종류의 책들이 많았고 직원들은 대부분 친절했지만 검색바가 아닌 불친절한 직원도 있었고 주차장이 있어서 좋았습니다
13,13,13,204, We can see all the books we want and if you have any questions ask the bookstore staff and they will kindly tell you where they are There are a lot of texts so I cant bring my kids ,13,staff,원하는 책은 다 볼 수 있고 궁금한 점이 있으면 서점 직원에게 물어보면 친절하게 위치를 알려줄 것입니다. 문자가 많아서 아이들을 데려갈 수 없어요
14,14,14,208, It is also Kyobo Bookstore but the male staff who guides the QR code at the entrance was so unfriendly and scary ,14,staff,교보문고이기도 하지만 입구에서 QR코드를 안내해주는 남자직원이 너무 불친절하고 무서웠다
15,15,15,214,"Kyobo is a chain, so there are stores all over Seoul, but the Gwanghwamun location is my favorite. They sell books and CDs, which reminds me of what the States used to have in the Borders chains, along with even more stuff. There are cafes and restaurants inside, too. There are sections for foreign languages and, depending on your language, there are likely specialty shops elsewhere that will better serve you. The English section is small, but has great editions, like Oxfords World’s Classics, at cheap prices. The literary selection tends to be canonical, but the staff also has a large section devoted to best-sellers and newly published material, most of which is non-fiction, that is a sort of Korean-American cultural filter. There are always lots of families here and people milling about, reading, gathering books, enmeshed in the written word and the real world. Take some time here, slow down, observe, read something, think a few connected thoughts, have something to eat or drink...and enjoy.  Over the past five or six years, there has been lots of renovation in the areas adjacent, particularly with high end restaurants and shops behind Kyobo and to the left. Jongno has remained the same and the Gwanghwamun Gwangjang is historical. Several years ago the Korean people protested then President Park Geun-Hye with candlelight vigils and songs on the square, every Saturday, for months. These protests began with small numbers that grew into the thousands, and arguably millions. These protests were part of the success in the removal of Park (December, 2016) and were amazing representations of the civil, non-violent assemblage of people for a cause. Democracies around the world would do well to follow in these Korean footsteps.",15,staff,"교보는 체인점이라 서울 곳곳에 매장이 있지만 저는 광화문점을 가장 좋아합니다. 그들은 책과 CD를 팔고 있는데, 이는 미국이 국경 사슬에서 가지고 있던 것을 생각나게 하고 더 많은 물건과 함께합니다. 내부에는 카페와 레스토랑도 있습니다. 외국어에 대한 섹션이 있으며 귀하의 언어에 따라 더 나은 서비스를 제공할 전문 상점이 있을 수 있습니다. 영어 섹션은 작지만 Oxfords World 's Classics와 같은 훌륭한 에디션을 저렴한 가격으로 제공합니다. 문학적 선택은 정경적인 경향이 있지만 스태프는 베스트셀러와 새로 출판된 자료에 대한 많은 섹션을 가지고 있으며 대부분이 논픽션이며 일종의 한국계 미국인 문화 필터입니다. 이곳에는 항상 많은 가족들이 있고, 사람들이 방황하고, 읽고, 책을 모으고, 글과 현실 세계에 얽매여 있습니다. 여기에서 시간을 좀 들이고, 속도를 늦추고, 관찰하고, 무언가를 읽고, 연결된 몇 가지 생각을 생각하고, 먹거나 마실 것을... 그리고 즐기십시오. 지난 5~6년 동안 인접 지역, 특히 교보의 뒤편과 왼쪽에 고급 레스토랑과 상점이 들어서면서 많은 보수 공사가 있었습니다. 종로는 그대로이고 광화문광장은 역사적이다. 몇 년 전 한국 사람들은 몇 달 동안 매주 토요일 광장에서 촛불집회와 노래로 박근혜 당시 대통령에 항의했습니다. 이 시위는 수천, 아마도 수백만으로 성장한 소수에서 시작되었습니다. 이러한 시위는 박근혜 퇴진(2016년 12월)의 성공의 일부였으며 대의를 위한 시민, 비폭력 집회의 놀라운 표현이었습니다. 전 세계의 민주주의 국가들이 이러한 한국의 발자취를 따르는 것이 좋을 것입니다."
16,16,16,227,I always make it a point to stop by and inhale the scent of new books. It's a bit short on space to sit and read but the atmosphere is cozy and the staff very helpful. Plus it's right of the square. Great location,16,staff,나는 항상 멈추고 새 책의 냄새를 맡는 것을 강조합니다. 앉아서 읽을 공간이 조금 부족하지만 분위기는 아늑하고 직원들은 매우 도움이 됩니다. 게다가 그것은 광장의 오른쪽에 있습니다. 훌륭한 위치
17,17,17,259,"I always make a visit to the bookstores of any city I visit, because I am keen to collect cookbooks written in English by locals. Most of these are usually not available on Amazon or other online bookstores.  Kyobo's outlet at Gwanghwamun didn't disappoint. It's large and sprawling, but most of the books are Korean, which is to be expected. As with most brick and mortar bookstores these days, they have cafes, retailers selling pens, art supplies, bags and others to provide some added attraction.  They have a respectable English cookbook collection, but also a selection of books on Korean topics in English. There were some locally written cookbooks, and they looked interesting because several of them were written by well known culinary academics. When I was there in November, they had a promotion on Japanese books and you can enjoy a discount on them. They had also put up a nice display featuring a mix of Japanese cookbooks. I really like this feature.  What I enjoyed about the bookstore was the chairs and benches they had provided within the store to allow people to browse their selections. There are staff there who speak simple English. They have a green practice of charging for carrier bags (which is good).  I'd go back there to check out the cookbooks again. Kyobo is more like Eslite in Taipei (another fabulous bookstore) in its offerings of books and other related products. Kinokuniya in Tokyo is more like the traditional bookstore with a lot more focus on providing books and less on other goods. All are great bookstores, and deserve visits by book lovers.",17,staff,"나는 현지인이 영어로 쓴 요리책을 수집하는 데 열심이기 때문에 방문하는 모든 도시의 서점을 항상 방문합니다. 이들 중 대부분은 일반적으로 아마존이나 다른 온라인 서점에서 구할 수 없습니다. 광화문 교보문고는 실망시키지 않았다. 그것은 크고 넓지 만 대부분의 책은 예상대로 한국어입니다. 요즘 대부분의 오프라인 서점과 마찬가지로 카페, 펜, 미술 용품, 가방 등을 판매하는 소매점에서 추가 매력을 제공합니다. 그들은 훌륭한 영어 요리책 컬렉션을 가지고 있지만 영어로 된 한국 주제에 대한 책도 있습니다. 현지에서 쓰여진 요리책이 몇 권 있었는데 그 중 몇몇은 유명한 요리 학자가 집필했기 때문에 재미있어 보였습니다. 제가 11월에 갔을 때 일본 책 프로모션이 있어서 할인을 받을 수 있었어요. 그들은 또한 일본 요리 책이 혼합 된 멋진 디스플레이를 설치했습니다. 이 기능이 정말 마음에 듭니다. 내가 서점에 대해 즐겼던 것은 사람들이 자신의 선택을 찾아볼 수 있도록 서점 내에 제공한 의자와 벤치였습니다. 간단한 영어를 구사하는 직원이 있습니다. 그들은 캐리어 가방을 충전하는 친환경 관행을 가지고 있습니다 (좋은 것입니다). 나는 요리 책을 다시 확인하기 위해 거기에 다시 갈 것입니다. 교보는 책과 기타 관련 제품을 제공한다는 점에서 타이베이의 Eslite(또 다른 멋진 서점)와 비슷합니다. 도쿄의 기노쿠니야는 다른 상품보다는 책 제공에 훨씬 더 중점을 둔 전통적인 서점에 가깝습니다. 모두 훌륭한 서점이며 책을 사랑하는 사람들이 방문할 가치가 있습니다."
18,18,0,75, It smells like a book and I love it Due to Corona the number of seats available has decreased ,18,number,책냄새나고 좋아요 코로나때문에 좌석이 줄었어요
19,19,1,85,Decent selection of books in English Small music section including a limited number of lps Good stop for expats,19,number,영어로 된 책의 적절한 선택 제한된 수의 lps를 포함한 작은 음악 섹션 국외 거주자를위한 좋은 중지
20,20,2,97, Burger King is so delicious these days Its great that the number of stores has increased compared to before Especially the french fries  ,20,number,요즘 버거킹이 너무 맛있어서 예전에 비해 가게가 늘어난게 대단해 특히 감자튀김
21,21,3,120, Staff aggressive and unfriendly I said yes because I asked if I needed a receipt I want to enter a number So what number is it Hani Need a cash receipt I asked again I said yes so I had to enter the number ,21,number,직원이 공격적이고 비우호적입니다 영수증이 필요하냐고 물었더니 예라고 했습니다 번호를 입력하고 싶어요 그래서 번호가 몇이에요 하니 현금 영수증이 필요해요 다시 물었더니 예라고 해서 번호를 입력해야 했습니다
