,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,371,"Ok, we were here on a Saturday night which is probably not ideal as it is very busy.  The rides are mainly for little kids, so, nothing too exciting for adults. We wanted to go on the hot air balloon ride but the queue was 2 hrs. We queued for about 1/2hr for the monorail ride but because it’s winter, half of the ride route was cancelled, so, it was a very short one.  Some nice photo ops outside at the Disney looking castle, so, make sure you go out of the building & walk around a bit.  We were lucky that there was a Christmas parade - this was the highlight of this visit.",0,probably,"좋아, 우리는 토요일 밤에 여기에 있었고 매우 바쁘기 때문에 이상적이지 않을 것입니다. 놀이기구는 주로 어린 아이들을 위한 것이므로 어른들에게는 그다지 흥미진진하지 않습니다. 우리는 열기구를 타고 싶었지만 대기열이 2 시간이었습니다. 모노레일을 타기 위해 1/2시간 정도 줄을 섰는데 겨울이라 탑승 경로의 절반이 취소되어 매우 짧은 시간이었습니다. 디즈니 성 외부에서 멋진 사진을 찍을 수 있으므로 건물 밖으로 나가서 조금 걸어보세요. 우리는 크리스마스 퍼레이드가 있어서 운이 좋았습니다. 이것이 이번 방문의 하이라이트였습니다."
1,1,1,377,"The warmth in the indoor theme park was very welcome with the freezing cold outside. However, the indoor rides were more for smaller kids less than 12 years old probably. Very long queues on a holiday and weekend. We stayed in an AirBnB across the theme park so transportation was not a problem.",1,probably,실내 테마파크의 따뜻함은 밖이 얼어붙는 추위와 함께 매우 환영받았습니다. 그러나 실내 놀이기구는 아마도 12세 미만의 어린 아이들에게 더 많았을 것입니다. 휴일과 주말에는 매우 긴 대기열. 우리는 테마파크 건너편에 있는 AirBnB에 머물렀기 때문에 교통에 문제가 없었습니다.
2,2,2,437,"Lotte is a well-known chain in Korea, and its hotels have a somewhat formulaic uniformity. Lotte World has a rather dated feel and look - it was probably the bees knees twenty or thirty years ago, but doesn't seem to have moved with the times. The staff during my stay were impeccable - polite and efficient, if rather lacking in warmth. My double room was comfortable, functional, and equipped with the sort of items that one needs and expects in a hotel of this level, but faded. The wallpaper and carpet looked as though they should have been changed years ago, and the shower over the bath tub was a Heath-Robinson arrangement. The corridor carpets were equally in need of changing, and the space was pervaded by a musty smell, that may be a legacy of the days when smoking was common in the corridors and rooms. I didn't think much of the dining options: a Chinese place on a high floor (which I didn't try) and a buffet place on the second floor (which I did). The hotel lacks a simple coffee shop type restaurant where one can order a simple dish from a menu. There are plenty of better hotel options in Seoul.",2,probably,"롯데는 한국에서 잘 알려진 체인이며 호텔은 다소 형식적인 획일성을 가지고 있습니다. 롯데월드는 다소 구식의 느낌과 모습을 가지고 있습니다. 아마도 20~30년 전에는 꿀벌의 무릎이었을 것입니다. 하지만 시대에 따라 움직이지는 않는 것 같습니다. 내가 머무는 동안 직원들은 흠잡을 데가 없었습니다. 따뜻함이 부족하더라도 정중하고 효율적이었습니다. 내 더블룸은 편안하고 기능적이며 이 수준의 호텔에서 필요로 하고 기대하는 종류의 항목을 갖추고 있었지만 퇴색되었습니다. 벽지와 카펫은 마치 몇 년 전에 바꿔야 할 것처럼 보였고 욕조 위의 샤워는 Heath-Robinson 배열이었습니다. 복도 카펫도 마찬가지로 교체가 필요했고 공간에는 퀴퀴한 냄새가 가득했는데, 이는 복도와 방에서 흡연이 일반적이었던 시대의 유산일 수 있습니다. 나는 식사 옵션에 대해 많이 생각하지 않았습니다. 높은 층의 중국 식당(시도하지 않았습니다)과 2층의 뷔페 식당(내가 시도했습니다). 호텔에는 메뉴에서 간단한 요리를 주문할 수 있는 간단한 커피숍 유형의 레스토랑이 없습니다. 서울에는 더 나은 호텔 옵션이 많이 있습니다."
3,3,3,490,"This amusement is vertically huge, ranges from b3 to 4th floor. It can be very confusing when you first reach there. Be sure to get a copy of the map at the info counter after you enter located at 1st floor.  I entered by the south gate and arrived at the 1st floor playground for young children. They cater rides to kids below the height of 100cm and there were variety.  If you walk further towards the centre of the theme park on 1st floor, you reached the place where the carousel and viking is. There are other rides on 1st floor for older kids and adults. Most rides height requirement is about 110cm. The more thrilling ones probably above 130cm.  2nd floor leads to the outdoor theme park where most of the thrill rides are. There are also lots of cafes and restaurants on the 2nd floor indoors as well as 2 other adventure rides.  3rd floor houses another 3 more adventure rides and 4th floor is where the hot air ballon ride is.  Well it’s really crazily big and we didn’t have the time to complete all the rides as we were rushing off to the aquarium. Spent a total of 6 hrs there. Study the map, plan your time wisely and you will be able to get on most rides. Magic pass that helps skip queues save time. But sometimes the queue for magic pass can also be quite long for popular rides.  Comparatively, I prefer everland as it is an outdoor theme park and there is a zoo within the park itself. Also it is easier to locate the rides in everland.",3,probably,"이 오락은 수직으로 거대하며 b3에서 4 층까지 다양합니다. 처음 도착하면 매우 혼란스러울 수 있습니다. 1층에 입장하신 후 인포카운터에서 지도를 꼭 받아가세요. 남문으로 들어가니 1층 유아놀이터에 도착했다. 신장 100cm 미만의 어린이를 위한 놀이기구를 제공하며 종류도 다양했습니다. 1층에 있는 테마파크 중앙쪽으로 더 걸어가면 회전목마와 바이킹이 있는 곳이 나옵니다. 1층에는 나이가 많은 어린이와 성인을 위한 다른 놀이기구가 있습니다. 대부분의 놀이기구 높이 요구 사항은 약 110cm입니다. 더 스릴있는 것들은 아마도 130cm 이상일 것입니다. 2층은 대부분의 스릴 넘치는 놀이기구가 있는 야외 테마파크로 이어집니다. 2층 실내에는 많은 카페와 레스토랑이 있으며 2개의 다른 모험 놀이기구도 있습니다. 3층에는 또 다른 3개의 어드벤처 놀이기구가 있고 4층에는 열기구를 타는 곳이 있습니다. 글쎄요, 그것은 정말 엄청나게 크고 우리가 수족관으로 달려가는 동안 모든 놀이기구를 완료할 시간이 없었습니다. 거기에서 총 6 시간을 보냈습니다. 지도를 살펴보고 현명하게 시간을 계획하면 대부분의 놀이기구를 탈 수 있습니다. 대기열을 건너뛰는 데 도움이 되는 매직 패스는 시간을 절약합니다. 그러나 때때로 매직 패스의 대기열은 인기있는 놀이기구의 경우 꽤 길 수도 있습니다. 그에 비해 저는 에버랜드가 야외테마파크이고 공원 안에 동물원이 있어서 더 좋아해요. 또한 에버랜드에서 놀이기구를 찾기가 더 쉽습니다."
4,4,4,561,Outdoor rides were all closed. Thus the queue for the indoor rides were crazily long.  I would go again in spring or summer probably.,4,probably,야외 놀이기구는 모두 폐쇄되었습니다. 따라서 실내 놀이기구의 대기열은 미친 듯이 길었습니다. 아마 봄이나 여름에 또 갈 것 같아요.
5,5,5,745,"This is amazing place. I absolutely love it. I'd definitely go there again. If you love carousels, slides and different entertainment, you'll love it here. But be ready for long queues. I spent more time waiting in line than riding. The staff are friendly but English is a problem for the local population. And in case it's not cheap. Plus you probably will spend some money for ice cream or a sandwich, all this and more you can buy there easily. Just be sure you have enough money.",5,probably,"이것은 놀라운 장소입니다. 나는 그것을 절대적으로 사랑한다. 나는 확실히 다시 거기에 갈 것입니다. 회전 목마, 슬라이드 및 다양한 엔터테인먼트를 좋아한다면 여기를 좋아할 것입니다. 그러나 긴 대기열에 대한 준비가 되어 있습니다. 타는 것보다 줄을 서서 기다리는 시간이 더 많았다. 직원들은 친절하지만 영어는 현지 주민들에게 문제입니다. 그리고 가격이 저렴하지 않은 경우. 게다가 아이스크림이나 샌드위치를 ??사는데 약간의 돈을 쓸 것입니다. 이 모든 것과 그 이상을 쉽게 구입할 수 있습니다. 돈이 충분한지 확인하십시오."
6,6,6,757,"This indoor theme park would probably be really enjoyable for children under 10 and their parents. As two adults, we found majority of the rides quite tame. The rides that looked like they would be more appropriate for us had massive queues of over 2 hours (on a weekday) and the magic passes had all been used. We used the discount coupon from the airport bus ticket but it still was an expensive day due to the limited appropriate rides.",6,probably,이 실내 테마파크는 10세 미만의 어린이와 그 부모에게 정말 즐거운 시간이 될 것입니다. 두 명의 성인으로서 우리는 대부분의 놀이기구가 상당히 길다는 것을 알았습니다. 우리에게 더 적합할 것 같았던 놀이기구는 2시간 이상(평일)의 엄청난 대기열이 있었고 매직패스는 모두 사용되었습니다. 우리는 공항 버스 티켓에서 할인 쿠폰을 사용했지만 적절한 놀이기구가 제한되어있어 여전히 비싼 날이었습니다.
7,7,7,790,"We came here on our recent visit to Seoul. The place is on the expensive side even for us American (approx $250USD for 2 adults and 2 children under 5-the price incl all rides) but we spent a whole day in there and my kids are happy. We were lucky that the lines weren't terribly long. Only the balloon ride took about 40 mins wait, the rest probably 5-10 mins. All the rides are well taken care of, super clean and the staff is friendly. Plenty of foods nearby and they are not that expensive. We got lost trying to find this place, it was pretty long walk from the station. Their Xmas parade was a hit with my kids. The parade was even better at night time. We didn't try the Ice Skating ring ourselves but they looked wonderful. Try to come here with a tour company because they will be able to get you discounted tickets.",7,probably,우리는 최근 서울을 방문했을 때 여기에 왔습니다. 장소는 우리 미국인에게도 비싼 편입니다 (성인 2 명과 5 세 미만의 어린이 2 명의 경우 약 $ 250 USD - 모든 놀이기구 포함 가격). 그러나 우리는 하루 종일 거기에서 보냈고 내 아이들은 행복합니다. 우리는 줄이 엄청나게 길지 않아 운이 좋았습니다. 열기구 타기만 40분 정도 기다렸다가 나머지는 5~10분 정도 기다리면 됩니다. 모든 놀이기구는 잘 관리되고 매우 깨끗하며 직원들은 친절합니다. 주변에 먹거리도 많고 가격도 그리 비싸지 않습니다. 우리는이 장소를 찾으려고 길을 잃었습니다. 역에서 꽤 긴 도보 거리였습니다. 그들의 Xmas 퍼레이드는 내 아이들에게 인기가있었습니다. 퍼레이드는 밤 시간에 더욱 멋졌습니다. 우리는 아이스 스케이팅 링을 직접 시도하지 않았지만 멋지게 보였습니다. 그들은 당신에게 할인 티켓을 얻을 수 있기 때문에 여행 회사와 함께 여기에 오십시오.
8,8,8,808,"Hi!  Lotte world was a last minute decision because we were bored in Seoul after being there for 10 days. And I have to say it was a well spent day:) it is easily accessible by train to jamsil! I went on a Monday and the queue was not too long, probably a 15mins average waiting time! I went from 11am to 6pm and I managed to ride almost all the rides.  Heads up first, for those who love crazy scary rides, this probably will not satisfy you 100%. However, for those like me, who enjoy a moderate level of fear rides, this will be an enjoyable trip! They do have one roller coaster that was said to be the scariest, but I didn't try it so I can't comment. However judging by the speed, loops I saw and the screams I heard, it should be satisfying for any fear-seekers.  The coolest part about this park was that it was indoors and outdoors. I loved the outdoors more cause it had more fun rides there! There was a ride I loved so much I went on it for at least 3 times. Furthermore, they had those cycle sea ducks I always see on korean variety shows that was free!  Overall this was one of the better theme parks I've been! Should give it a shot^^",8,probably,"안녕! 롯데월드는 10일 동안 서울에 있다가 심심해서 막판 결정이었다. 그리고 알차게 보낸 하루였습니다 :) 기차로 잠실까지 쉽게 갈 수 있어요! 나는 월요일에 갔고 대기열은 너무 길지 않았으며 평균 대기 시간은 아마도 15 분이었습니다! 오전 11시부터 오후 6시까지 갔는데 거의 모든 놀이기구를 탈 수 있었습니다. 미친듯이 무서운 놀이기구를 좋아하는 사람들을 위해 먼저 주의하십시오. 이것은 아마도 당신을 100% 만족시키지 못할 것입니다. 하지만 적당한 수준의 공포 놀이기구를 즐기는 나 같은 사람들에게는 즐거운 여행이 될 것입니다! 그들은 가장 무서운 것으로 알려진 롤러 코스터가 하나 있지만 시도하지 않았으므로 언급 할 수 없습니다. 그러나 속도, 내가 본 루프 및 내가 들었던 비명으로 판단하면 공포를 찾는 모든 사람들에게 만족스러울 것입니다. 이 공원의 가장 멋진 점은 실내와 실외가 있다는 것입니다. 더 재미있는 놀이기구가 있었기 때문에 나는 야외 활동을 더 좋아했습니다! 제가 너무 좋아하는 놀이기구가 있어서 3번 이상 탔습니다. 게다가 한국 예능 프로그램에서 자주 보던 무료 사이클 바다오리도 있었어요! 전반적으로 이것은 내가 가본 더 나은 테마 파크 중 하나였습니다! 한번 해봐야겠네요^^"
9,9,9,813,"Walking in I was delighted, walking out I was so glad to leave. We went on a Tuesday, got there at 11 (place opened at 9:30), went to the Comet, located in the outdoor section of the park (Magic) which we thought would be like Space Mountain from what I saw online. Wait time said 80 minutes. I would estimate we waited for 2 hours before we got on the actual ride, which was vaguely Space-Mountain-ish and mildly entertaining, but certainly not worth the wait. It was hot, so we went back inside to try to find another ride. All the ""thrill"" (coaster-type) rides listed a 120 minutes wait, which probably meant 2.5 hours. We wandered around inside a bit more (it is pretty cool to look at - they cram so much inside, including people!) until we decided to bail. A complete waste of money. Tried to be Disney but failed in every way. Disinterested employees, rides with too little capacity, signs ineffective (no lie, it took us 25 minutes to find the way back out to the street!). If you must go, don't pay the all-inclusive ticket (48,000 won for adults, barely cheaper for kids), pay the cheaper ticket price, wander around and pay for rides as you go (supposedly you have this option), if you can actually get on any.",9,probably,"들어서는 것이 기뻤고, 나가면서 너무 기뻤습니다. 우리는 화요일에 갔고 11시(장소는 9시 30분에 오픈)에 도착했고 공원의 야외 섹션(Magic)에 위치한 Comet에 갔다. 인터넷에서 본 스페이스 마운틴과 비슷할 거라고 생각했다. 대기시간은 80분이라고 합니다. 나는 우리가 실제 타기 전에 우리가 2시간을 기다렸다고 추정할 것입니다. 그것은 모호하게 Space-Mountain-ish이고 약간 재미있었지만 확실히 기다릴 가치가 있는 것은 아닙니다. 더워서 우리는 다른 놀이기구를 찾기 위해 다시 안으로 들어갔습니다. 모든 ""스릴""(코스터형) 놀이기구는 120분의 대기 시간을 나열했으며, 이는 아마도 2.5시간을 의미했을 것입니다. 우리가 보석금을 내기로 결정할 때까지 우리는 내부에서 조금 더 걸어 돌아다녔습니다(보기에 꽤 시원합니다 - 그들은 사람을 포함하여 내부에 너무 많이 쑤셔 넣습니다!). 돈 낭비입니다. 디즈니에 도전했지만 모든 면에서 실패. 무관심한 직원, 수용 인원이 너무 적은 놀이기구, 비효율적인 표지판(거짓말이 아닙니다. 다시 길을 찾는 데 25분이 걸렸습니다!). 꼭 가봐야 한다면 올인클루시브 티켓(어른 48,000원, 어린이는 거의 저렴)을 지불하지 말고, 더 저렴한 티켓 가격을 지불하고, 돌아다니며 놀이기구를 타고 가는 만큼(이 옵션이 있다고 가정합니다) 비용을 지불하면 됩니다. 당신은 실제로 무엇이든 탈 수 있습니다."
