,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,6, The size of the shopping mall is huge enough to be considered one of the best shopping malls in Seoul From movie theaters and department stores to luxury boutiques to fourstar hotels there is really nothing ,0,stores,"쇼핑몰의 크기는 서울 최고의 쇼핑몰 중 하나로 간주 될만큼 거대합니다 영화관과 백화점부터 고급 부티크, 4 성급 호텔에 이르기까지 정말 아무것도 없습니다."
1,1,1,11,"The mall itself in the picture is a strait forward western-type mall with name-brand stores, a food court, and escalators. But the interesting part is underground. Tons of redundant little stalls with much the same merchandise, but search around and you will find a few unique and interesting things you might buy. It goes on for what must be a few blocks, with main stores above including one of their big department stores, plus a cinema.",1,stores,"사진 속 몰 자체는 브랜드 매장과 푸드코트, 에스컬레이터가 있는 스트레이트 포워드 웨스턴 몰이다. 그러나 흥미로운 부분은 지하입니다. 거의 동일한 상품을 판매하는 수많은 작은 포장 마차가 있지만 주변을 검색하면 구입할 수 있는 독특하고 흥미로운 몇 가지를 찾을 수 있습니다. 큰 백화점 중 하나를 포함하여 위의 주요 상점과 영화관이있는 몇 블록이어야합니다."
2,2,2,17,"Times Square Mall is around 400m walk from the Yeongdeungpo Station. The mall houses the Shinsegae department store, Kyobo bookstore, E-mart supermarket, stores like Zara, North Face etc. This is one of the filming locations for the K-drama The Last Empress.",2,stores,"타임스퀘어 몰은 영등포역에서 도보로 약 400m 거리에 있습니다. 쇼핑몰에는 신세계 백화점, 교보문고, 이마트 슈퍼마켓, 자라, 노스페이스 등이 있습니다. 이곳은 K-드라마 '황후의 품격'의 촬영 장소 중 하나입니다."
3,3,3,24,"We went there a Wednesday afternoon like 3 pm and it was full. There are slot of stores, convenience stores so it can be practical.",3,stores,"우리는 오후 3시와 같은 수요일 오후에 거기에 갔고 가득 찼습니다. 매점, 편의점이 있어 실용적입니다."
4,4,4,33,This mall situated in a busiest part of Seoul and also a quite a big one. There are lot of branded goods shops here with tax free option to serve foreign travellers. It's a huge mall and worth going around with lot of eateries. It's got a departmental stores also,4,stores,이 쇼핑몰은 서울에서 가장 번화한 지역에 위치하고 있으며 규모도 꽤 큽니다. 외국인 여행자를 위한 면세 옵션이 있는 브랜드 상품 상점이 많이 있습니다. 그것은 거대한 쇼핑몰이며 많은 식당과 함께 갈 가치가 있습니다. 백화점도 있어요
5,5,5,37,"If you've been to malls in Asia, this is your little nicer than most malls. But it's still a mall. There was a driving interactive 4x4 racing video game that I did with my son. He drove and thought it was cool. Descent selection of food and a pretty good movie theater. Other than that there are a lot of over priced international branded stores.",5,stores,아시아의 쇼핑몰에 가본 적이 있다면 이것은 대부분의 쇼핑몰보다 조금 낫습니다. 하지만 여전히 쇼핑몰입니다. 내 아들과 함께 한 운전 대화형 4x4 레이싱 비디오 게임이 있었습니다. 그는 운전했고 그것이 멋지다고 생각했습니다. 음식과 꽤 좋은 영화관의 하강 선택. 그 외에도 해외 브랜드 매장이 많이 있습니다.
6,6,6,44,"We went to the mall at 7 P.M The mall closed at 10 P.M  I like the bookstore there, it has some unique things. But it is pricy. Also there is a store named ""Muji"" sell things for traveler . There are several restaurants serve different kind of foods. Other stores such as normal mall (Zara, H.M, els)  This mall is pricy at it all.",6,stores,"우리는 오후 7시에 쇼핑몰에 갔다. 쇼핑몰은 오후 10시에 문을 닫는다. 나는 거기 서점을 좋아한다. 거기에는 독특한 것들이 있다. 하지만 비싸다. 또한 여행자를 위한 물건을 판매하는 ""무지""라는 가게도 있습니다. 다양한 종류의 음식을 제공하는 여러 레스토랑이 있습니다. 노멀몰(자라,에이엠,엘스) 등 다른 매장들 이 쇼핑몰은 전체적으로 가격이 비쌉니다."
7,7,7,45,"I enjoyed the atrium space of the mall, but wife enjoyed the shopping. Lots of stores including a Shinsegae department store. They also had a cool electronics store. They have high end to some cheaper stores as well. Although it is a bit out of the way.",7,stores,나는 쇼핑몰의 아트리움 공간을 즐겼지만 아내는 쇼핑을 즐겼습니다. 신세계 백화점을 비롯한 많은 상점. 멋진 전자제품 매장도 있었습니다. 그들은 또한 일부 저렴한 상점에 ??하이 엔드를 가지고 있습니다. 비록 조금 떨어져 있지만.
8,8,8,50,"If you're familiar with malls, you'll be familiar with Times Square Mall. It's a big mall with a lot of local Korean and Western brands. When I went, there were even pop-up stores on the first floor. It's nice to check out but if you're looking for local goods, check out other places like Insadong or Bokchon.",8,stores,쇼핑몰에 대해 잘 아시는 분이라면 타임스퀘어몰에 대해 잘 아실 것입니다. 현지 한국 및 서양 브랜드가 많이 있는 큰 쇼핑몰입니다. 제가 갔을 땐 1층에 팝업스토어도 있었어요. 가보는 것도 좋지만 현지 상품을 찾는다면 인사동이나 복촌 등 다른 곳도 알아보세요.
9,9,9,51,"Read about this new largest mall in Seoul, so decided to check it out. It took about 25 minutes by Korea Rail/Metro to get there from City Hall station. It's main anchor tenant is Shisegae and that is the first building you notice across the road when you step out of the Yeongdeungpo station. It is not directly connected (at least I could not find the underground link) so it might be difficult to get to and from the station when it rains.  It also has a large ecopark whe you can sit in fine weather to have a quick lunch. I loved the huge Emart store spread across two floors in the basement, which sells everything from groceries and beers to car accessories and home linens, and everything in between it seems.  There are also the usual brand names you can find in any mall, such as LV and Coach, as well as high street stores like Charles & Keith and H&M. If you are hungry, you can have Mexican food at South of the border, burgers from Lotteria and KFC, Japanese ramen and Viet noodles, and many more.  I enjoyed visiting the pet and flower shops at the end close to Emart, where there were several puppies for sale.  As mentioned before, it is quite a distance from town, but you can make a day of it by exploring the streets of Yeongdeungpo anto see how the locals go about their daily routines.",9,stores,"서울에서 가장 큰 이 새로운 쇼핑몰에 대해 읽어보고 확인하기로 결정했습니다. 시청역에서 한국철도/지하철로 25분 정도 소요되었습니다. 메인 앵커 세입자는 시세계이며 영등포역에서 나오면 길 건너 가장 먼저 눈에 띄는 건물입니다. 그것은 직접 연결되어 있지 않기 때문에 (적어도 나는 지하 링크를 찾을 수 없었습니다) 비가 올 때 역을 오가는 것이 어려울 수 있습니다. 또한 날씨가 좋은 날 앉아서 간단한 점심을 먹을 수 있는 대형 생태공원이 있습니다. 나는 식료품과 맥주부터 자동차 액세서리와 홈 린넨에 이르기까지 모든 것을 판매하는 지하 2층에 걸쳐 있는 거대한 이마트 매장이 마음에 들었습니다. Charles & Keith 및 H&M과 같은 하이 스트리트 매장뿐만 아니라 LV 및 Coach와 같은 모든 쇼핑몰에서 찾을 수 있는 일반적인 브랜드 이름도 있습니다. 배가 고프면 국경 남쪽에서 멕시코 음식을, 롯데리아와 KFC의 햄버거, 일본 라면과 베트남 국수 등을 먹을 수 있습니다. 나는 이마트와 가까운 끝에 애완 동물과 꽃 가게를 방문하는 것을 즐겼습니다. 여기에는 몇 마리의 강아지가 판매되었습니다. 앞서 말했듯이 시내에서 꽤 떨어져 있지만 영등포 거리를 돌아다니며 현지인들의 일상을 살펴보는 것으로 하루를 보낼 수 있습니다."
