,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,12,Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show ,0,wait,엘리베이터를 기다리는 많은 사람들을 보는 것은 내가 가장 싫어하고 엘리베이터 내부에서 아무것도 보지 않고 나를 불행하게 만들고 항상 여러 가지 화려한 조명 쇼를 만들고있는 셀을 찾아 볼 수 밖에 없었습니다.
1,1,1,27,Quite expensive To get there u have to wait almost 1 hour To go down maybe much longer,1,wait,꽤 비쌉니다 거기에 가려면 거의 1시간을 기다려야 합니다.
2,2,2,47, It took a long time to wait but I decided to go just to see the scenery ,2,wait,오래 기다리긴 했지만 경치만 보고 가기로 했어요
3,3,3,55, There is a lot to see and the traffic is good but it is good for mental health to give up food because the wait is too long ,3,wait,볼거리도 많고 교통도 좋은데 웨이팅이 너무 길기 때문에 음식을 포기하는 것이 정신건강에 좋다
4,4,4,92, Great place to eat and play There is a long wait at the restaurant on weekends ,4,wait,먹고 놀기 좋은 곳 주말에는 식당에서 오래 기다려야 합니다
5,5,5,144,Very small and filled with 12h long queues of people for each ride where one ride takes about 30s to 1min so in case of visiting its better to pay extra for vip entrance not to waste time waiting in the qq,5,wait,매우 작고 각 놀이기구에 대해 12시간의 긴 대기열로 채워져 있으며 한 놀이기구에는 약 30초에서 1분이 소요되므로 방문하는 경우 qq에서 기다리는 시간을 낭비하지 않기 위해 VIP 입장에 대해 추가 비용을 지불하는 것이 좋습니다.
6,6,6,189, I made a reservation in advance and there was no wait The hamburger cake is very juicy and the truffle flavor of the french fries is very good ,6,wait,미리 예약하고 갔더니 웨이팅이 없었어요 햄버거 케이크도 엄청 쫀득쫀득하고 트러플 향이 도는 감자튀김이 너무 좋아요
7,7,7,204, We were there in the evening and therefore didnt have to wait and got discounted tickets A visit at night has a completely different vibe Seeing the city at night is breathtaking ,7,wait,우리는 저녁에 거기에 있었기 때문에 기다릴 필요가 없었고 할인 된 티켓을 얻었습니다. 밤에 방문하면 완전히 다른 분위기가 있습니다. 밤에 도시를 보는 것은 아슬 아슬합니다.
8,8,8,221, I went to see the scenery at sunset with my family However I missed the sunset because I was waiting for the observatory elevator to see the planned exhibits but the night view is nice Its a good memory on a ,8,wait,가족들과 해질녘 풍경 보러 갔는데 예정된 전시를 보기 위해 전망대 엘리베이터를 기다리느라 해질녘을 놓쳤지만 야경은 멋져요 좋은 추억이 되었습니다
9,9,9,245, Worth a visit once The section where the bottom is transparent is quite dizzying I was worried that I had to wait for an hour to get on the elevator but I was ,9,wait,한 번 가볼만 하다 바닥이 투명한 구간이 상당히 어지럽다 엘리베이터를 타려면 1시간을 기다려야할까 걱정했지만
10,10,10,246, I had a great time with my family There is a lot to see a lot of people and the waiting time is long in a long line ,10,wait,가족들과 즐거운 시간 보냈어요 볼거리도 많고 사람도 많고 대기시간도 긴데
11,11,11,268,"Magnificent views across Seoul. Currently, still being influenced by Covid, there were no waiting times at all. Elevators bring you in lightning speed to the 119th(?) floor. From there a video show starts and ends after ~1 minute with a breathtaking view over Seoul. Afterwards you can stroll around freely on all 5 levels above, including a small cafe with reasonably priced coffee and other drinks. Even a small shop with gifts / souvenirs is available, if you are into those kind of things.",11,wait,서울 전역의 멋진 전망. 현재 코로나 여파로 대기시간이 전혀 없습니다. 엘리베이터는 당신을 119층(?)층까지 빠른 속도로 데려다줍니다. 거기에서 비디오 쇼는 서울의 숨막히는 전경과 함께 약 1분 후에 시작되고 끝납니다. 그런 다음 합리적인 가격의 커피와 기타 음료가 있는 작은 카페를 포함하여 위의 5개 층을 모두 자유롭게 산책할 수 있습니다. 선물/기념품이 있는 작은 가게도 그런 종류의 물건을 좋아한다면 이용할 수 있습니다.
12,12,12,275,"The Mall itself is huge and impressive, therefore i´d give 4 stars. Together with the tower actually only 2 stars. Even you buy the ticket in advance there are long waiting cues (over 1,5 hours). Then on top there are just some small cafes (nothing special) and souvenir shops. The view is nice but really not outstanding. Only good thing there is the short elevator drive and enjoying a cocktail on top.",12,wait,쇼핑몰 자체는 거대하고 인상적이므로 별 4개를 줍니다. 타워와 함께 실제로는 별이 2개뿐입니다. 미리 티켓을 구매하더라도 긴 대기 큐(1.5시간 이상)가 있습니다. 그런 다음 상단에는 작은 카페(특별한 것은 없음)와 기념품 가게가 있습니다. 보기는 좋지만 실제로 탁월하지는 않습니다. 짧은 엘리베이터 운전과 꼭대기에서 칵테일을 즐기는 것이 좋은 점입니다.
13,13,13,279,"the highest tower in Korea, you can see Seoul from the top. it really deserve a visit.  however, consider the queue on the elevator to the top floor. I suggest that you just go after opening time in the early morning so you can avoid the waiting time.  I really liked the gift shop on the top floor.",13,wait,"한국에서 가장 높은 타워, 위에서 서울을 볼 수 있습니다. 정말 방문할 가치가 있습니다. 그러나 최상층으로 올라가는 엘리베이터의 대기열을 고려하십시오. 웨이팅을 피하기 위해 이른 아침 오픈 시간 이후에 가는걸 추천합니다. 나는 꼭대기 층에 있는 선물 가게가 정말 마음에 들었다."
14,14,14,289,"Incredible views, no doubt. However, zero information about the building. A 2 hour wait in a boiling, non air conditioned room will suck the excitement out of the activity. Nothing to do upstairs and the terrace is totally closed off so it’s not any more interesting than looking from the window.",14,wait,"놀라운 전망, 의심의 여지가 없습니다. 그러나 건물에 대한 정보는 0입니다. 에어컨이 가동되지 않는 끓는 방에서 2시간을 기다리면 활동의 흥분을 빨아들일 것입니다. 위층은 할 일이 없고 테라스는 완전히 닫혀 있어서 창밖을 바라보는 것보다 재미가 없습니다."
