,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,128, everything was good I saw the animals and the environment was good However as soon as you pass the entrance there is a restaurant in front of the ,0,everything,다 좋았습니다 동물들도 보고 환경도 좋았지만 입구를 지나면 바로 앞에 식당이 있어요
1,1,1,187, I have a good time with my granddaughters and grandchildren everything is perfect ,1,everything,손녀 손녀들과 즐거운 시간을 보내고 있어요 모든게 완벽해요
2,2,2,237,"This is a park in massive area which includes multiple different attractions. The zoo has most visitors and is a pretty good place to any ages.  Facilities: Zoo, Garden, Camping Zone, Seoul Land(Amusement Park), Contemporary Museum, etc. We only entered the zoo. But, there was a rose garden as a season special and it looked nice, too.  Location: This is in Gwacheon City. But, only 4 stops away from Metro Sadang Station (line #4). Accessibility is great from Seoul. From the metro station, it's a short walk to the park. There are some food stalls in the way. It's fun to watch and I recommend having foods here because foods inside the park are much more expensive.  Zoo: - We bought combined ticket of 10,500 won for a lift, a elephant bus and an entrance. After buying the ticket, go to the lift station on the right and take the lift until the highest area of the zoo. Walk around the zoo and take the bus when it's done. This seems to be the best way to save money.  - The zoo was fine. Food stands, bathrooms, benches are everywhere. Bird Zone is like a Jurassic Park. If you are lucky, you'll be able to see parrots very closely. We were very amused to see apes. I think Ape Zone is the best part in this zoo.  - I was a bit disappointed not to see lions. There were MANY constructions and some animals aren't staying at where they are supposed to be. Bat cages were empty.  - It's a lot of walking anyway. Be ready to get tired.  - There's A-Zoo tour on the website to travel comfortably riding on a cart for children or seniors. It's not available at the ticket office. I think they should fix that.  - Even though there are animals of many kinds, there are still many this zoo doesn't have. So, don't expect to see every one you can imagine.  - There's an arboretum in the zoo. It was just okay level.  - There are a number of visitors in the zoo. But, this is a huge zoo and there's no chance to wait to see something. We liked it.  - Some of them close at 18:00. You'd better enter before that if you wish to see everything.",2,everything,"이것은 여러 다른 명소를 포함하는 대규모 지역의 공원입니다. 동물원에는 방문객이 가장 많으며 모든 연령대에 꽤 좋은 곳입니다. 부대시설 : 동물원, 정원, 캠핑존, 서울랜드(놀이공원), 현대미술관 등 동물원만 입장. 하지만 시즌특집으로 장미정원이 있어서 보기에도 좋았습니다. 위치: 과천시에 있습니다. 그러나 지하철 사당역(4호선)에서 불과 4정거장 거리에 있습니다. 서울에서 접근성이 좋습니다. 지하철역에서 공원까지 도보로 가까운 거리에 있습니다. 가는 길에 먹거리 노점이 있습니다. 보는 것도 재미있고 공원 안의 음식은 훨씬 비싸기 때문에 여기서 음식을 먹는 것을 추천합니다. 동물원: - 리프트, 코끼리버스, 입장권을 10,500원에 샀습니다. 티켓 구매 후 우측 리프트 스테이션으로 이동 후 리프트를 타고 동물원의 가장 높은 곳까지 이동합니다. 동물원을 산책하고 끝나면 버스를 타십시오. 이것이 돈을 절약하는 가장 좋은 방법인 것 같습니다. - 동물원은 괜찮았어요. 음식 가판대, 욕실, 벤치가 어디에나 있습니다. Bird Zone은 쥬라기 공원과 같습니다. 운이 좋으면 앵무새를 아주 가까이에서 볼 수 있습니다. 우리는 유인원을 보는 것이 매우 즐거웠습니다. 이 동물원에서 가장 좋은 부분은 원숭이 존이라고 생각합니다. - 사자를 보지 못해 조금 아쉬웠다. 많은 건축물이 있었고 일부 동물은 있어야 할 곳에 머물지 않았습니다. 박쥐 케이지는 비어있었습니다. - 그나저나 많이 걸어요. 지칠 준비를하십시오. - 어린이나 시니어를 위한 카트를 타고 편안하게 여행할 수 있는 A-Zoo 투어가 홈페이지에 있습니다. 매표소에서는 사용할 수 없습니다. 나는 그들이 그것을 고쳐야 한다고 생각한다. - 많은 종류의 동물이 있지만 이 동물원에는 아직 없는 동물이 많습니다. 따라서 상상할 수 있는 모든 사람을 볼 것으로 기대하지 마십시오. - 동물원에 수목원이 있어요. 그냥 무난한 수준이었습니다. - 동물원에 방문객이 많습니다. 그러나 이곳은 거대한 동물원이고 무언가를 보기 위해 기다릴 기회가 없습니다. 우리는 그것을 좋아했다. - 일부는 18:00에 문을 닫습니다. 모든 것을 보고 싶다면 그 전에 들어가는 것이 좋습니다."
3,3,3,269,"Very nice and big zoo, we were there for 5 hours and did not get to see everything. Even though it was quite busy on a Sunday, the park is big enough to not feel trapped in the masses. Some very nice pavilions (especially the tiger part), but also unfortunately some very small cages for certain animals. End of March is still a bit cold and some animals were thus still kept inside (which is good for them, no complaints on that as an animal lover), and the grass and flowers still have to set in. I certainly recommend the place, it's a must visit, but would advice to go mid April or later. Also very cheap (3000 WON for an adult)",3,everything,"매우 훌륭하고 큰 동물원, 우리는 5 시간 동안 거기에 있었고 모든 것을 보지 못했습니다. 일요일이라 꽤 붐볐음에도 불구하고 공원은 인파에 갇힌 느낌이 들지 않을 만큼 충분히 큽니다. 아주 멋진 파빌리온(특히 호랑이 부분)이 있지만 불행히도 특정 동물을 위한 아주 작은 새장도 있습니다. 3월 말은 여전히 ??약간 춥고 일부 동물은 여전히 ??내부에 보관되어 있으며(동물 애호가로서 그것에 대해 불만이 없습니다.) 잔디와 꽃이 여전히 자리를 잡아야 합니다. 꼭 방문해야 하지만 4월 중순 또는 그 이후에 가는 것이 좋습니다. 가격도 매우 저렴(성인 3000원)"
4,4,4,281,"I visited the Gwacheon-located Seoul Grand Park and it was overall a positive experience. I only visited the zoo section, and not Seoul Land, the amusement park. For what it's worth my friends have told me that Seoul Land isn't really worth it, compared to Lotte World or Everland. The zoo features many animals, of all kinds and species and from all continents. There's pretty much everything you can think of : reptiles, big mammals, seals, elephants, lions... The park is also perfectly located in between mountains and offers a stunning view. It also has a fairly large choice of dining and snack options. My bigger complaint with the park is that it feels a bit run down. Enclosures are fairly stale, and a some animals seemed a bit unhealthy. It also lacks some kind of a theme (safari, themes for different clades or cintinents), special events allowing greater interaction with animals or staff, as well as a session dedicated to children for example)",4,everything,"과천에 위치한 서울대공원을 방문했는데 전반적으로 긍정적인 경험이었습니다. 동물원 부분만 가보고 놀이동산인 서울랜드는 안 가봤다. 내 친구들은 롯데월드나 에버랜드에 비해 서울랜드가 별로 가치가 없다고 말했다. 동물원에는 모든 종류와 종, 모든 대륙의 많은 동물이 있습니다. 파충류, 대형 포유류, 물개, 코끼리, 사자 등 생각할 수 있는 모든 것이 있습니다. 또한 공원은 산 사이에 완벽하게 위치해 있어 멋진 전망을 제공합니다. 또한 식사 및 스낵 옵션의 선택 폭이 상당히 넓습니다. 공원에 대한 나의 더 큰 불만은 약간 무너진 느낌이 든다는 것입니다. 인클로저는 상당히 오래되었고 일부 동물은 건강에 좋지 않은 것처럼 보였습니다. 또한 일종의 테마(사파리, 다양한 계통 또는 신티넨트를 위한 테마), 동물 또는 직원과의 더 큰 상호 작용을 허용하는 특별 이벤트, 어린이 전용 세션이 부족합니다."
5,5,5,290,"I've read a couple other reviews here and I share generally the same sentiment. The zoo itself is incredible, there are tons of animals from all over the world to see. The rose gardens are amazing as well. I took a gondola ride that goes over everything and provides you with amazing views. I am however slightly concerned for the animals. You can literally put your hands about 3 feet from the cages and feed the animals food. I saw people giving the Gibbons cheetos. It was sort of funny, but I felt guilty watching it. Different country, different views on how a zoo should be run, but overall I had a great time.",5,everything,"나는 여기에서 몇 가지 다른 리뷰를 읽었으며 일반적으로 같은 감정을 공유합니다. 동물원 자체는 놀랍습니다. 전 세계에서 수많은 동물을 볼 수 있습니다. 장미 정원도 훌륭합니다. 나는 모든 것을 넘어서 놀라운 전망을 제공하는 곤돌라를 탔습니다. 그러나 나는 동물에 대해 약간 걱정합니다. 말 그대로 새장에서 3피트 정도 떨어진 곳에 손을 놓고 동물에게 먹이를 줄 수 있습니다. 나는 기븐스에게 치토스를 주는 사람들을 보았다. 좀 웃기긴 했지만 보면서 죄책감이 들었다. 다른 나라, 동물원 운영 방식에 대한 견해는 다르지만 전반적으로 즐거운 시간을 보냈습니다."
6,6,0,112, close too early The lift staff are unfriendly ,6,staff,너무 일찍 닫음 엘리베이터 직원이 불친절함
7,7,1,264,"We went there in August and it's too hot for us. We could only walked for half an hour and decided to leave. The zoo is pretty old. The staff is not good at providing information (as we walk along the way to the zoo from cable car station, we just realized that there a shuttle bus to the zoo but the woman at the information didnt tell us. So we have to walk under really hot weather).",7,staff,우리는 8월에 거기에 갔고 우리에게는 너무 덥습니다. 우리는 30분 정도만 걸을 수 있었고 떠나기로 결정했습니다. 동물원은 꽤 오래되었습니다. 직원이 정보를 잘 제공하지 않습니다 (케이블카 정류장에서 동물원으로가는 길을 따라 걸을 때 우리는 동물원까지 셔틀 버스가 있다는 것을 알았지 만 안내 직원이 우리에게 알려주지 않았습니다. 그래서 우리는 아래로 걸어 가야합니다. 정말 더운 날씨).
8,8,2,281,"I visited the Gwacheon-located Seoul Grand Park and it was overall a positive experience. I only visited the zoo section, and not Seoul Land, the amusement park. For what it's worth my friends have told me that Seoul Land isn't really worth it, compared to Lotte World or Everland. The zoo features many animals, of all kinds and species and from all continents. There's pretty much everything you can think of : reptiles, big mammals, seals, elephants, lions... The park is also perfectly located in between mountains and offers a stunning view. It also has a fairly large choice of dining and snack options. My bigger complaint with the park is that it feels a bit run down. Enclosures are fairly stale, and a some animals seemed a bit unhealthy. It also lacks some kind of a theme (safari, themes for different clades or cintinents), special events allowing greater interaction with animals or staff, as well as a session dedicated to children for example)",8,staff,"과천에 위치한 서울대공원을 방문했는데 전반적으로 긍정적인 경험이었습니다. 동물원 부분만 가보고 놀이동산인 서울랜드는 안 가봤다. 내 친구들은 롯데월드나 에버랜드에 비해 서울랜드가 별로 가치가 없다고 말했다. 동물원에는 모든 종류와 종, 모든 대륙의 많은 동물이 있습니다. 파충류, 대형 포유류, 물개, 코끼리, 사자 등 생각할 수 있는 모든 것이 있습니다. 또한 공원은 산 사이에 완벽하게 위치해 있어 멋진 전망을 제공합니다. 또한 식사 및 스낵 옵션의 선택 폭이 상당히 넓습니다. 공원에 대한 나의 더 큰 불만은 약간 무너진 느낌이 든다는 것입니다. 인클로저는 상당히 오래되었고 일부 동물은 건강에 좋지 않은 것처럼 보였습니다. 또한 일종의 테마(사파리, 다양한 계통 또는 신티넨트를 위한 테마), 동물 또는 직원과의 더 큰 상호 작용을 허용하는 특별 이벤트, 어린이 전용 세션이 부족합니다."
9,9,3,294,"This place was amazing and so big we couldn't even do it all before we got tired and a little too hot for the day. There are many animals and they have nicely done enclosures. The guide map was in English but we found very few of the staff spoke English. However this wasn't too important as we wanted to just see the animals. They had an amazing dolphin and seal lion show that was included with the entrance fee. There was an impressive green house with many many different species of lovely plants. We also took the sky lift to get a birds eye view (and return to the front) and it wasn't very expensive. The zoo is non-smoking which was nice. There were several food options and one had a lot of good Korean food options with a serve yourself kimchi bar. There were colored lines along paths if you wanted to do a particular loop with each taking about two hours to complete. We didn't use these, but it was a nice option. Overall this zoo was enormous and very nicely done. We were glad we were able to visit and little sad we didn't get to see the whole place (or have time to to return again on another day).",9,staff,이 장소는 놀랍고 너무 커서 우리가 피곤하고 하루 동안 너무 더워지기 전에 모든 것을 할 수 없었습니다. 많은 동물이 있으며 그들은 인클로저를 멋지게 만들었습니다. 가이드 맵은 영어로 되어 있었지만 영어를 구사하는 직원은 거의 없었습니다. 그러나 우리가 동물을보고 싶었 기 때문에 이것은 그다지 중요하지 않았습니다. 그들은 입장료에 포함 된 놀라운 돌고래와 물개 사자 쇼를했습니다. 다양한 종류의 사랑스러운 식물이 있는 인상적인 온실이 있었습니다. 우리는 또한 조감도를 보기 위해 스카이 리프트를 탔고(앞으로 돌아갑니다) 그리 비싸지 않았습니다. 동물원은 금연이어서 좋았습니다. 몇 가지 음식 옵션이 있었고 그 중 하나는 김치 바를 제공하는 좋은 한국 음식 옵션이 많이 있었습니다. 특정 루프를 완료하는 데 약 2시간이 걸리는 특정 루프를 수행하려는 경우 경로를 따라 컬러 라인이 있었습니다. 우리는 이것을 사용하지 않았지만 좋은 옵션이었습니다. 전반적으로이 동물원은 거대하고 매우 훌륭하게 이루어졌습니다. 우리는 우리가 방문할 수 있어서 기뻤고 우리가 전체 장소를 볼 수 없어서 조금 슬펐습니다(또는 다른 날에 다시 돌아올 시간이 없습니다).
