,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,45,Went on spring season Weather was still chill but still lot of people will be walking eating or having a picnic in the grass of the park If you walk enough you may find a Zoo free entry which I didnt like much cuz I can see the trauma that the animals have by being in a small place The park good the zoo not so much,0,didnt,봄 시즌에 갔다 날씨는 여전히 쌀쌀했지만 여전히 많은 사람들이 공원의 잔디에서 식사를하거나 피크닉을 걷게 될 것입니다. 충분히 걸으면 동물원 무료 입장을 찾을 수 있습니다. 동물들은 작은 장소에 있기 때문에 공원이 좋은 동물원은 그다지 많지 않습니다.
1,1,1,178, I went in the second week of January Its a cold day so I didnt see monkeys or desert animals at the zoo and there were all animals in the wild beasts I came here to heal in the city center ,1,didnt,1월 둘째주에 갔더니 날이 추워서 동물원에서 원숭이나 사막동물을 못봤고 야수들에 동물들이 다 있었어요 도심에서 힐링하러 왔어요
2,2,2,273, There were a lot of people so I didnt ride much The quarantine rules are not in place but the safety guarantee was good ,2,didnt,사람이 많아서 많이 오르지는 않았지만 방역수칙은 어긋나지만 안전보장은 좋았습니다
3,3,3,396,the park is very big that children can spend whole day . there also some winter sport for children from dec to march. small zoo and children museum inside. there is an entry fees for the museum but we didnt visit because not enough time.,3,didnt,공원은 아이들이 하루 종일 보낼 수 있을 정도로 매우 큽니다. 12월부터 3월까지 어린이를 위한 겨울 스포츠도 있습니다. 작은 동물원과 어린이 박물관 내부. 박물관 입장료가 있지만 시간이 충분하지 않아 방문하지 않았습니다.
4,4,0,22, Although the weather was hot we had so much fun at the zoo and amusement park There was a fountain and plenty of places to sit and eat ,4,much,날씨는 더웠지만 동물원과 놀이동산에서 너무 신나게 놀았어요 분수도 있고 앉아서 먹을 곳도 많았어요
5,5,1,25, Animals are also gathered in one place so its nice to be able to see lions tigers elephants etc without walking much ,5,much,동물들도 한자리에 모여 있어서 많이 걷지 않고도 사자 호랑이 코끼리 등을 볼 수 있어서 좋다
6,6,2,33, I waited a long time but it was so much fun There is also a zoo ,6,much,많이 기다렸는데 너무 재밌었어요 동물원도 있어요
7,7,3,45,Went on spring season Weather was still chill but still lot of people will be walking eating or having a picnic in the grass of the park If you walk enough you may find a Zoo free entry which I didnt like much cuz I can see the trauma that the animals have by being in a small place The park good the zoo not so much,7,much,봄 시즌에 갔다 날씨는 여전히 쌀쌀했지만 여전히 많은 사람들이 공원의 잔디에서 식사를하거나 피크닉을 걷게 될 것입니다. 충분히 걸으면 동물원 무료 입장을 찾을 수 있습니다. 동물들은 작은 장소에 있기 때문에 공원이 좋은 동물원은 그다지 많지 않습니다.
8,8,4,58, It was so much fun and it was so cool to see the fountain  ,8,much,너무 재미있고 분수를 볼 수 있어서 너무 좋았어요
9,9,5,96, About 10 rides The line is long so if you dont go early in the morning you can cut it off with 35 tickets Even if the queue is long it is much shorter than Everland or ,9,much,10회 정도 줄이 길기 때문에 아침 일찍 가지 않으면 35장으로 끊을 수 있다. 줄이 길더라도 에버랜드나 에버랜드보다 훨씬 짧다.
