,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,23,"This place is definitely for kids, probably younger than 6 or 7 years old. Rides are not exciting or thrilling at all. Boring.",0,probably,이 장소는 확실히 6-7세 미만인 아이들을 위한 곳입니다. 놀이기구는 전혀 흥미롭거나 스릴이 없습니다. 지루한.
1,1,1,24,"The place is so deserted and empty when we went on a weekday. Perhaps the rides are more suitable for younger children (5-12 years old) or its not as popular as the other 2 theme parks. Or maybe some of the rides are abit run down.  There are probably only less than 80 people during our visit and my kids can repeat the same ride 6 times without ridiculous queue. Mostly younger kids like 12-15 years old and lesser couples. They have a huge rollercoaster and drop down just like the popular theme park. Price is half compared to Lotte World when you purchase through KLOOK app. Super worth it and you need walk 3 mins after exit from train station to take the elephant ride to the theme park. Or walk to park in 15 mins.  There are restaurants, 7-11, cafes and 1 halal Kebab stall (near Tomorrow Land). For muslims, there is a dedicated musollah near 7-11, please ask the staff to open the door for you. Very clean and spacious with separate rooms, however we can't use the tap so its handy to bring a bottle of clean water.",1,probably,"우리가 평일에 갔을 때 장소는 너무 황량하고 비어 있습니다. 놀이기구는 어린 아이들(5-12세)에게 더 적합하거나 다른 2개의 테마파크만큼 인기가 없습니다. 아니면 놀이기구 중 일부가 약간 떨어졌을 수도 있습니다. 우리가 방문하는 동안 아마도 80명 미만일 것입니다. 제 아이들은 어리석은 대기열 없이 같은 타기를 6번 반복할 수 있습니다. 대부분 12-15세 이하의 커플과 같은 어린 아이들입니다. 그들은 거대한 롤러 코스터를 가지고 있으며 인기있는 테마 파크처럼 드롭 다운됩니다. KLOOK 앱을 통해 구매하시면 롯데월드 대비 절반 가격입니다. 그만한 가치가 있으며 코끼리를 타고 테마 파크로 이동하려면 기차역에서 나온 후 3분이 소요됩니다. 또는 도보로 15분이면 주차할 수 있습니다. 레스토랑, 7-11, 카페 및 1개의 할랄 케밥 노점(투모로우랜드 근처)이 있습니다. 이슬람교도의 경우 7-11 근처에 전용 무솔라가 있습니다. 직원에게 문을 열어달라고 요청하십시오. 매우 깨끗하고 별도의 방이 있지만 수돗물을 사용할 수 없으므로 깨끗한 물 한 병을 가져 오는 것이 편리합니다."
2,2,0,51,"I went to Seoul Land with my family. I think there's the amusement park part and the zoo part. We went to the zoo part. Actually we were planning to go to the amusement park but we went there by accident. Anyways, it didn't cost that much. There were many animals. It wasn't bad... I guess we had a good time.But I think I would go to the amusement park next time if I have a chance.",2,guess,가족과 함께 서울랜드에 다녀왔습니다. 놀이동산 부분과 동물원 부분이 있는 것 같아요. 우리는 동물원 부분에 갔다. 사실 우리는 놀이동산에 가려고 했는데 우연히 갔다. 어쨌든 비용은 그렇게 많이 들지 않았습니다. 많은 동물들이 있었습니다. 나쁘지 않았어.. 잘 지냈나봐.하지만 다음에 기회가 된다면 놀이동산에 가보고 싶은 생각이 든다.
3,3,1,52,"we took our 5 nieces and nephews here on Oct. 28 and the place was OK, I guess. As an American that has visited Disney Resort and Six Flags, this place is of much lower quality. The rides are very dated for an amusement park. There is one roller coaster that is Six Flags Quality and the rest of the place seems to be stuck in the 70's. For western visitors, I would say this would be a giant letdown. The food available is OK, but unless you have lived in Korea for a bit(i did for two years) and developed a taste for the local food, you may have trouble finding anything other than fried chicken. My advice for Westerners, take the kids to a temple or historic site where they can learn something about another culture. If you live in Korea, sorry this is what you have to put up with for an amusement park.",3,guess,우리는 10 월 28 일에 5 명의 조카와 조카를 데려 갔고 장소는 괜찮 았습니다. 디즈니 리조트와 식스 플래그를 방문한 미국인으로서 이곳은 훨씬 낮은 품질입니다. 놀이기구는 놀이 공원에 매우 오래되었습니다. Six Flags Quality인 롤러코스터가 하나 있고 나머지는 70년대에 갇힌 것 같습니다. 서양인의 경우 이것이 큰 실망이 될 것이라고 말할 것입니다. 제공되는 음식은 괜찮습니다. 하지만 한국에서 조금(저는 2년 동안 그랬습니다) 거주하고 현지 음식에 대한 취향을 개발하지 않았다면 프라이드 치킨 외에 다른 것을 찾는 데 어려움을 겪을 수 있습니다. 서양인을 위한 조언은 아이들을 다른 문화에 대해 배울 수 있는 사원이나 유적지로 데려가십시오. 한국에 살고 있다면 유감스럽게도 놀이공원을 위해 참아야 하는 것입니다.
4,4,0,20,"This is a outdoor theme park consist of different kind of themes for children. If you would like to have fun with your children, this is one of a good choose for you. But it is a bit cold in winter.",4,would,아이들을 위한 다양한 테마로 구성된 야외테마파크입니다. 아이들과 즐거운 시간을 보내고 싶다면 좋은 선택 중 하나입니다. 하지만 겨울에는 조금 춥습니다.
5,5,1,46,"We are a military family with a 9yr old and a 3yr old. First tip - take the subway.....if you don't read anything else in this review, remember this....take the subway. It's easy, inexpensive, drops you off right at the Seoul Grand Park entrance, and you do not deal with any traffic at all. So, we took the subway, exited the station and walked about 1/2 mile to the tram station. 2,700 won later, we boarded the tram and the 2nd stop is Seoul Land (1st stop is the zoo). The tram ride is one way, it will cost you another 2,700 won to take it back. TIp #2 - pay the won and take the tram or 1/2 your day will be walking to and from the entrance. I have no idea why, and the website said we would have to pay close to 120,000 won, but they charged us 45,000 and we could ride all of the rides until the park closed. The park is dated, but for $40 for the entire family, how can you beat it? There are 3 big roller coasters, a bungey jump, Free Fall (for anyone who has ever been to a 6 flags), and a few other rides intense enough to make you want to throw your breakfast up. Tip #3 - This is very important.....If you littlest one is over 100cm, I would seriously pass on this amusement park. Our littlest one is 101cm and they measured him off prior to every single ride. Thank God he busted 100cm or else it would have been a very long, disappointing trip. We went expecting Seoul Land, not Disney, and not Busch Gardens. If you go there wanting to have a really cool afternoon with your kids, there is more than enough rides for every age group. No, it's not huge. No it's not Busch Gardens. Yes, we had a great day with our kids, spent about 7 hours at the park, with absolutely no lines, no hassle, and a very friendly staff willing to go out of their way to make it a special day. Tip #4 - If you are a Westerner, you may want to stick to the burger restaurants, but there is fried chicken, and a Turkish booth selling Kebabs and Gyros. With the subway, the tickets, the tram, lunch, snacks, drinks, and even a few toys, we paid around 100,000 total for our family of 4, no kidding. Last and final tip - Go!",5,would,"저희는 9세, 3세 아이가 있는 군인 가족입니다. 첫 번째 팁 - 지하철을 타세요....이 리뷰에서 다른 내용을 읽지 않았다면, 이것을 기억하세요....지하철을 타세요. 쉽고 저렴하며 서울대공원 입구에서 바로 내려주고 교통체증이 전혀 없습니다. 그래서 우리는 지하철을 타고 역에서 나와 트램 역까지 약 1/2마일을 걸어갔습니다. 2,700원 후에 트램을 탔는데 2번째 정류장은 서울랜드(1번째 정류장은 동물원)입니다. 트램은 편도이며 왕복 2,700원을 더 내야 합니다. 팁 #2 - 원화를 지불하고 트램을 타거나 하루의 1/2을 걸어서 입구까지 가십시오. 이유는 모르겠지만 웹사이트에서는 12만원 가까이 내야 한다고 했는데 45,000원을 청구했고 공원이 닫힐 때까지 모든 놀이기구를 탈 수 있었습니다. 공원은 오래되었지만 온 가족이 40달러에 어떻게 그것을 이길 수 있습니까? 3개의 큰 롤러코스터, 번지 점프, 자유 낙하(6개의 깃발에 가본 적이 있는 사람을 위한 것) 및 아침 식사를 포기하고 싶을 만큼 강렬한 몇 가지 놀이기구가 있습니다. 팁 #3 - 이것은 매우 중요합니다. ........막내딸이 100cm가 넘으면 이 놀이동산을 심각하게 지나칠 것입니다. 우리의 가장 작은 것은 101cm이고 모든 단일 타기 전에 그를 측정했습니다. 그가 100cm를 터트린 신에게 감사합니다. 그렇지 않으면 매우 길고 실망스러운 여행이 되었을 것입니다. 우리는 디즈니가 아니라 부시 가든이 아닌 서울 랜드를 기대하고 갔다. 아이들과 함께 정말 시원한 오후를 보내고 싶다면 모든 연령대를 위한 놀이기구가 충분합니다. 아니요, 크지 않습니다. 아니오, 부시 가든이 아닙니다. 예, 우리는 아이들과 함께 멋진 하루를 보냈고 공원에서 약 7시간을 보냈습니다. 줄도 서지 않고 번거로움도 없었고 매우 친절한 직원들이 특별한 날을 만들기 위해 기꺼이 나섰습니다. 팁 #4 - 서양인이라면 버거 레스토랑을 고수하고 싶을 수도 있지만 프라이드 치킨과 케밥과 자이로를 판매하는 터키식 부스가 있습니다. 지하철, 표, 트램, 점심, 간식, 음료수, 장난감 몇 개까지 포함해서 4인 가족 총 10만 달러 정도를 지불했습니다. 마지막이자 마지막 팁 - Go!"
6,6,2,48,"Just went there today with my 2 children aged 10 and 8. It's a pretty interesting park with an amusement park in one section, the zoo in another. Had already read the comments on the zoo and no one mentioned that entrance into the zoo required cash or a korean card. I wanted to buy a package that included the sky lift (which was awesome!) and tram and zoo entrance with my canadian credit card and they said that the zoo entrance fee could not be paid by my credit card. The tram and skylift were separate and went through ok. There was one ATM machine but it does not work with north american cards. Zoo was ok. Yes the enclosures seemed small compared to our zoos. I can't comment on the animals. We have a world renowned zoo at home and they were all doing the same thing...sleeping. We enjoyed our trip and would come back and join all the active seniors just to do the hike up the mountain! Unlike many public places in north america, the washrooms are super clean as are all the subways!",6,would,"오늘 10살과 8살의 두 자녀와 함께 거기에 갔습니다. 한 구역에는 놀이동산이 있고 다른 구역에는 동물원이 있는 꽤 흥미로운 공원입니다. 동물원에 대한 의견을 이미 읽었고 동물원에 입장하려면 현금이나 한국 카드가 필요하다고 언급한 사람은 아무도 없었습니다. 나는 내 캐나다 신용 카드로 스카이 리프트 (굉장했습니다!)와 트램 및 동물원 입구가 포함 된 패키지를 사고 싶었고 동물원 입장료를 내 신용 카드로 지불 할 수 없다고 말했습니다. 트램과 스카이 리프트가 분리되어 정상적으로 통과했습니다. ATM 기계가 하나 있었지만 북미 카드에서는 작동하지 않습니다. 동물원은 괜찮 았습니다. 예, 우리 동물원에 비해 인클로저가 작아 보였습니다. 나는 동물에 대해 논평할 수 없다. 우리 집에는 세계적으로 유명한 동물원이 있고 그들은 모두 같은 일을 하고 있었습니다...자고 있었습니다. 우리는 여행을 즐겼고 돌아와서 모든 활동적인 노인들과 함께 산을 하이킹 할 것입니다! 북미의 많은 공공 장소와 달리 화장실은 모든 지하철과 마찬가지로 매우 깨끗합니다!"
7,7,3,51,"I went to Seoul Land with my family. I think there's the amusement park part and the zoo part. We went to the zoo part. Actually we were planning to go to the amusement park but we went there by accident. Anyways, it didn't cost that much. There were many animals. It wasn't bad... I guess we had a good time.But I think I would go to the amusement park next time if I have a chance.",7,would,가족과 함께 서울랜드에 다녀왔습니다. 놀이동산 부분과 동물원 부분이 있는 것 같아요. 우리는 동물원 부분에 갔다. 사실 우리는 놀이동산에 가려고 했는데 우연히 갔다. 어쨌든 비용은 그렇게 많이 들지 않았습니다. 많은 동물들이 있었습니다. 나쁘지 않았어.. 잘 지냈나봐.하지만 다음에 기회가 된다면 놀이동산에 가보고 싶은 생각이 든다.
8,8,4,52,"we took our 5 nieces and nephews here on Oct. 28 and the place was OK, I guess. As an American that has visited Disney Resort and Six Flags, this place is of much lower quality. The rides are very dated for an amusement park. There is one roller coaster that is Six Flags Quality and the rest of the place seems to be stuck in the 70's. For western visitors, I would say this would be a giant letdown. The food available is OK, but unless you have lived in Korea for a bit(i did for two years) and developed a taste for the local food, you may have trouble finding anything other than fried chicken. My advice for Westerners, take the kids to a temple or historic site where they can learn something about another culture. If you live in Korea, sorry this is what you have to put up with for an amusement park.",8,would,우리는 10 월 28 일에 5 명의 조카와 조카를 데려 갔고 장소는 괜찮 았습니다. 디즈니 리조트와 식스 플래그를 방문한 미국인으로서 이곳은 훨씬 낮은 품질입니다. 놀이기구는 놀이 공원에 매우 오래되었습니다. Six Flags Quality인 롤러코스터가 하나 있고 나머지는 70년대에 갇힌 것 같습니다. 서양인의 경우 이것이 큰 실망이 될 것이라고 말할 것입니다. 제공되는 음식은 괜찮습니다. 하지만 한국에서 조금(저는 2년 동안 그랬습니다) 거주하고 현지 음식에 대한 취향을 개발하지 않았다면 프라이드 치킨 외에 다른 것을 찾는 데 어려움을 겪을 수 있습니다. 서양인을 위한 조언은 아이들을 다른 문화에 대해 배울 수 있는 사원이나 유적지로 데려가십시오. 한국에 살고 있다면 유감스럽게도 놀이공원을 위해 참아야 하는 것입니다.
9,9,0,32,"Because of cold weather and small number of visitor, some rides are not operated. Parade and events were not lively compare to other season",9,number,추운 날씨와 적은 인원으로 인해 일부 놀이기구는 운영되지 않습니다. 퍼레이드와 이벤트는 다른 시즌에 비해 활기가 없었습니다.
