,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,26, It is easy to search for books and purchase them and when it is difficult to find them ask the staff and they are kind and helpful ,0,staff
1,1,44, Okay the staff were a bit friendly Tendency to be late in answering a question ,1,staff
2,2,46, The best book and stationery store I have ever seen Books stationery for every taste First books are divided by subject Secondly all the staff are very friendly and helpful They will be happy to tell you where ,2,staff
3,3,65,Great selection of English books for kids Friendly and helpful staff  For stroller access theres an elevator thru the lobby entrance on the east side of the building,3,staff
4,4,77, I went to find the remaining stock to restart my piano study  I was very grateful to the staff for informing me in detail ,4,staff
5,5,94,Helpful staff It has what I need HUGE bookstore,5,staff
6,6,122,Lovely staff Make sure you give plenty of time to visit this wonderful book shop,6,staff
7,7,141, Its spacious there are lots of books and the staff are friendly A place where you will never know where time goes ,7,staff
8,8,145, I asked the staff to find the book but it was very unfriendly Im here and Im responding like I cant find it Also the books Im looking for are all sold out so even online bookstores are not enough ,8,staff
9,9,146, Its spacious big and the staff are friendly and nice The book is a bit expensive Good though ,9,staff
10,10,181, A really long visit I wanted to preorder the book but the staff made me jump 3 times It was not a long visit ,10,staff
11,11,187, There are many kinds of books and the staff are very friendly ,11,staff
12,12,189, There were a lot of different kinds of books and the staff was mostly friendly but there were some bad staff who were not the search bar was not enough it was good to have a parking lot and it was good that it ,12,staff
13,13,204, We can see all the books we want and if you have any questions ask the bookstore staff and they will kindly tell you where they are There are a lot of texts so I cant bring my kids ,13,staff
14,14,208, It is also Kyobo Bookstore but the male staff who guides the QR code at the entrance was so unfriendly and scary ,14,staff
15,15,214,"Kyobo is a chain, so there are stores all over Seoul, but the Gwanghwamun location is my favorite. They sell books and CDs, which reminds me of what the States used to have in the Borders chains, along with even more stuff. There are cafes and restaurants inside, too. There are sections for foreign languages and, depending on your language, there are likely specialty shops elsewhere that will better serve you. The English section is small, but has great editions, like Oxfords World’s Classics, at cheap prices. The literary selection tends to be canonical, but the staff also has a large section devoted to best-sellers and newly published material, most of which is non-fiction, that is a sort of Korean-American cultural filter. There are always lots of families here and people milling about, reading, gathering books, enmeshed in the written word and the real world. Take some time here, slow down, observe, read something, think a few connected thoughts, have something to eat or drink...and enjoy.  Over the past five or six years, there has been lots of renovation in the areas adjacent, particularly with high end restaurants and shops behind Kyobo and to the left. Jongno has remained the same and the Gwanghwamun Gwangjang is historical. Several years ago the Korean people protested then President Park Geun-Hye with candlelight vigils and songs on the square, every Saturday, for months. These protests began with small numbers that grew into the thousands, and arguably millions. These protests were part of the success in the removal of Park (December, 2016) and were amazing representations of the civil, non-violent assemblage of people for a cause. Democracies around the world would do well to follow in these Korean footsteps.",15,staff
16,16,227,I always make it a point to stop by and inhale the scent of new books. It's a bit short on space to sit and read but the atmosphere is cozy and the staff very helpful. Plus it's right of the square. Great location,16,staff
17,17,259,"I always make a visit to the bookstores of any city I visit, because I am keen to collect cookbooks written in English by locals. Most of these are usually not available on Amazon or other online bookstores.  Kyobo's outlet at Gwanghwamun didn't disappoint. It's large and sprawling, but most of the books are Korean, which is to be expected. As with most brick and mortar bookstores these days, they have cafes, retailers selling pens, art supplies, bags and others to provide some added attraction.  They have a respectable English cookbook collection, but also a selection of books on Korean topics in English. There were some locally written cookbooks, and they looked interesting because several of them were written by well known culinary academics. When I was there in November, they had a promotion on Japanese books and you can enjoy a discount on them. They had also put up a nice display featuring a mix of Japanese cookbooks. I really like this feature.  What I enjoyed about the bookstore was the chairs and benches they had provided within the store to allow people to browse their selections. There are staff there who speak simple English. They have a green practice of charging for carrier bags (which is good).  I'd go back there to check out the cookbooks again. Kyobo is more like Eslite in Taipei (another fabulous bookstore) in its offerings of books and other related products. Kinokuniya in Tokyo is more like the traditional bookstore with a lot more focus on providing books and less on other goods. All are great bookstores, and deserve visits by book lovers.",17,staff
18,0,75, It smells like a book and I love it Due to Corona the number of seats available has decreased ,18,number
19,1,85,Decent selection of books in English Small music section including a limited number of lps Good stop for expats,19,number
20,2,97, Burger King is so delicious these days Its great that the number of stores has increased compared to before Especially the french fries  ,20,number
