,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,371,"Ok, we were here on a Saturday night which is probably not ideal as it is very busy.  The rides are mainly for little kids, so, nothing too exciting for adults. We wanted to go on the hot air balloon ride but the queue was 2 hrs. We queued for about 1/2hr for the monorail ride but because it’s winter, half of the ride route was cancelled, so, it was a very short one.  Some nice photo ops outside at the Disney looking castle, so, make sure you go out of the building & walk around a bit.  We were lucky that there was a Christmas parade - this was the highlight of this visit.",0,probably
1,1,377,"The warmth in the indoor theme park was very welcome with the freezing cold outside. However, the indoor rides were more for smaller kids less than 12 years old probably. Very long queues on a holiday and weekend. We stayed in an AirBnB across the theme park so transportation was not a problem.",1,probably
2,2,437,"Lotte is a well-known chain in Korea, and its hotels have a somewhat formulaic uniformity. Lotte World has a rather dated feel and look - it was probably the bees knees twenty or thirty years ago, but doesn't seem to have moved with the times. The staff during my stay were impeccable - polite and efficient, if rather lacking in warmth. My double room was comfortable, functional, and equipped with the sort of items that one needs and expects in a hotel of this level, but faded. The wallpaper and carpet looked as though they should have been changed years ago, and the shower over the bath tub was a Heath-Robinson arrangement. The corridor carpets were equally in need of changing, and the space was pervaded by a musty smell, that may be a legacy of the days when smoking was common in the corridors and rooms. I didn't think much of the dining options: a Chinese place on a high floor (which I didn't try) and a buffet place on the second floor (which I did). The hotel lacks a simple coffee shop type restaurant where one can order a simple dish from a menu. There are plenty of better hotel options in Seoul.",2,probably
3,3,490,"This amusement is vertically huge, ranges from b3 to 4th floor. It can be very confusing when you first reach there. Be sure to get a copy of the map at the info counter after you enter located at 1st floor.  I entered by the south gate and arrived at the 1st floor playground for young children. They cater rides to kids below the height of 100cm and there were variety.  If you walk further towards the centre of the theme park on 1st floor, you reached the place where the carousel and viking is. There are other rides on 1st floor for older kids and adults. Most rides height requirement is about 110cm. The more thrilling ones probably above 130cm.  2nd floor leads to the outdoor theme park where most of the thrill rides are. There are also lots of cafes and restaurants on the 2nd floor indoors as well as 2 other adventure rides.  3rd floor houses another 3 more adventure rides and 4th floor is where the hot air ballon ride is.  Well it’s really crazily big and we didn’t have the time to complete all the rides as we were rushing off to the aquarium. Spent a total of 6 hrs there. Study the map, plan your time wisely and you will be able to get on most rides. Magic pass that helps skip queues save time. But sometimes the queue for magic pass can also be quite long for popular rides.  Comparatively, I prefer everland as it is an outdoor theme park and there is a zoo within the park itself. Also it is easier to locate the rides in everland.",3,probably
4,4,561,Outdoor rides were all closed. Thus the queue for the indoor rides were crazily long.  I would go again in spring or summer probably.,4,probably
5,5,745,"This is amazing place. I absolutely love it. I'd definitely go there again. If you love carousels, slides and different entertainment, you'll love it here. But be ready for long queues. I spent more time waiting in line than riding. The staff are friendly but English is a problem for the local population. And in case it's not cheap. Plus you probably will spend some money for ice cream or a sandwich, all this and more you can buy there easily. Just be sure you have enough money.",5,probably
6,6,757,"This indoor theme park would probably be really enjoyable for children under 10 and their parents. As two adults, we found majority of the rides quite tame. The rides that looked like they would be more appropriate for us had massive queues of over 2 hours (on a weekday) and the magic passes had all been used. We used the discount coupon from the airport bus ticket but it still was an expensive day due to the limited appropriate rides.",6,probably
7,7,790,"We came here on our recent visit to Seoul. The place is on the expensive side even for us American (approx $250USD for 2 adults and 2 children under 5-the price incl all rides) but we spent a whole day in there and my kids are happy. We were lucky that the lines weren't terribly long. Only the balloon ride took about 40 mins wait, the rest probably 5-10 mins. All the rides are well taken care of, super clean and the staff is friendly. Plenty of foods nearby and they are not that expensive. We got lost trying to find this place, it was pretty long walk from the station. Their Xmas parade was a hit with my kids. The parade was even better at night time. We didn't try the Ice Skating ring ourselves but they looked wonderful. Try to come here with a tour company because they will be able to get you discounted tickets.",7,probably
8,8,808,"Hi!  Lotte world was a last minute decision because we were bored in Seoul after being there for 10 days. And I have to say it was a well spent day:) it is easily accessible by train to jamsil! I went on a Monday and the queue was not too long, probably a 15mins average waiting time! I went from 11am to 6pm and I managed to ride almost all the rides.  Heads up first, for those who love crazy scary rides, this probably will not satisfy you 100%. However, for those like me, who enjoy a moderate level of fear rides, this will be an enjoyable trip! They do have one roller coaster that was said to be the scariest, but I didn't try it so I can't comment. However judging by the speed, loops I saw and the screams I heard, it should be satisfying for any fear-seekers.  The coolest part about this park was that it was indoors and outdoors. I loved the outdoors more cause it had more fun rides there! There was a ride I loved so much I went on it for at least 3 times. Furthermore, they had those cycle sea ducks I always see on korean variety shows that was free!  Overall this was one of the better theme parks I've been! Should give it a shot^^",8,probably
9,9,813,"Walking in I was delighted, walking out I was so glad to leave. We went on a Tuesday, got there at 11 (place opened at 9:30), went to the Comet, located in the outdoor section of the park (Magic) which we thought would be like Space Mountain from what I saw online. Wait time said 80 minutes. I would estimate we waited for 2 hours before we got on the actual ride, which was vaguely Space-Mountain-ish and mildly entertaining, but certainly not worth the wait. It was hot, so we went back inside to try to find another ride. All the ""thrill"" (coaster-type) rides listed a 120 minutes wait, which probably meant 2.5 hours. We wandered around inside a bit more (it is pretty cool to look at - they cram so much inside, including people!) until we decided to bail. A complete waste of money. Tried to be Disney but failed in every way. Disinterested employees, rides with too little capacity, signs ineffective (no lie, it took us 25 minutes to find the way back out to the street!). If you must go, don't pay the all-inclusive ticket (48,000 won for adults, barely cheaper for kids), pay the cheaper ticket price, wander around and pay for rides as you go (supposedly you have this option), if you can actually get on any.",9,probably
10,10,822,"When we were in Seoul we wanted to do an amusement park. We were told there were two good ones and this one was better for younger kids. Since we had an 8 year old that enjoys roller coasters we thought it'd be better to do this one and if we came back in the future to do the other park. We had a great time here.  We took the subway and it was very easy to walk there from the station. This park is about 2/3 inside and 1/3 outside. We did most of the inside and only a few of the outside, as it was raining and when it's wet they close the outdoor coasters. They did open them in the afternoon but not all and we didn't get to do everything.  Inside there are 4 floors. On the top is an Egyptian ride we liked probably best of all with lots of cool replicas and stuff, and a hot air balloon ride which went around the entire inside part. It was a cool view and there was a special tunnel part but the wait was crazy long!  On the 3rd floor was the monorail but it was closed because of the rain. And another ride called Jungle Adventure. The 2nd floor has a fast roller coaster and bumper cars.  The 1st floor had most of the rides from a swinging boat, a water ride with a big splash, carousel, and a ride with a 360 on it. There was a ride called Drunken Basket which was like the mad hatter tea cups at Disneyland.  Below the 1st floor you could see a big ice skating rink, but we did not go down there. I cost extra.  Outside was one of those ride where you site in a big ring around a tower that goes all the way to the top and then drops you (I hate those) in your seat and goes partially back up and does it again a few times. There were two coasters that were closed, a walk through ghost house, a ferris wheel, magic show and more. One part of the haunted house scared/upset my son a little bit with a cat becoming a ghost. There was also a big castle you could walk through outside.  There were several shows/performances with people in costumes. They seemed geared toward little (under 6 crowd) on the first floor. There was a tram that came through and there were ladies hanging off the side like Vegas show girls, very sparkly with exotic outfits. The park has two main mascots, Lotty and Lorry and their faces and likeness were on lots of things throughout the park. There were some animatronics.  They park did have a fast pass type thing called Magic Pass to get a ticket to go to the front of the line at a later time. You constantly had to show your admission ticket to ride things since they have an all day unlimited and a like 10 ride pass. I lost mine but they didn't make a big deal about replacing it, though they said I only get one replacement.  There were a lot of food options with a good amount of variety actually. You could get Korean food, hotdogs, pizza, burgers, Chinese, kebabs, and more. The food we got wasn't amazing but it wasn't bad either.  There were lots of shops to buy things at and we bought some cat ear headbands that my son loved so much he wore the rest of our trip in Korea.  Our visit was such a very fun day. If you have kids under 13, this is a great place to go!",10,probably
