,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,12,Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show ,0,wait
1,1,27,Quite expensive To get there u have to wait almost 1 hour To go down maybe much longer,1,wait
2,2,47, It took a long time to wait but I decided to go just to see the scenery ,2,wait
3,3,55, There is a lot to see and the traffic is good but it is good for mental health to give up food because the wait is too long ,3,wait
4,4,92, Great place to eat and play There is a long wait at the restaurant on weekends ,4,wait
5,5,144,Very small and filled with 12h long queues of people for each ride where one ride takes about 30s to 1min so in case of visiting its better to pay extra for vip entrance not to waste time waiting in the qq,5,wait
6,6,189, I made a reservation in advance and there was no wait The hamburger cake is very juicy and the truffle flavor of the french fries is very good ,6,wait
7,7,204, We were there in the evening and therefore didnt have to wait and got discounted tickets A visit at night has a completely different vibe Seeing the city at night is breathtaking ,7,wait
8,8,221, I went to see the scenery at sunset with my family However I missed the sunset because I was waiting for the observatory elevator to see the planned exhibits but the night view is nice Its a good memory on a ,8,wait
9,9,245, Worth a visit once The section where the bottom is transparent is quite dizzying I was worried that I had to wait for an hour to get on the elevator but I was ,9,wait
10,10,246, I had a great time with my family There is a lot to see a lot of people and the waiting time is long in a long line ,10,wait
11,11,268,"Magnificent views across Seoul. Currently, still being influenced by Covid, there were no waiting times at all. Elevators bring you in lightning speed to the 119th(?) floor. From there a video show starts and ends after ~1 minute with a breathtaking view over Seoul. Afterwards you can stroll around freely on all 5 levels above, including a small cafe with reasonably priced coffee and other drinks. Even a small shop with gifts / souvenirs is available, if you are into those kind of things.",11,wait
12,12,275,"The Mall itself is huge and impressive, therefore i´d give 4 stars. Together with the tower actually only 2 stars. Even you buy the ticket in advance there are long waiting cues (over 1,5 hours). Then on top there are just some small cafes (nothing special) and souvenir shops. The view is nice but really not outstanding. Only good thing there is the short elevator drive and enjoying a cocktail on top.",12,wait
13,13,279,"the highest tower in Korea, you can see Seoul from the top. it really deserve a visit.  however, consider the queue on the elevator to the top floor. I suggest that you just go after opening time in the early morning so you can avoid the waiting time.  I really liked the gift shop on the top floor.",13,wait
14,14,289,"Incredible views, no doubt. However, zero information about the building. A 2 hour wait in a boiling, non air conditioned room will suck the excitement out of the activity. Nothing to do upstairs and the terrace is totally closed off so it’s not any more interesting than looking from the window.",14,wait
15,15,295,"We were very excited to visit Lotte World and Lotte Mall, we got Lotte world tickets before they open to void the long lines and it worked, we were able to go to different rides without waiting for long time, definitely it is a great place to visit with kids. Lotte Mall, was the most beautiful place I ever visit!!",15,wait
16,16,299,"I am puzzled by the review I just read. I thought this was a great observation deck, and they spoke English very well. They answered all of my questions. And most observation decks I have been to have very few elevators. And some sort of wait. It took all of 10 minutes to get to the top for us, and it started out with a bang. The digital wall reveal is amazing. The outside deck was scary fun. All of the electronic assists, in letting you know what you are looking at was great tech  A bit on the pricier side, but still cheaper than The Empire State Building or 30 Rock.",16,wait
17,17,300,"1. the mall is like any big mall in Korea, nothing special I think  2. my review is about the tower: positive: - outstanding View from the 117th to 121th floor, about 500m -> for that 1 point  negative: - expensive, adult 26000 Won per person - it took more than 70 min to get upstairs, all the procedures like security scan, taking photos to sell them later, just endless waiting in several rooms without a window, the air condition was turned on in stand by modus, there was just simply not enough refreshing cool air coming out of the aircon, nobody of the staff cared, you just were pushed through all the rooms like a herd of sheep There were no information about the waiting time. If i had knew that then i would have paid the fast check in ticket which costs 50000 Won.This is outrageous expensive but in retrospect worth it. Of course first of all you must afford this price. Everyone who is able to do it should do it because when you stand in the queue for about 50 min and you see the fast tracker who paid more because they „knew“ and they are passing through the middle line to the elevator then the damn legs are hurting even more and you are still not in the elevator. Because they skip the queue, the waiting people have to wait longer, maybe your spot in the elevator was taken by one of the high payers. - show room was closed - the outside terrace was closed - the service and the staff processes have to optimize a lot I think - started at the end of the queue at 16.30, to see the Sunset. We arrived round about 17.45 in the 118th floor. Then it was dark night. The windows are reflecting the inside light so the pictures you make are always with co-displayed with people around you - downstairs same procedure: another QUEUE, the second one. A little bit faster downstairs, round about 45min, but still too much time lost. The sightviewing floors are big enough, there was no hustle, so the main problem was the ONE and ONLY elevator (of obviously 2) which was opened for the mass of visitors. - the 2 walk with bottom glas view are not that impressive because you know you are standing on glas, all the floor glasses are full of scratches - in the queue: NO SITTING  Conclusion: Lack of process optimization. Great view but just go there when you have enough time and air in your lungs or enough money in your pocket to buy you a fast lane ticket! Go there early enough to see the city by daylight and take some pictures without reflecting of the night indoor lights. Prepare it to the Eiffel Tower in Paris it isnt that irritating like in Lotte Tower or the Empire State Building in N.Y., there are timeslots there and you can buy the tickets simply online, in english! My opinion!  To the operators: this stay (2019) in Seoul we decided to stay at Park Hyatt Hotel but we had also considered the Signiel Hotel. The best view was the most important factor in this years hotel choice. Next year, i do travel to Korea once a year because of my family, it won’t be the Signiel again. For sure!",17,wait
18,18,320,"We bought our tickets on the app Klook and it was about $50 a person for the amazing combo deal for Lotte World, Lotte Tower and Lotte Aquarium! We noticed that for Lotte World and Lotte Tower alone the tickets for those single attractions were close to $45. We filled an entire day with these Lotte attractions and had so much fun! The Lotte World Tower was a highlight of our trip! We ate at the 123 Lounge on the 123rd floor, it was a little pricey but what you would expect for a high end bar/restaurant with a view like that! Lotte World was almost like a smaller disney with the restaurants, rides, indoor ice rink and gift shops. I can imagine this would be a great place for kids, but even as two adults we had a blast! We went on a Saturday so it was very crowded, I would suggest going on a school day because we saw one of the lines for a ride reached a 2 hour wait with a line that wrapped around the Magic Island zone. Other than that it was a pretty great experience!",18,wait
