,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,45,Went on spring season Weather was still chill but still lot of people will be walking eating or having a picnic in the grass of the park If you walk enough you may find a Zoo free entry which I didnt like much cuz I can see the trauma that the animals have by being in a small place The park good the zoo not so much,0,didnt
1,1,178, I went in the second week of January Its a cold day so I didnt see monkeys or desert animals at the zoo and there were all animals in the wild beasts I came here to heal in the city center ,1,didnt
2,2,273, There were a lot of people so I didnt ride much The quarantine rules are not in place but the safety guarantee was good ,2,didnt
3,3,396,the park is very big that children can spend whole day . there also some winter sport for children from dec to march. small zoo and children museum inside. there is an entry fees for the museum but we didnt visit because not enough time.,3,didnt
4,0,22, Although the weather was hot we had so much fun at the zoo and amusement park There was a fountain and plenty of places to sit and eat ,4,much
5,1,25, Animals are also gathered in one place so its nice to be able to see lions tigers elephants etc without walking much ,5,much
6,2,33, I waited a long time but it was so much fun There is also a zoo ,6,much
7,3,45,Went on spring season Weather was still chill but still lot of people will be walking eating or having a picnic in the grass of the park If you walk enough you may find a Zoo free entry which I didnt like much cuz I can see the trauma that the animals have by being in a small place The park good the zoo not so much,7,much
8,4,58, It was so much fun and it was so cool to see the fountain  ,8,much
9,5,96, About 10 rides The line is long so if you dont go early in the morning you can cut it off with 35 tickets Even if the queue is long it is much shorter than Everland or ,9,much
10,6,111, I went to Childrens Grand Park to see flowers but I only came here after peoplewatching The rides are so much fun ,10,much
11,7,172,It was much better than I thought cuz it was free,11,much
12,8,199, Its size is not comparable to Seoul Grand Park but it was nice to see animals such as kokiri tigers and lions much closer ,12,much
13,9,273, There were a lot of people so I didnt ride much The quarantine rules are not in place but the safety guarantee was good ,13,much
14,10,285,"We went with our 20month old toddler and really enjoyed the whole day there. It's a huge park with outdoor and indoor playground. Probably because we went on a weekday, the whole park was very quiet. Entrance to the main park is free, but certain attractions charge a fee. Key highlights 1) best thing about this place is the Seoul Children's Museum. There's an entrance fee but it's not expensive. They also allow u to exit and re-enter on the same day. There are 4 storeys catering to different children age groups and the set up on each floor is very impressive, especially the water play on level 3! I think it's fun for all kids from toddlers to teens. 2) catch the animal show called Anistory featuring many types of animals including seals, birds, cats, monkey etc. Need to pay for entry though. It's quite entertaining. Even though we didn't understand the language, we still enjoyed it very much. 3) the park is massive, great if u like outdoor walks. There's a huge water fountain show near the Seoul Children's Museum that's quite impressive too.  Overall a nice destination that offers both indoor and outdoor experiences. I didn't like the mini zoo though. Each enclosure was very small and the animals looked a bit depressed. I wouldn't recommend if your only objective is to visit the zoo.",14,much
15,11,286,"This place is a hidden gem and not many tourists visit this park. Very nice, clean and spacious park with lots to see like gardens, playground & mini-zoo. Kids would definitely love this place. The mini-zoo is a little sad as it's under-maintained and some animals look sad in their enclosures.  Plus point: Nice, clean and spacious park. Free entry except for the amusement park section. Not crowded!  Negative: Somewhat under-maintained. Has the potential to be much better",15,much
16,12,288,"Information found online about the Children’s Grand Park can sometimes be sketchy and inconsistent.  I hope that the following will provide a better picture for those planning to visit the park. I have also attached a picture of the park map that I will refer to below.  The park can be accessible by 2 subway stations.  The main gate (#1 on map) is accessible easily by the Children's Grand Park Station on Line 7.  There is a rear gate (#36 on map) that is accessible by the Achasan Station on Line 5.  The park has no entrance fee, except for the amusement park section.  My suggestion is that children below 14 yrs will appreciate the park.  I brought a tween son, and 2 pre-school kids to the park.  All three enjoyed the amusement park (#38 on map), which is closer to the rear gate. The amusement park had rides catering to pre-school kids to tweens. Do note there are some rides that have a 120cm height requirement. Rides such as the Viking, Dropzone and Roller coaster are generally adapted for tweens. For those a little younger, there are bumper cars and spinning saucers that are children friendly. However, this place would not be recommended for toddlers. A cafeteria is found within the amusement park serving traditional Korean foods and burgers. Nothing to shout about but it satisfies the tummy.  Amusement park entrance fees depends on the type of ticket you purchase. Tickets are available in single ride, 5 rides, 10 rides and unlimited rides options.  For the 5 ride option, kids paid 16,000 won. Adults paid 19,000 for the same ticket.  Toddlers and pre-school kids should check out the playground (#12 on map) with wet play and dry obstacle options. Bring your toys for sand play if you wish.  The other attraction we tried was the zoo – a mini zoo at that. We saw an elephant, snakes, birds and baboons. A couple of macaws looked like they were suffering from a disease that caused balding on their body. The kids enjoyed the zoo but soon lost interest in it once they stepped out of the zoo.  Next to the zoo is a pavilion which sells snacks (#34 on map) like ice-cream, corn dogs and cold drinks – a great respite from the heat.  2 attractions that we did not visit – the children’s museum (#46 on map) and Kid’s Auto Park (#44 on map) would probably suit school going kids.  Directions:  For the museum, and auto park, use the main gate.  For the amusement park, use the rear gate.  The zoo is in the middle of the park and are equidistant from either gates.  In summary, this park is accessible by 2 subway lines. It provides a place for kids to be themselves and preserves the sanity of parents who want kids to run wild and not bother them for too much over a couple of hours. School going children will probably benefit the most out of a half day excursion to this park.",16,much
17,13,307,"This is the BEST, MOST AWESOME, CLEANEST, WELL-MAINTAIINED, museum for kids. My toddler 23months wnjoyed the toddlers area - crawling, climbing, sliding, and pretend house play. My 12 and 7 years old enjoyed the water play area, construction area, the wheel chair experience, digital art, and so much more. We stayed 10am to 4pm, and they still can't get enough. It was really a fun fun day.",17,much
18,14,316,"The children's museum was such an amazing place for kids. One could easily spend the whole day at the museum and the park. Be prepared to spend more than 3 hours here if you bring your kids to the museum because there's just so much activities for them to do. Ticket were very reasonably priced, which is a huge bonus point!",18,much
19,15,329,"The place is big... if you have young children, walking from one end to another is a challenge.  2-3 playgrounds. One decent sized amusement park with a range of rides.  The children's museum is not expensive but is packed with 4 floors of displays and activities. It is similar to the children's museum in Ottawa. There is enough English signage on the displays.  We went in march so weather was still chilly and the foliage was bare. It would be so much better in spring/summer months!!",19,much
20,16,331,"My 4 year old boy loved it, did not want to leave, and says he wants to fly 8 hours to go back there. Tomorrow.  So the rating I gave here refers purely to the Museum, and not to the park.  This Museum is a very interactive museum designed for young children, probably best for those between 4-7. Spread over 4 floors, to the kids, it will be 99% play and 1% learning. There are explanations in English as well as Korean, but I doubt if the kids are going to read these. Straight to the fun.  We had originally allocated one day to cover both the Children's Grand Park and the Seoul Children's Museum, which share a compound. During winter, half a day in the Park (free admission; pay for specific rides) is sufficient. But as mentioned earlier, half a day for the Museum -- at least to my kid -- was not enough.  To note, there is a small café on the ground floor near the entrance. But to really have a meal, the little mall across the road is probably more suitable.  There is an admission charge to enter this Museum.  For parents and older kids, there isn't much (else) to do.  One last point: this Museum can be accessed from the ""Children's Grand Park"" subway station.",20,much
21,17,339,"The entire park is a good place for kids to roam. There are at least two playgrounds where kids can use the facilities. We paid 500won for free play of traditional Korean games and also arcade games at the stage area (just near the entrance).  For the museum, it will be worthwhile to go in earlier so that your kids can have more time to explore all the stations. The driving centre was closed when we went there at about 3 pm on a Saturday.  There is a lack of restaurants around so it will be good to pre pack some food in case your kids are hungry. The only food place we can get is the small cafeteria at the museum.  Most of the zoo enclosures were closed or empty (probably due to winter and the bird flu season) so do not expect to see much from the zoo.",21,much
22,18,343,My child is six and wanted to spend most of his time at the amusement rides. However he was deemed too short to ride most even with an adult - and even the dodgems which was a surprise. So the rides were limited. We also tried to go to a part of the park where kids can drive little cars but it was all shut up and didn't look to be used much. We didn't get to the zoo part.,22,much
23,19,348,"We are foreigners living in Seoul and loved this gem. It's very easy to get to from line 4 on the subway. We came here to go to the zoo but we found much more here. There is a great place for small kids to play indoors but that can be pricey. I would avoid coming here on Jr sunny days though, the walking can be brutal.",23,much
24,20,363,Went there with a friend and had so much fun! It reminded me of my childhood and made me feel like a child again. This park is so big that even though i spend there whole day i still could see much more on my next visit.,24,much
