,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,265,I try to avoid war type memorials but this one turned out to be probably the best museum in Seoul Really good mostly unbiased review of the wars on the Korean Peninsula Enough english to keep it interesting The art pieces were particularly well though out and you cant beat the price free Id argue this is a must visit while in Korea,0,probably
1,1,320,We visited this with a South Korean friend but missed the English tour  nevertheless its an absolute mustsee for you to understand the recent history and current climate of this land We would love to return and join the English tour but lots of the signs and videos are in English so Im guessing we probably didnt miss too much information Such a poignantly expressed display we were deeply moved and touched by the depth of emotion behind the presentations No spoilers just make it a point to go and spend a few hours there  well worth your time,1,probably
2,2,421,I went the day after Chinese New Year but it was closed so I was able to go for a couple hours before my flight home The museum was very informative and provided a great insight into the history and how the war started and the role of the UN forces Upon entering I was greeted by what turned out to be an English speaking guide He was very informative but I had to part and rush through the remaining exhibits to catch my flight out Otherwise Id probably spend another couple hours there Highly recommended,2,probably
3,3,500,Its probably the best war memorial I have ever visited in any city or country The eye for detail is exceptional with a huge collection of war memories including a World War II fighter jet  Highly recommended and dont miss this place if you are in Seoul,3,probably
4,4,618,A very poignant and somber experience will hit anyone who enters this building as Korea tell their story about the wars that have inflicted the country including Japanese colonisation and the Korea War which inevitably led to the spitting of the country into North and South Korea and the countrys that came to South Koreas side in their time of need The museum is very big and will probably take most people 3 to 4 hours to get round entirely but there are some not worthy exhibitions including the donated articles and relics and the Korea War segment and all the vehicles outside The museum is free  there is free WiFi and there is a cafe for anyone who cant stand a 3 hour museum visit,4,probably
5,5,726,This is probably one of the best war museums I have seen in my life Great information provided and excellent exhibits Take your time to visit it ,5,probably
6,6,798,my friends and i came across a statue of brothers in one of the souvenir stores at the DMZ and googled to find out more about the background it brought us to the War Memorial of Korea and i must say its a great choice we made to visit it the next day  im not sure if its a permanent exhibition we visited end Oct and outside there were airplanes warships and tanks model replicas on display you can view a 7 min show depicting the confrontation between South and North in Year 2002 resulting in the death of 6 South Korean officers the show only starts with minimum audience of 5 but the lady staff was kind to let us view it even though we were only 3 if you watched it you can better understand the exhibitions held in the war memorial building  there is a shooting simulation game in the Korean history exhibition if there are students around you may get a chance to try it my friends did with a bunch of school students i tried later on but the staff rejected me and pointed to the students only signboard  inside you can view a 3D clip too initially they refused to start the clip as i was the only one waiting there but to my surprise they allow a caucasian couple to enter so unless you are caucasian or you can speak conversational korean you probably will be ignored i followed the couple in and a male staff wearing a suit manager maybe went to call for other visitors around a korean elderly tour group to join in  was told to fasten our seatbelts so we thought its those 4D shows where your chairs can rock but to our disappointment nothing happened the 3D clip was just a pilots view on a fighter jet NOT WORTH VIEWING  however there are many interactive screens and many wellmade replicas of various incidents and information on South Koreas involvement in the Worlds war assistance very educational  theres a cafe in the war memorial building serve desserts and waffles the souvenir shop sells similar items to those sold in DMZ  if you are into history this is the place for you,6,probably
7,7,840,To get here get off at Samgakji and take exit 12 there are signs Walk straight when you get to the street and the museum will be on your left  This museum is very large It as it typical of every country that has a museum of this type presents a nationalistic interpretation of the Korean War focusing on the heroism or the South Korea fighters as well as the international troops there is an entire wing devoted to the UN participant countries It has many maps and interactive touch screen displays that provide lots of useful information You will learn about the entire history of the war including politics and battles There are also lots of materials donated from soldiers so you get to see what items many people had with them during the fighting  There is also an extensive number of displays and monuments outside including a variety of military vehicles planes and boats used in the war  If you actually want to see everything outside and see every exhibit inside thoroughly as in reading most everything not just walking through quickly then you probably need more than 3 hours Otherwise you should probably plan for 90 minutes or 2 hours,7,probably
8,8,859,We got there just in time and joined the English speaking tour Our guide was very informative and it lasted about an hour After that we explored the museum We were probably there for about 4 hours,8,probably
9,9,955,The Korea War Memorial is an enormous place with a large War Museum built around it  Pros 1 If you are at all interested in the Korean War or how it led to modern South Korea this is the ONE place you should visit There is a fascinating audiovisual exhibition on the Korean War just inside the main building on the left And simply put It will explain EVERYTHING you could possibly want to know about the Korean War Youll understand How it came to happen What happened And from first principles youll understand very clearly how this has led to the modern South Korea of today Furthermore by understanding the background youll understand very clearly the current context behind the NorthSouth Korean situation And possibly its future ramifications  2 There is a wonderful outdoor exhibition as well demonstrating US and ExUSSR and Chinese military hardware from the mid 1940s onwards If you can think of a tank missile helicopter aircraft antiaircraft gun its probably here This is probably the SINGLE and most COMPREHENSIVE collection of postworld war 2 hardware in Asia In my humble opinion the only place youre going to find better is probably the Smithsonian Washington DC USA or the Imperial War Museum London and Duxford Cambridgeshire England  3 If you are interested in middleages Korea the basement is quite interesting There is a lovely replica of a Turtle Ship Geobukseon in the basement Worth visiting  Cons 1 You need to walk a little bit to get to the museum It took me about 510 minutes to find it The nearest subway station is Samgakji or Namyeong Stations 2 The military hardware is outdoors It started raining when I visited Thus I suggest you bring an umbrella or appropriate waterproofoutdoor clothes if you intend to spend much time looking at the outdoors military collection  In summary The War Memorial of Korea is probably the BEST War Museum in the whole of Asia You will not find a larger or better collection of military hardware in Asia To find better youll have to go to Washington DC in the USA or Duxford Cambridgeshire England  I spent 3 hours at the Korean War Memorial And only saw 2530 of the exhibits on offer This place is VAST You could easily spend the whole day here  To conclude if you are a family And you have a boy in your group below the age of 21 Just GO TO THE WAR MEMORIAL of Korea Your son will have more fun that the REST of your trip to Korea put together,9,probably
