,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,6, The size of the shopping mall is huge enough to be considered one of the best shopping malls in Seoul From movie theaters and department stores to luxury boutiques to fourstar hotels there is really nothing ,0,stores
1,1,11,"The mall itself in the picture is a strait forward western-type mall with name-brand stores, a food court, and escalators. But the interesting part is underground. Tons of redundant little stalls with much the same merchandise, but search around and you will find a few unique and interesting things you might buy. It goes on for what must be a few blocks, with main stores above including one of their big department stores, plus a cinema.",1,stores
2,2,17,"Times Square Mall is around 400m walk from the Yeongdeungpo Station. The mall houses the Shinsegae department store, Kyobo bookstore, E-mart supermarket, stores like Zara, North Face etc. This is one of the filming locations for the K-drama The Last Empress.",2,stores
3,3,24,"We went there a Wednesday afternoon like 3 pm and it was full. There are slot of stores, convenience stores so it can be practical.",3,stores
4,4,33,This mall situated in a busiest part of Seoul and also a quite a big one. There are lot of branded goods shops here with tax free option to serve foreign travellers. It's a huge mall and worth going around with lot of eateries. It's got a departmental stores also,4,stores
5,5,37,"If you've been to malls in Asia, this is your little nicer than most malls. But it's still a mall. There was a driving interactive 4x4 racing video game that I did with my son. He drove and thought it was cool. Descent selection of food and a pretty good movie theater. Other than that there are a lot of over priced international branded stores.",5,stores
6,6,44,"We went to the mall at 7 P.M The mall closed at 10 P.M  I like the bookstore there, it has some unique things. But it is pricy. Also there is a store named ""Muji"" sell things for traveler . There are several restaurants serve different kind of foods. Other stores such as normal mall (Zara, H.M, els)  This mall is pricy at it all.",6,stores
7,7,45,"I enjoyed the atrium space of the mall, but wife enjoyed the shopping. Lots of stores including a Shinsegae department store. They also had a cool electronics store. They have high end to some cheaper stores as well. Although it is a bit out of the way.",7,stores
8,8,50,"If you're familiar with malls, you'll be familiar with Times Square Mall. It's a big mall with a lot of local Korean and Western brands. When I went, there were even pop-up stores on the first floor. It's nice to check out but if you're looking for local goods, check out other places like Insadong or Bokchon.",8,stores
9,9,51,"Read about this new largest mall in Seoul, so decided to check it out. It took about 25 minutes by Korea Rail/Metro to get there from City Hall station. It's main anchor tenant is Shisegae and that is the first building you notice across the road when you step out of the Yeongdeungpo station. It is not directly connected (at least I could not find the underground link) so it might be difficult to get to and from the station when it rains.  It also has a large ecopark whe you can sit in fine weather to have a quick lunch. I loved the huge Emart store spread across two floors in the basement, which sells everything from groceries and beers to car accessories and home linens, and everything in between it seems.  There are also the usual brand names you can find in any mall, such as LV and Coach, as well as high street stores like Charles & Keith and H&M. If you are hungry, you can have Mexican food at South of the border, burgers from Lotteria and KFC, Japanese ramen and Viet noodles, and many more.  I enjoyed visiting the pet and flower shops at the end close to Emart, where there were several puppies for sale.  As mentioned before, it is quite a distance from town, but you can make a day of it by exploring the streets of Yeongdeungpo anto see how the locals go about their daily routines.",9,stores
10,10,52,"This place has everything you could ask for. There's a CGV movie theater, a bookstore, various clothing stores, shoe stores, jewelry stores, places for high end shoppers, Starbucks, plenty of food options: food court (Korean food), Le Saigon (Vietnamese), Korean chicken dish (Jimdak or 찜닭), Chinese, Abiko Curry (Japanese curry), Saboten (Japanese pork cutlet), On the Border (Mexican), Seven Springs (buffet with less calories and has veggie options), etc.  It's very crowded on weekends but not quite as bad as it used to be. If you go on a weekday, you'll avoid the crowds. Check out the roof on top and enjoy the view.",10,stores
11,11,55,A huge mall with so many shops. Lots of restaurants to choose from also. You could spend a few hours just wandering around visiting the many fine stores. The variety of restaurants is endless. I personally liked the Vietnamese restaurants.,11,stores
12,12,65,The mall was really big. I think it had at least eight floors to it. It had a lot of restaurants and stores. I don't think i even saw ten percent of the mall.,12,stores
13,13,71,"Nice modern indoor shopping with a variety of stores and restaurants. Although prices are high, there is a large bookstore that I enjoy as well as an E-Mart (similar to Wal-Mart) with groceries and the upscale department store Shinsegae. There are many Asian restaurants along with an On the Border (Mexican chain), Molecole (Italian), and Seven Springs (healthier food with a buffet).",13,stores
14,14,74,Nice mall 400m from Mullae station line 2 Seoul subway. you can find famous signature stores like Louis Vuitton & etc. foreign and local stores can also be seen. staff in this mall are more fluent in English.,14,stores
15,15,76,"This review is designed for people who come from places like my husband and I (Aus and NA), may not apply to Europe or UK, and I hope others benefit as well.  Imports of US goods with US branding are considered status items here. They are 120-150% more expensive than the US, and even expensive by Aus standards. My friends tell me this is normal UK pricing or cheaper. Times Square is designed to feel exactly like an American (indoor) mall. I go there sometimes to feel like I am in the West, but I don't by things, because I can see exactly what they cost back home online. However, the space is nice and it's good to feel like I could be back home sometimes. If you live here, it can be a good place to get home products that are better than usual Korean department stores, but less expensive than the high end department stores (I won't name them, but if you live here, you know which is which). The fifth floor is high end restaurants. the lowest basement has common Korean shops. First floor is the super expensive western status stores. and more mall like stores are sandwiched in between. Has a cinema and On the Border Tex-Mex restaurant. We've been a few times in a few years.",15,stores
16,0,10,"Huge mall near Yeongdeungpo Station (Line 1). Signage to get from the Station to the Mall is a little tricky - Aim first for the Yeongdeungpo Underground Shopping Mall, then the entrance for Times Square Mall is a a couple of hundred meters along on the left hand side. You enter the mall at gate 10. The mall itself has everything - department store, supermarket (HUGE!), premium brand apparel, jewelry, sports, etc. reasonably well organised. Lots of coffee shops, eateries and restaurants, as well as cinemas and entertainment zones. Good place to spend the afternoon, especially if the weather outside is inclement.",16,special
17,1,31,"Times Square is one gigantic mall. It’s a good place for you to stroll around if you want to get away from the heat of the sun especially in summer. It has a lot of shops ranging from average to even high-end ones. Moreover, you will also not get hungry in this mall because there are a lot of restaurants and cafes to choose from. Also, their food court has a good range of food to choose from which caters to customers who are on a budget. So don’t be afraid to come into this mall because they have affordable picks to choose from. And speaking of affordable picks, Time Square is also connected to E-Mart which is one of the biggest supermarkets in the country. This is the perfect place for you to go gift shopping on snacks and food because they sell them in affordable prices, they also have wholesale items which means cheaper price too, and they often have items on promotion like buy 1 take 1 items.",17,special
18,2,63,"I have been to this mall every time I have visited Seoul (3x now) and while I enjoy the selection the mall has to offer (mostly mainstream brands like Muji, Uniqlo, Zara etc), you'd probably do better price wise in Myeondong/Dongdaemun/Gasan Digital Complex, especially if you're looking for Korean fashion. That being said, this mall is huge and you could easily spend a day here. It is quite a way from Myeongdong (where I usually stay when I visit Seoul), so you might want to take that into consideration if you have time constraints. Also, if you go to the food court, it is self service. That is, you order from a group of cashiers in the back, pay, and then you get a buzzer where you then go to the appropriate vendor to pick up your food. At the time, I went, they didn't have English menus, so I had to take a picture of what I wanted and then show it to the cashier. Also, I noticed August tends to be a big sale month and that there was a big event for SPAO (leading Korean clothing chain) selling clothes at bargain prices just outside the mall. I do not know if this is a regular event, but probably something to keep in mind if you love their clothing.",18,special
19,3,75,"Nothing special here, is well outside the center of Seoul. If your close by is worth a visit but otherwise stick to Myeongdong mega shopping area is central Seoul",19,special
20,0,9, Yeongdeungpos largest shopping mall with high parking difficulty on weekends ,20,high
21,1,25,Very nice mall surrounding Courtyard Marriott. Emart below is great place to shop for groceries during your stay. Lots of other high end shopping options. Very good food options on F5.,21,high
22,2,29,"One of the biggest mall in the city, a full fledged lifestyle complex with shops, entertainment, restaurants, supermarket and world class CGV cinema (world largest screen!). From luxury brands of o high-end shops, include also various leasure spaces, overall an excellent place to spend the day 👍",22,high
23,3,31,"Times Square is one gigantic mall. It’s a good place for you to stroll around if you want to get away from the heat of the sun especially in summer. It has a lot of shops ranging from average to even high-end ones. Moreover, you will also not get hungry in this mall because there are a lot of restaurants and cafes to choose from. Also, their food court has a good range of food to choose from which caters to customers who are on a budget. So don’t be afraid to come into this mall because they have affordable picks to choose from. And speaking of affordable picks, Time Square is also connected to E-Mart which is one of the biggest supermarkets in the country. This is the perfect place for you to go gift shopping on snacks and food because they sell them in affordable prices, they also have wholesale items which means cheaper price too, and they often have items on promotion like buy 1 take 1 items.",23,high
24,4,34,If you're staying in the heart of the city in Seoul don't go to this mall go to the CoEx Mall. This mall had a higher rating and it took 40 minutes to get here by taxi 😢 it was definitely overrated and I couldn't believe I had almost leave the city to get here.,24,high
25,5,45,"I enjoyed the atrium space of the mall, but wife enjoyed the shopping. Lots of stores including a Shinsegae department store. They also had a cool electronics store. They have high end to some cheaper stores as well. Although it is a bit out of the way.",25,high
26,6,46,Impressively sized mall worth a look if you are in the area. Wide variety from high end luxury to bargain basement eMart (located in the basement). Easy to get lost even with confusing maps and gate entries.,26,high
27,7,47,Times Square Mall is an impressive shopping destination - slightly further away from downtown Seoul. But can be reached easily via train with the closest subway station Yeungdongpo. A large number of international luxury and high street brands as well as Korean brands have outlets in the mall. Very good food options as well!,27,high
