,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,145, When I was in middle school I visited a certain museum on a school trip but I guess I just looked around because I wasnt interested At that time I did not know where I was visiting and I was busy playing with my ,0,guess,중학교 때 수학여행으로 어느 박물관에 갔는데 관심이 없어서 그냥 둘러본 것 같아요.
1,1,1,331,The museum is big and has lots of interesting rooms with history of Korea There is quite a great view of the N Seoul Tower from there and they have shops where you can buy souvenirs related to the antiques that you will see in the museum I went to the museum on the weekend and I didnt have to pay an entrance fee I guess the entrance is free on the weekends You are allowed to take pictures of the different exhibition rooms they have but you are going to be requested to go through an Xray security checkpoint before entering the hall where the exhibition rooms are I highly recommend you to go to this museum if you are interested in the history of Korea and of course if you are willing to spend two to three hours there because the museum is huge,1,guess,박물관은 크고 한국의 역사가 담긴 흥미로운 방이 많이 있습니다 거기에서 N 서울 타워의 전망이 꽤 좋고 박물관에서 볼 골동품과 관련된 기념품을 구입할 수있는 상점이 있습니다 내가 갔다. 주말에는 박물관이 있었고 입장료를 지불할 필요가 없었습니다. 주말에는 입장료가 무료인 것 같습니다. 다른 전시실에서 사진을 찍을 수 있지만 Xray 보안 검색대를 통과해야 합니다. 전시실이 있는 홀에 들어가기 전에 한국의 역사에 관심이 있고 박물관이 거대하기 때문에 2~3시간을 보낼 의향이 있다면 이 박물관에 꼭 가보시길 추천합니다.
2,2,2,620,This a huge museum separated into two annexes so that two different exhibits can be curated at the same time There is also a Children Museum i guess for the young ones And there are a few gardens too  Easily reached from Ichon train station It is almost opposite the National Hangeul Museum Admission fees applies,2,guess,이 거대한 박물관은 두 개의 다른 전시물을 동시에 큐레이션 할 수 있도록 두 개의 별관으로 분리되어 있습니다. 어린이 박물관도 있습니다. 어린이 박물관도 있습니다. 그리고 정원도 몇 개 있습니다. 이촌 기차역에서 쉽게 갈 수 있습니다. 거의 맞은 편에 있습니다. 국립한글박물관 입장료 적용
3,3,3,746,The museum building and grounds are very pretty and has its own train station  The first floor inside is the most interesting part in terms of history everything else is for art lovers I guess and people who can appreciate ceramics Would be great if they had more exhibits like maybe what prehistoric animals  dinosaurs they had in Korea  If you had to choose between this and the war museum go to the war museum Wouldnt spend too long here,3,guess,박물관 건물과 부지는 매우 예쁘고 자체 기차역이 있습니다. 내부 1층은 역사 측면에서 가장 흥미로운 부분입니다. 다른 모든 것은 예술 애호가를 위한 것입니다. 도자기를 감상할 수 있는 사람들이 다음과 같은 전시를 더 많이 했으면 좋았을 것입니다. 아마도 선사 시대 동물들이 한국에 있었던 공룡이 무엇이었을 것입니까? 이것과 전쟁 박물관 중에서 선택해야한다면 전쟁 박물관에 가십시오. 여기에서 너무 오래 보내지 않을 것입니다
4,4,4,952,This a huge museum separated into two annexes so that two different exhibits can be curated at the same time There is also a Children Museum i guess for the young ones And there are a few gardens too  Easily reached from Ichon train station It is almost opposite the National Hangeul Museum Admission fees applies,4,guess,이 거대한 박물관은 두 개의 다른 전시물을 동시에 큐레이션 할 수 있도록 두 개의 별관으로 분리되어 있습니다. 어린이 박물관도 있습니다. 어린이 박물관도 있습니다. 그리고 정원도 몇 개 있습니다. 이촌 기차역에서 쉽게 갈 수 있습니다. 거의 맞은 편에 있습니다. 국립한글박물관 입장료 적용
5,5,5,1099,High class Museum Very modern design easy navigation through the various rooms and topics large enough not to be crowded concise explanations in English too free yes  and fantastic items on show It was a pleasure all the way visiting this Museum Note If you just want to walk through only stopping briefly in front a few spectacular pieces I guess about 15 hrs are necessary A more quiet visit may need about twice as much Id advise at least 2 hrs and be selective as there are very diverse topics exposed that are not likely to be of interest for everybody,5,guess,고급 박물관 매우 현대적인 디자인 다양한 방과 주제를 쉽게 탐색 붐비지 않을만큼 큰 영어로 간결한 설명 너무 무료 예 및 환상적인 항목 쇼이 박물관을 방문하는 내내 즐거웠습니다 참고 그냥 걷고 싶다면 몇 개의 장엄한 작품 앞에서 잠시 들르면 약 15시간이 필요할 것 같습니다. 좀 더 조용한 방문은 약 두 배 정도 더 필요할 수 있습니다. Id는 적어도 2시간을 조언하고 관심이 없을 것 같은 매우 다양한 주제가 노출되어 있으므로 선택하십시오. 모두를 위해
6,6,6,1146,The place is so vast and if youre into history you should visit this place You will learn not only about Korea but also other countries I guess this is one of the biggest museum in the world,6,guess,장소가 너무 넓고 역사에 관심이 있다면 이곳을 방문해야합니다 한국뿐만 아니라 다른 나라에 대해서도 배우게 될 것입니다 세계에서 가장 큰 박물관 중 하나라고 생각합니다
7,7,7,1209,It is AWESOME if you want history BOOM you got it The Food is okay I guess But for history lovers it is going to be awesome,7,guess,역사를 원하신다면 굉장합니다 BOOM 당신은 그것을 얻었습니다 음식은 괜찮습니다 하지만 역사를 사랑하는 사람들에게는 굉장할 것입니다
8,8,8,1354,I guess it depends on your interests but I found the set up very good but you can only see that much of pots until it gets boring Still well worth a visit but stay away from the food  coffee,8,guess,나는 당신의 관심에 달려 있다고 생각하지만 설정은 매우 훌륭하다는 것을 알았지 만 지루해질 때까지 많은 냄비 만 볼 수 있습니다. 여전히 방문 할 가치가 있지만 음식 커피는 멀리하십시오
9,9,9,1480,I guess you should judge a Museum by its contents primarily but it must be said that the building is quite stunning Free admission English tours and English language guide maps make a visit very easy and enjoyable I found the antiquities from Neolithic through to Silla period very rewarding some superb gold royal regalia and the usual array of stone and iron weapons and implements Large pottery display An uninformed guess would be that Korea may well still have a lot of archaeological work still to come Excellent video explanation of the construction of the funerary mounds I had just seen in Gyeongju over the previous daysMore audio visual stuff we did not explore on a short visit I did not have time to check out the arts and crafts and painting on the floors above A restaurant onsite which looked good but we patronised the food courtcoffee shop which was fine Lots of staff usual Korean courtesy and welcome,9,guess,박물관은 주로 내용으로 판단해야 하지만 건물은 매우 훌륭합니다. 무료 입장 영어 투어와 영어 가이드 지도를 통해 매우 쉽고 즐겁게 방문할 수 있습니다. 일부 훌륭한 금 왕가의 예복과 돌과 철제 무기 및 도구의 일반적인 배열 대형 도자기 전시 정보가 없는 추측으로는 한국에 아직 많은 고고학적 작업이 남아 있을 것이라는 추측이 있을 수 있습니다. 며칠 전 경주에서 방금 본 짧은 방문으로 탐색하지 않은 더 많은 시청각 자료 위층의 예술 및 공예품과 그림을 확인할 시간이 없었습니다. 좋아 보이지만 푸드 코트 커피 숍을 애용하는 구내 레스토랑 좋았습니다. 많은 직원들이 일반적인 한국식 예의와 환영
