,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,327,I sure am a sucker for towers and tall buildings I donno why and Nseoul tower was one of the best..121 floors high I guess and the glass bottom and all the photo ops..we all had a good time!,0,guess,나는 확실히 타워와 고층 건물을 좋아합니다. 이유는 모르겠지만 N 서울 타워는 최고 중 하나였습니다. ..121층 높이와 유리 바닥과 모든 사진 작업..우리 모두 즐거운 시간을 보냈습니다!
1,1,1,384,"Yes, admission to ride the elevator to the top but it is worth it and not just for the view. Prior to the elevator you walk down a psychedelic hallway before entering a bizarre room with swirling lights and patterns... I think it is to entertain the visitors while waiting for the elevator. But it was quiet on our visit and hence no line up and no one was in the room... we were free to act stupid and take videos of silliness before heading up. Once at the top, its a short 360 degree walk around with window panes distances to world cities imprinted on them, tourist trinkets and snacks for sale and a restaurant one floor down. Then it's another ride in the elevator back down. Speaking of elevator, even though the ride is 20 seconds at most they get you to look at a screen in the ceiling which plays a short video... I guess to stifle the boredom in the vertical box... all 20 seconds of it.  Oh, and the view. All depends on visibility. On a clear day, as the song says, ""I can see for miles and miles.""",1,guess,"예, 엘리베이터를 타고 꼭대기까지 올라갈 수 있지만 그만한 가치가 있으며 전망뿐만 아니라 그만한 가치가 있습니다. 엘리베이터를 타기 전에 사이키델릭한 복도를 따라 걷다 보면 소용돌이 치는 조명과 패턴이 있는 기이한 방에 들어서게 됩니다. 엘리베이터를 기다리는 동안 방문객들을 즐겁게 해주기 위함인 것 같습니다. 그러나 우리 방문에는 조용했기 때문에 줄을 서지 않았고 아무도 방에 없었습니다 ... 우리는 향하기 전에 바보처럼 행동하고 어리석은 비디오를 자유롭게 찍을 수있었습니다. 정상에 오르면 창유리로 세계 도시까지의 거리가 표시되며 관광객용 장신구와 스낵을 판매하고 한 층 아래에는 레스토랑이 있는 짧은 360도 산책을 즐길 수 있습니다. 그런 다음 다시 엘리베이터를 타고 다시 내려갑니다. 엘레베이터라고 하면 기껏해야 20초인데 천장에 있는 스크린을 보고 짧은 영상이 나오는게... 세로박스의 지루함을 억누를듯... 20초 . 아, 그리고 전망. 모든 것은 가시성에 달려 있습니다. 맑은 날 노래에 ""나는 수 마일을 볼 수 있습니다."""
2,2,2,608,"I really had high expectations of this place since I had read so much about it and being a K-drama fan, I thought it would be a wonderful and a romantic place. Well,maybe it would have been different if we went up the other way with the cable car but we went up there as past of a half-day tour. First of all, you can't get up to the tower area itself without walking up or taking a city bus or being part of a tour. No cars are allowed. That part was okay as we did go up by bus. What was disappointing was that it seemed very commercialized. There was a fee to go to the top of the tower. That was understandable but then.they take a photo of you when you enter which of course comes with a price tag. And it was extra to go into the Hello Kitty area which seemed like a promo store??? We didn't go in. Don't get me wrong, the view was nice from the top and outside where you have the love locks and park area. I guess I'm just a bit jaded because of my disappointment. Maybe it would have been nicer to go in the evening with all the lights. But to me-you do it once...",2,guess,"이곳에 대한 글을 너무 많이 읽었고 K-드라마 팬으로서 이곳이 정말 멋지고 낭만적인 곳이 될 거라 생각했기 때문에 이곳에 대한 기대가 정말 컸습니다. 뭐, 케이블카를 타고 반대편으로 올라갔다면 달라졌을지도 모르지만 반나절 투어를 마치고 올라갔다. 우선, 걷거나 시내 버스를 타거나 투어에 참여하지 않고는 타워 지역 자체에 올라갈 수 없습니다. 자동차는 허용되지 않습니다. 그 부분은 우리가 버스로 올라 갔기 때문에 괜찮 았습니다. 실망스러웠던 점은 매우 상용화된 것 같았습니다. 탑 꼭대기에 올라가는 데는 비용이 들었습니다. 그것은 이해할 수 있었지만 가격표와 함께 제공되는 입력시 사진을 찍습니다. 그리고 프로모션 가게 같았던 헬로키티 구역에 들어가는 건 추가였어요??? 우리는 들어가지 않았습니다. 오해하지 마세요. 사랑의 자물쇠와 공원 구역이 있는 정상과 외부에서 보기는 좋았습니다. 실망감에 조금 지쳐가는 것 같아요. 아마도 모든 조명이있는 저녁에 가면 더 좋았을 것입니다. 하지만 나에게 당신은 한 번 ..."
3,3,3,626,"I've been to many tower view points in my tours (Seattle Needle, Eiffel Tower, the Empire State Building to name a few) and here it was a bit disappointing.  We're reached the tower towards sunset to see the sun goes down on the city, but as the visibility was very poor due to the temperature and the atmosphere, we decided to check the tower itself. There is a deal for two at 22K W for two tickets + 2 drinks and 2 popcorn's (heavily stuffed with butter), and upon entering it looked very strange to the team there that we (as two tourists) didn't want to get ourselves pictured for an overpriced photo set (1 for 15K W and it goes on...)  Once we reached up we discovered that it is almost impossible to get a clear sight in the night because of the merchandise and internal lights that these boots are reflecting. All the surrounding windows had reflection of everything you see inside (people shopping, lights of candy stores etc.) and you could not take a decent photo with those reflections. I guess during the day it is much better, but trying to compare the pictures shown by the staff of Seoul at night makes you wonder where was it taken (on the roof top of from a different building :))....",3,guess,"나는 내 투어에서 많은 타워 뷰 포인트(시애틀 니들, 에펠 탑, 엠파이어 스테이트 빌딩)에 가본 적이 있으며 여기에서는 약간 실망했습니다. 해가 지는 모습을 보기 위해 해가 질 무렵 타워에 도착했지만 기온과 대기로 인해 시야가 매우 좋지 않아 타워 자체를 확인하기로 했습니다. 22K W에 티켓 2장 + 음료 2잔과 팝콘 2개(버터로 가득 채워진 것) 2개를 위한 거래가 있으며, 입장할 때 팀에 매우 이상해 보였습니다. 값 비싼 사진 세트 (15K W 용 1 개 및 계속 ...)를 위해 사진을 찍었습니다. 일단 우리가 도달하면이 부츠가 반사하는 상품과 내부 조명 때문에 밤에 명확한 시야를 확보하는 것이 거의 불가능하다는 것을 발견했습니다. . 주변의 모든 창에는 내부에서 보는 모든 것(쇼핑하는 사람들, 사탕 가게의 불빛 등)이 반사되어 있었고 그 반사로 괜찮은 사진을 찍을 수 없었습니다. 낮에 찍은게 훨씬 나을 것 같은데 밤에 서울 직원들이 찍어준 사진을 비교해보면 어디에서 찍은 사진인지(다른 건물 옥상에서 :)) ...."
4,4,4,646,"Excited. While we were in line for the cable car, I thought it will only take us a few mins to hop in. Not really.  If you want to take the cable car, it will be a very convenient journey to the top~But you'll have to wait more than 30 mins looping around before you can even hop in. I guess it's a lot better than walking all the way to the top?  I wish they had a warning downstairs before getting the ticket that we will have more 30 mins wait. .  We were excited for the sunset but we missed it... Oh well! The view was fantastic up there though!",4,guess,"흥분한. 우리가 케이블카를 타기 위해 줄을 서 있는 동안, 나는 우리가 탑승하는 데 몇 분 밖에 걸리지 않을 것이라고 생각했습니다. 실제로는 그렇지 않습니다. 케이블카를 타면 정상까지 이동이 매우 편리합니다~하지만 30분 이상 빙글빙글 돌아서야 탑승도 가능합니다. 정상으로 가는 길? 나는 그들이 우리가 30분 이상 기다려야 한다는 표를 받기 전에 아래층에 경고를 받았으면 좋겠다. . 우리는 일몰에 흥분했지만 우리는 그것을 놓쳤습니다 ... 오 글쎄! 보기는 거기에서 훌륭했다!"
5,5,5,747,"From Myeongdong subway station, you can easily walk your way up a steep road to the cable car station that will bring you up the tower. The cable car comes in frequency of 10 minutes and will be filled to its max capacity with people.  My family went in the evening and saw the sunset. Also, the good part about going in the evening is that you get to see the day view & also the night view.  Objectively, I do not find the view from the top especially amazing. But nonetheless still scenic. I am guessing most people go to see/put their couple lock. There is a mall there that sells souveniors, food and other things too.",5,guess,"명동 지하철역에서 케이블카 정류장까지 가파른 길을 쉽게 걸어 올라갈 수 있습니다. 케이블카는 10분 간격으로 운행되며 최대 수용 인원으로 만원입니다. 우리 가족은 저녁에 가서 일몰을 보았습니다. 또한 저녁에 가면 좋은 점은 낮과 밤을 모두 볼 수 있다는 것입니다. 객관적으로, 나는 위에서 특히 놀라운 것을 찾지 못했습니다. 그러나 그럼에도 불구하고 여전히 경치가 ​​좋습니다. 나는 대부분의 사람들이 그들의 커플 자물쇠를 보거나/넣는다고 추측한다. 기념품, 음식 및 기타 물건도 판매하는 쇼핑몰이 있습니다."
6,6,6,841,"Reach this area via cable car. Came around 5 in the afternoon and the line in the cable car was long but moving. Reach the tower around sunset and by the time we reach the love locks it started to get dark. We have a love lock on hand and found a spot for it. Took some photos, ate some snacks and went to the observatory. There is also a line to reach the top of the tower. During our visit the place was really crowded and going back via cable car was also the same. I guess when you visit this place you should have enough time to spare or else you won't enjoy it as it feels like everything was hurried because of the crowd.",6,guess,케이블카를 타고 이 지역에 도착합니다. 오후 5시쯤 도착했는데 케이블카의 줄이 길었지만 움직이고 있었다. 일몰 무렵 타워에 도달하고 우리가 사랑의 자물쇠에 도달했을 때 어두워지기 시작했습니다. 우리는 사랑의 자물쇠를 가지고 있고 그것을 위한 자리를 찾았습니다. 사진도 찍고 간식도 먹고 전망대로 향했다. 타워 꼭대기까지 올라가는 라인도 있습니다. 우리가 방문하는 동안 장소는 정말 혼잡했고 케이블카를 통해 돌아가는 것도 마찬가지였습니다. 이곳을 방문할 때 시간적 여유가 충분해야 하며 그렇지 않으면 군중 때문에 모든 것이 서두르는 것처럼 느껴져 즐기지 못할 것입니다.
7,7,7,861,"The elevator was very crowded, had to queue for about 10 minutes. we climbed some stairs to the first level when we saw the love chains for the first time; it's a nice view. With all the love chains there are in this place, you could guess it's for people in love. Yet, it is more than this, because the best part is the wonderful view panorama over the City of Seoul. Luckily, we stayed long enough to see Seoul from the tower both during the day, and during the night. We eat nice food at the Japanese restaurant. Still wondering why Koreans don't give knives at the table. My granddaughter was excited to be able to sit in front of the large glass windows displaying the beautiful view over part of Seoul. All in all, it is one of the best places for tourists in Seoul.",7,guess,엘리베이터는 사람이 너무 많아 10분 정도 줄을 서야 했다. 우리는 사랑의 사슬을 처음 보았을 때 1층으로 계단을 올라갔습니다. 좋은 전망입니다. 이 장소에 있는 모든 사랑의 사슬을 보면 사랑에 빠진 사람들을 위한 곳이라는 것을 짐작할 수 있습니다. 하지만 그 이상은 서울 시내를 한눈에 내려다볼 수 있는 탁 트인 전망이 최고이기 때문입니다. 운 좋게도 우리는 낮과 밤에 타워에서 서울을 볼 수 있을 만큼 충분히 오래 머물렀습니다. 우리는 일본 식당에서 맛있는 음식을 먹습니다. 아직도 한국인들은 식탁에서 칼을 주지 않는지 궁금합니다. 내 손녀는 서울의 일부가 보이는 아름다운 전망을 보여주는 큰 유리창 앞에 앉을 수 있어 기뻤습니다. 전체적으로 서울에서 관광객들에게 최고의 장소 중 하나입니다.
8,8,8,907,"We went to N Seoul Tower after our palace trip. I can honestly say that the place is over-rated. They have this area where couples can put locks and write something on the locks, i guess a wish that the relationship lasts long. Forgot how much i paid but i feel that it was more than what the place offers. But we went anywhere...went for a train and a bus ride which was very easy to follow. Still worth a go but again is a little over-rated. And the locks being sold on-site costs between 6500-8500w!!! A little pricey",8,guess,우리는 궁전 여행을 마치고 N 서울 타워에 갔다. 나는 그 장소가 과대 평가되었다고 솔직히 말할 수 있습니다. 그들은 커플이 자물쇠를 걸고 자물쇠에 무언가를 쓸 수있는이 영역이 있습니다. 나는 관계가 오래 지속되기를 바랍니다. 내가 얼마를 지불했는지 잊어 버렸지 만 장소가 제공하는 것 이상이라고 생각합니다. 그러나 우리는 어디든 갔다. 여전히 갈 가치가 있지만 다시 약간 과대 평가됩니다. 그리고 현장에서 판매되는 자물쇠는 6500-8500w 사이입니다!!! 조금 비싸다
9,9,9,956,"I was only in Seoul for a couple days, but this was my one of my favorite things to do. Be sure to leave plenty of time to enjoy the experience. We left our hotel about a mile from the tower at 2pm walking and returned at about 6pm. The time is spent waiting in lines to get up the cable car and the tower. About an hour wait for the cable car and 30 min for the tower. The observation Deck is worth the extra money. I really did not understand how big this city really is until I was on the observation Deck. As far as the eye can see in every direction, the city sprawls out over the landscape. It is so beautiful and amazing. Truly is a humbling and awe inspiring sight. Was worth the wait and worth the experience. My guess is that it is less busy in the morning.",9,guess,"나는 며칠 동안 서울에 있었지만 이것은 내가 가장 좋아하는 일 중 하나였습니다. 충분한 시간을 두고 체험을 즐기시기 바랍니다. 우리는 도보로 오후 2시에 타워에서 약 1마일 떨어진 호텔을 나와 약 오후 6시에 돌아왔습니다. 케이블카와 타워를 오르기 위해 줄을 서서 기다리는 시간입니다. 케이블카는 약 1시간, 타워는 30분 정도 기다려야 합니다. 전망대는 추가 비용의 가치가 있습니다. 전망대에 오르기 전까지는 이 도시가 얼마나 큰지 정말 몰랐습니다. 눈이 모든 방향에서 볼 수 있는 한, 도시는 풍경 위에 펼쳐져 있습니다. 너무 아름답고 놀랍습니다. 참으로 겸손하고 경외심을 불러일으키는 광경입니다. 기다릴 가치가 있었고 경험할만한 가치가있었습니다. 내 생각에 그것은 아침에 덜 바쁘다."
