,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,87, I went together with the Lotte Tower Observation Deck but I didnt go to an aquarium here and there so it was just that I think a house with children would be fine ,0,didnt,롯데타워전망대랑 같이 갔는데 아쿠아리움 여기 저기 안가서 그냥 애들 있는 집이 좋을거같아서
1,1,1,129, It was well maintained and it was so pretty Its a bit sad that I didnt see my beluga friends but Im very satisfied ,1,didnt,관리도 잘되고 너무 예뻤어요 벨루가 친구들을 못본게 조금 아쉬웠지만 매우만족합니다
2,2,2,138,It was a lot nicer than I expected Since it was so small I didnt think there would be much to see However there were a lot of sea animals There are stations where you can feed the fish My personal favorite was seeing the beluga ,2,didnt,생각보다 훨씬 예뻤어요 너무 작아서 볼게 많을줄은 몰랐는데 바다동물들이 많았어요 물고기들에게 먹이를 줄 수 있는 역도 있고 개인적으로 제일 좋아하는 벨루가 구경
3,3,3,156, I watched it with no expectations so I didnt expect much ,3,didnt,별 기대 안하고 봤는데 별 기대 안했는데
4,4,4,169, I didnt realize the time was passing because I was watching the fish in the large tank such as beluga and otter penguins and so cute ,4,didnt,"벨루가, 수달펭귄 등 대형 수조에서 물고기들을 보고 너무 귀여워서 시간 가는 줄 몰랐어요"
5,5,5,194,My son had a lovely time The exhibits were interesting and varied The facilities were clean and even during covid the rules were followed but you didnt feel it Go during the week for fewer crowds no ,5,didnt,내 아들은 멋진 시간을 보냈습니다. 전시회는 흥미롭고 다양했습니다. 시설은 깨끗했고 covid 동안에도 규칙을 따랐지만 당신은 그것을 느끼지 못했습니다. 적은 군중을 위해 주중에 가십시오.
6,6,6,196, It had the most fish species but it didnt feel grand and big The sea lion show was fun ,6,didnt,물고기 종류가 가장 많았지만 웅장하고 큰 느낌은 없었어요 바다사자쇼 재밌었어요
7,7,0,36, Too many people even though there are too many Im really lost I think it would be better to limit the number of entries ,7,number,사람이 너무 많아도 너무 많아서 정말 헤매고 있습니다만 입장 수를 제한하는 것이 좋을 것 같습니다
8,8,1,124,Bigger than I expected good variety of fish but many of the tanks seem too small for the species of fish or the number,8,number,내가 기대했던 것보다 큰 다양한 물고기가 있지만 많은 수조가 물고기의 종이나 수에 비해 너무 작아 보입니다.
9,9,2,146, Expectations are low because it is located in the tallest building in Korea The number of fish species the viewing window and the entrance fee are not ,9,number,국내에서 가장 높은 빌딩에 위치하고 있어 어종 수와 관람료가 저렴하지 않아 기대치가 낮습니다
10,10,3,224, Compared to other aquariums the overall number of individuals seems to be small It seemed pity that there was only one beluga alone in the large beluga aquarium ,10,number,다른 수족관에 비해 전체적인 개체수는 적은 것 같아요 큰 벨루가 수족관에 벨루가가 한마리만 있는게 아쉬웠어요
11,11,4,263,"Having been to a number of more interesting aquariums in Asia, this one is not particularly interesting. Unless someone in the gang craves for it, can pass.",11,number,아시아에서 더 많은 흥미로운 수족관에 가본 적이 있지만 이것은 특히 흥미롭지 않습니다. 갱단의 누군가가 그것을 갈망하지 않는 한 통과할 수 있습니다.
12,12,5,316,"There are still a number of interesting displays. A room of jellyfish, a huge tank with lots of fish, two beluga whales, a spot for kids to touch fish and other small water creatures, baby otters, an alligator, and a few other tanks with different fish. It was a great way to spend several hours in the afternoon. The great thing is it's in Lottes' World Mall, which has tonnes of other things to do, so the Aquarium can be a one thing in a full day of stuff, all in the same location.",12,number,"여전히 흥미로운 전시가 많이 있습니다. 해파리 방, 많은 물고기가 있는 거대한 수조, 두 마리의 벨루가 고래, 아이들이 물고기와 기타 작은 수중 생물을 만질 수 있는 곳, 아기 수달, 악어, 그리고 다른 물고기가 있는 몇 개의 다른 수조. 그것은 오후에 몇 시간을 보내는 좋은 방법이었습니다. 가장 좋은 점은 할 일이 많은 롯데 월드 몰에 있다는 것입니다. 따라서 수족관은 하루 종일 같은 장소에서 한 가지 일만 할 수 있습니다."
13,13,0,16, Its hard to see even a 4 star beluga because of the lack of manatee ,13,even,해우가 없어서 4성 벨루가도 보기 힘들다.
14,14,1,24, It would be nice if there was a plan for activation such as consideration for visitors and events ,14,even,"방문객 배려, 이벤트 등 활성화 방안이 있으면 좋을텐데"
15,15,2,31, Very nice and friendly aquarium well signposted cjemin spread over 3 floors if I remember correctly But even though it was amazing to see a narwhal it needs more space ,15,even,제 기억이 맞다면 아주 친절하고 친절한 수족관 표지판이 잘 되어 있는 제민이 3층에 걸쳐 있습니다. 하지만 일각고래를 보는 것은 놀랍지만 공간이 더 필요합니다
16,16,3,36, Too many people even though there are too many Im really lost I think it would be better to limit the number of entries ,16,even,사람이 너무 많아도 너무 많아서 정말 헤매고 있습니다만 입장 수를 제한하는 것이 좋을 것 같습니다
17,17,4,65, There are a lot of events so you can actually enter at a price in the low 20000 won range but since you see everything it feels like the regular price ,17,even,이벤트도 많아서 20000원 초반대의 저렴한 가격으로 입장할 수 있지만 다 보고나니 정가 같은 느낌이 들더라구요
18,18,5,108, Its good to be able to experience an aquarium nearby Shopping and dining at the same time In particular there are event tickets for 3 or 4 people so it is much better ,18,even,근처에서 수족관을 체험할 수 있어서 좋아요 쇼핑과 식사를 동시에 할 수 있어요 특히 3~4인용 이벤트 티켓이 있어서 훨씬 좋아요
19,19,6,109, You can see the aquarium nearby and there are many experience events inside so there are many things to enjoy Inside cafe goods corner photography feeding etc But unfortunately Its not a very large ,19,even,근처에 수족관도 보이고 내부에는 체험행사도 많아서 즐길거리도 많고 카페 내부 상품 코너 사진 먹이주기 등
20,20,7,194,My son had a lovely time The exhibits were interesting and varied The facilities were clean and even during covid the rules were followed but you didnt feel it Go during the week for fewer crowds no ,20,even,내 아들은 멋진 시간을 보냈습니다. 전시회는 흥미롭고 다양했습니다. 시설은 깨끗했고 covid 동안에도 규칙을 따랐지만 당신은 그것을 느끼지 못했습니다. 적은 군중을 위해 주중에 가십시오.
21,21,8,200, Lotte World Aquarium visited every two years I was able to visit at a low price through the card company event We issue a 4hour parking pass so it is not burdensome ,21,even,롯데월드아쿠아리움 2년마다 방문 카드사 이벤트를 통해 저렴한 가격에 방문할 수 있었습니다 4시간 주차권을 발급해 드리고 있어 부담이 되지 않습니다
22,22,9,266,"If you are going to the Gangnam area any way, apart from visiting the shopping mall, you may wish to reserve time for this aquarium. It is not a very big one and the advantage is that it is actually inside the Coex Mall and is wholly indoor. Though it is compact variety of fish is good. You can see shark, turtles, penguins, and many more. You can spend two hours there, and worth going even if you have one hour and are thinking what to do. Kids will enjoy.",22,even,"쇼핑몰을 방문하는 것 외에도 강남 지역에 가실 계획이라면 이 수족관에 시간을 예약하는 것이 좋습니다. 그리 크지 않고 실제로 코엑스몰 내부에 있고 전체가 실내라는 장점이 있습니다. 컴팩트하지만 다양한 물고기가 좋습니다. 상어, 거북이, 펭귄 등을 볼 수 있습니다. 거기에서 두 시간을 보낼 수 있으며 한 시간이 있고 무엇을해야할지 생각하더라도 갈 가치가 있습니다. 아이들이 즐길 것입니다."
23,23,10,275,"Went here with a couple of friends, all in our twenties. We all thought it was an amazing time. We paid 60.000 won (50€) each, for a package deal including the aquarium, lotte tower and lotte world. And even though all three are worth a visit, the aquarium was the best. Having some great displays of fish and other animals like penguins, otters and whales.  The aquarium is in the same building as the lotte tower, and mall. Which are both enormous, with tons of stores and restaurants.",23,even,"모두 20대인 친구 두 명과 함께 이곳에 갔습니다. 우리 모두는 놀라운 시간이라고 생각했습니다. 아쿠아리움, 롯데타워, 롯데월드가 포함된 패키지 상품으로 각각 60,000원(50유로)을 지불했습니다. 그리고 세 곳 모두 방문할 가치가 있지만 수족관이 최고였습니다. 펭귄, 수달 및 고래와 같은 물고기와 기타 동물의 멋진 전시가 있습니다. 아쿠아리움은 롯데타워, 쇼핑몰과 같은 건물에 있습니다. 엄청나게 많은 상점과 레스토랑이 있습니다."
24,24,11,278,"What an amazing aquarium. The tanks are so clean you can't even tell there is glass. Great exhibits. Beluga whales, penguins, octopus that was full on display, sea lions, and otters. Plus so many fish. Lots of underwater tunnels. Best aquarium I've ever been too!",24,even,"얼마나 놀라운 수족관. 탱크가 너무 깨끗하여 유리가 있는지조차 알 수 없습니다. 훌륭한 전시물. 벨루가 고래, 펭귄, 가득 전시된 문어, 바다사자, 수달. 게다가 물고기가 너무 많다. 수중 터널이 많습니다. 내가 본 최고의 수족관!"
25,25,12,313,"For the prices, we were expecting a great aquarium. I may have been spoiled by the ones in Cinncinatti OH, and New Orleans, La, but this one missed the mark. Pretty standard and nothing special. We were kinda shocked when we got to the end and even the kids asked if that was the whole thing. Took maybe 30 minutes to get through and we paid almost 90 bucks.",25,even,가격 때문에 우리는 훌륭한 수족관을 기대했습니다. 나는 오하이오주 신시내티와 뉴올리언스에 있는 사람들에 의해 버릇이 생겼을지 모르지만 이것은 목표를 놓쳤습니다. 꽤 표준적이고 특별한 것은 없습니다. 우리는 우리가 끝에 도착했을 때 약간 충격을 받았고 심지어 아이들이 그것이 전부인지 물었습니다. 통과하는 데 30분이 걸렸고 거의 90달러를 지불했습니다.
26,26,13,325,"We arrived aroun on Valentine’s Day at noon and were finished around 2pm. We payed 29,000KRW or about $24 for two hours! The shows occur around 11:00am and then again 4pm. We figured we would get our hands stamped and check out the Lotte Duty Free and Mall (My wife’s idea lol) and then return to see the Sea Lion and Beluga Whales’ show. To our profound amazement, they wouldn’t stamp our hand so we could return. They spoke decent English for purchasing tickets and for renting the audio guide but all of the sudden, the English proficient customer help didn’t speak a word of English as I tried to get our hands stamped to return. All they could say was they are sorry. Even with listening to the audio guide, the entire trip lasted 2 hours including multiple trips to the restroom by 4 people in a family, snacks such as a pretty decent churro etc… Had we not purchased the rental audio guides, the entire aquarium could be seen in under an hour as it is very tiny. One would think they would give the audio guide for free with the 29,000KRW price but then the audio guide rental is another 3,000KRW a person. Unlike the museums we’ve encountered with children and great teacher supervision, here parents let their children run wild here and even try to push you out of the way to let their children get a view. I could understand a child trying to get a good view and pushing, not having common sense or decency, but a parent pushing you out of the way? That was ridiculous and I surely told the parents to have some civility. What a waste of money and time with the Lotte World Aquarium. If you are considering or contemplating spending your hard earned money on Lotte World Aquarium I strongly advise you spend your money elsewhere and avoid the frustrations my family felt visiting the poorly run Lotte World Aquarium.",26,even,"우리는 정오에 발렌타인 데이에 도착했고 오후 2시경에 끝났습니다. 우리는 2시간에 29,000원 ​​또는 약 $24를 지불했습니다! 쇼는 오전 11시경에 발생하고 다시 오후 4시에 발생합니다. 우리는 손에 도장을 찍고 롯데면세점과 몰(아내의 아이디어 ㅋㅋ)을 확인한 다음 바다사자와 벨루가 고래의 쇼를 보러 돌아올 것이라고 생각했습니다. 놀랍게도 그들은 우리가 돌아갈 수 있도록 우리 손에 도장을 찍지 않았습니다. 그들은 티켓 구매와 오디오 가이드 대여에 대해 괜찮은 영어를 구사했지만 갑자기 영어가 유창한 고객 지원은 영어를 한마디도 말하지 않고 손에 도장을 찍으려고했습니다. 그들이 할 수 있는 말은 미안하다는 말뿐이었다. 오디오 가이드를 들음에도 불구하고 가족 4명이 여러 차례 화장실을 다녀온 시간, 꽤 괜찮은 츄로 등의 간식까지 포함해 전체 여행은 2시간 동안 지속됐다. 매우 작기 때문에 1 시간 이내에 볼 수 있습니다. 오디오가이드를 29,000원에 무료로 드린다고 하면 1인당 3,000원을 빌리면 된다. 우리가 어린이와 훌륭한 교사 감독을 통해 만난 박물관과 달리 여기에서는 부모가 자녀를 여기에서 뛰어 놀게하고 심지어 자녀가 볼 수 있도록 방해하지 않도록 밀어 넣으려고합니다. 상식도 품위도 없는 아이가 좋은 시선으로 밀어붙이려 하는데 부모가 막 밀어내는건 이해가 가나요? 그것은 우스꽝스러운 일이었고 나는 분명히 부모에게 약간의 예의를 가지라고 말했습니다. 롯데월드 아쿠아리움은 돈과 시간을 낭비했습니다. 힘들게 번 돈을 롯데월드 아쿠아리움에 쓰는 것을 고려 중이거나 고려하고 있다면 다른 곳에서 돈을 쓰고 제대로 운영되지 않는 롯데월드 아쿠아리움을 방문했을 때 가족이 느꼈던 좌절감을 피하는 것이 좋습니다."
