,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,155,"Nice atmosphere and lots of things to see and eat, but sadly smells like ??which can be offputing overall it was good",0,sadly,분위기도 좋고 볼 것도 많고 먹을 것도 많았지만 ??냄새가 난다는 점은 전반적으로 좋았습니다.
1,1,1,192,"It's a big market (or really collection of markets as there are other markets in the area) and there are some really great bargains to be found.  There are tons of food stalls, but sadly they seem to all have mostly the same items and the ones I tried were ok, nothing more.",1,sadly,그것은 큰 시장(또는 그 지역에 다른 시장이 있는 것처럼 실제로 시장의 집합체)이며 찾을 수 있는 정말 좋은 거래가 있습니다. 수많은 포장 마차가 있지만 슬프게도 그들은 모두 거의 같은 품목을 가지고 있는 것 같고 내가 시도한 것은 괜찮았습니다. 그 이상은 아닙니다.
2,2,2,510,"It's a big market (or really collection of markets as there are other markets in the area) and there are some really great bargains to be found.  There are tons of food stalls, but sadly they seem to all have mostly the same items and the ones I tried were ok, nothing more.",2,sadly,그것은 큰 시장(또는 그 지역에 다른 시장이 있는 것처럼 실제로 시장의 집합체)이며 찾을 수 있는 정말 좋은 거래가 있습니다. 수많은 포장 마차가 있지만 슬프게도 그들은 모두 거의 같은 품목을 가지고 있는 것 같고 내가 시도한 것은 괜찮았습니다. 그 이상은 아닙니다.
3,3,0,39,Whole long stretch of street food where u find live squid as well. Egg pan cake is a little bit oily but is very delicious. This place is very special where u can order food and sit in front of the small stall to eat. Price is reasonable. Next to the main food street there are some stalls selling cloths and sports stuff.,3,long,살아있는 오징어를 찾을 수 있는 길쭉한 거리 음식. 에그 팬케이크는 약간 기름기가 있지만 매우 맛있습니다. 이 장소는 음식을 주문하고 작은 포장 마차 앞에 앉아 먹을 수 있는 매우 특별합니다. 가격은 합리적입니다. 메인 푸드 스트리트 옆에는 의류와 스포츠 용품을 판매하는 노점이 있습니다.
4,4,1,45,"One of our stops on the night tour was the Gwangjang Market where some of my family members were brave enough to try eating live octopus. I was not even brave enough to sit at the same table with them. I did try their famous pancakes from one of their vegetarian stalls and was mildly impressed. The best find for me in this market was their donuts. The line was long but moved fast. They could not make them fast enough. My family went back for seconds. If you are ever in this market go for the freshly made donuts (its soaped long instead of round), the taste is worth every calorie. You can watch it being made as well. Priced moderately.",4,long,야간 투어에서 우리가 들른 곳 중 하나는 광장 시장이었습니다. 그곳에서 가족 중 일부는 살아있는 문어를 먹어보기 위해 용기를 냈습니다. 나는 그들과 같은 테이블에 앉을 만큼 용감하지도 않았다. 나는 채식 포장 마차 중 한 곳에서 유명한 팬케이크를 시험해 보았고 약간 감동했습니다. 이 시장에서 나를 위한 최고의 발견은 그들의 도넛이었습니다. 줄이 길었지만 빠르게 움직였다. 그들은 그것들을 충분히 빠르게 만들 수 없었습니다. 우리 가족은 몇 초 동안 돌아갔습니다. 이 시장에 가본 적이 있다면 갓 만든 도넛(둥근 대신 비누로 만든 긴 것)을 찾으면 맛은 모든 칼로리의 가치가 있습니다. 만들어지는 모습도 볼 수 있습니다. 적당한 가격.
5,5,2,66,"This one of Korea’s largest traditional markets, with one section selling authentic Korean street food. It is crowded with tourists as well as locals along the narrow alleys. For some stalls, there are some seats for customers who ordered pancakes, Korean dumplings, braised pig's trotters, gimbap, seafood, etc. If you are adventurous, you can try the raw octopus tentacles.  There are also stalls selling fruit, vegetables, meat and fresh seafood. I purchased some apples and peaches, which were rather expensive. Suggest you buy fruits from other places.",5,long,"정통 한국 길거리 음식을 판매하는 한 섹션이 있는 한국 최대의 전통 시장 중 하나입니다. 좁은 골목길을 따라 관광객은 물론 현지인으로 붐빕니다. 일부 포장마차에는 떡볶이, 만두, 족발, 김밥, 해산물 등을 주문한 손님을 위한 자리가 마련돼 있다. 과일, 야채, 고기 및 신선한 해산물을 판매하는 노점도 있습니다. 조금 비싼 사과와 복숭아를 샀다. 다른 곳에서 과일을 사도록 제안하십시오."
6,6,3,67,"No, this is not an upscale, ultra-clean chain department store where credit cards are king -- it is a market with numerous food stalls are centered along the walkways and sellers of fish, produce, silk, souvenirs, kimchi, housegoods and junk line the walkways. For me, all the food looks alike but obviously some are better than others as they are very busy and others have no customers. When in Seoul, one really has to visit -- not necessarily buy, but at least visit.",6,long,"아니요, 신용카드가 왕인 고급스럽고 깨끗한 체인 백화점이 아닙니다. 산책로를 따라 수많은 포장 마차가있는 시장이며 생선, 농산물, 실크, 기념품, 김치, 가정 용품 및 쓰레기를 판매합니다. 보도에 줄을 섭니다. 저에게는 모든 음식이 비슷해 보이지만 어떤 음식은 매우 바쁘고 다른 음식은 손님이 없기 때문에 분명히 다른 음식보다 낫습니다. 서울에 오면 꼭 방문해야 하는 곳입니다. 꼭 사야 하는 것은 아니지만 적어도 방문은 해야 합니다."
7,7,4,71,It's like a food market where you can buy street food and walk along the street to find more food. Nothing special unless there is a specific food stall that you want here.,7,long,"길거리 음식을 사고, 더 많은 음식을 찾기 위해 거리를 걸을 수 있는 식품 시장과 같습니다. 여기에 원하는 특정 음식 마구간이 없으면 특별한 것은 없습니다."
8,8,5,75,Mung bean pancakes for lunch - yum. Shame you have to find a corner to eat them. This market is a food heaven as long as you can stand the crowds. There are some alleyways around - go for a wander and you will find some hidden treasures.,8,long,점심으로 녹두전 - 냠. 부끄럽게도 먹을 구석을 찾아야 합니다. 이 시장은 군중을 참을 수 있는 한 음식 천국입니다. 주변에 골목이 있습니다. 방황하면 숨겨진 보물을 찾을 수 있습니다.
9,9,6,77,"We came here for lunch and entered on the textile entrance of the market. About halfway into the building is when we finally started to see the food stalls. The first stop was a fish cake stall where we ordered two, each W1000. Both came impaled on a stick along with a cup of broth. Both types of fish cakes were decent and the soup was flavorful.  We were still on the hunt for a good lunch spot when we came across a stand with a large photo of Netflix on it. It turned out to be one of the vendors, Yoonsun Cho, showcased on an episode of Street Food. It was food stall #70 and had one of the largest seating areas which was a stand-alone stall surrounding the cooking and prep areas compared to all the others we walked by. We had to wait about ten minutes before a bench opened to accommodate the whole family. During the interim we watched her make some of her hand cut noodles and prep a number of bowls. Everything we tried was very good from the kimchi mandu to the hand cut noodle and the cold buckwheat noodles (we ordered spicy but it didn’t pack much heat). Overall they ran a very efficient operation for the lines of people wanting to eat here and the food was reasonably priced at W5000 each for majority of the menu items.  There also was a mung bean fried cake vendor featured on Netflix but we were too full to give hers a try.  The market was crowded and together with all the frying the temperature got a little warm inside.",9,long,"우리는 점심 먹으러 여기에 와서 시장의 섬유 입구에 들어갔습니다. 건물에 반쯤 들어서자 마침내 포장마차가 보이기 시작했습니다. 첫 번째 중지는 우리가 각각 W1000, 2를 주문한 어묵 포장 마차였습니다. 둘 다 국물 한 컵과 함께 막대기에 찔려 왔습니다. 두 종류의 어묵 모두 괜찮았고 수프도 맛있었습니다. Netflix의 큰 사진이 있는 스탠드를 발견했을 때 우리는 여전히 좋은 점심 장소를 찾고 있었습니다. 길거리 음식에 출연한 조윤선이라는 상인이었다. 그것은 음식 포장 마차 # 70이었고 우리가 걸었던 다른 모든 것과 비교하여 요리 및 준비 영역을 둘러싼 독립형 포장 마차 인 가장 큰 좌석 공간 중 하나였습니다. 온 가족이 함께 앉을 수 있는 벤치가 열리기까지 10분 정도 기다려야 했습니다. 그 동안 우리는 그녀가 손으로 자른 국수를 만들고 여러 그릇을 준비하는 것을 보았습니다. 우리가 시도한 모든 것은 김치 만두에서 손으로 자른 국수와 차가운 메밀 국수에 이르기까지 매우 좋았습니다 (우리는 매운 것을 주문했지만 많은 열을 포장하지 않았습니다). 전반적으로 그들은 여기에서 먹고 싶어하는 사람들의 라인에 대해 매우 효율적인 작업을 수행했으며 음식은 대부분의 메뉴 항목에 대해 각각 5000원으로 합리적이었습니다. Netflix에 소개 된 녹두 튀김 케이크 판매 업체도 있었지만 우리는 너무 꽉 차서 그녀를 시도하지 못했습니다. 시장은 북적거렸고 모든 튀김과 함께 내부는 약간 따뜻해졌습니다."
10,10,7,86,"A MUST visit if you are into following media tracks such as KD drama and other popular places. We went to this market to try NETFLIX handmade star :)  The noodles were springy and yummy! The entire process can be seen right in front of you. dumpling and noodle making. As simple as 3 cauldrons to cook everything to serve people who would wait in 3 layers behind the stools.  We had the handmade noodles (5000Won) and the mixed dumplings (5000Won) Both simple but for some reason we ended up going back the next day to have it again. Simplicity at it's best  Note the stall is near the south gate (stall # 70). If there's something worthy to add, try to find the place along the middle of the walk way as everyone practically sells the same thing but it is only this stall who the overflowing customer (the magic of media). this means the other stalls are not so keen in helping out find her.  before you leave, don't forget to buy some of the local KR crackers (Yummy) and kimchi - ALL TYPES! There are a lot of souvenirs too for giveaway though price is not that different from Myeongdon...maybe 100 to 200Won cheaper.",10,long,KD 드라마 및 기타 인기있는 장소와 같은 미디어 트랙을 팔로우하는 경우 반드시 방문해야합니다. NETFLIX 수제스타를 맛보기 위해 마켓에 다녀왔어요 :) 면발이 탱탱하고 맛있었어요! 전체 과정을 바로 눈앞에서 볼 수 있습니다. 만두와 국수 만들기. 의자 뒤에서 3겹으로 기다리는 사람들을 위해 모든 것을 요리할 수 있는 3개의 가마솥만큼 간단합니다. 우리는 수제면(5000원)과 만두(5000원)를 먹었습니다. 둘 다 간단하지만 어쩐 일인지 다음날 또 먹으러 갔습니다. 최고의 단순함 노점은 남쪽 게이트(노점 # 70) 근처에 있습니다. 추가할 만한 것이 있다면 모두가 거의 같은 물건을 팔고 있기 때문에 산책로 중간에 있는 곳을 찾아보세요. 손님이 넘쳐나는 곳은 바로 이 포장마차입니다(미디어의 마법). 이것은 다른 포장 마차가 그녀를 찾는 데 그다지 열성적이지 않다는 것을 의미합니다. 떠나기 전에 현지 KR 크래커(Yummy)와 김치를 구입하는 것을 잊지 마세요. 모든 종류가 있습니다! 증정용 기념품도 많이 있지만 가격은 명동과 별반 다르지 않은데... 100~200원 정도 더 저렴할 수도 있습니다.
