,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,48,They need to announce that 10000 won for admission is for the museum only,0,need,"입장료 10,000원은 박물관 전용이라고 발표해야 합니다."
1,1,1,134,I visited here for the first time in few years There were lots of things and places to see and enjoy before But this time its not same with it was back in 2018 due to the covid19 It seems to need some times to recover the normal ,1,need,"몇 년 만에 처음 가본 곳인데 예전에는 볼거리, 즐길거리가 많았는데 이번에는 예전과 같지 않은 2018년 코로나19 여파로 정상으로 돌아오려면 시간이 필요할 것 같습니다."
2,2,2,141, the architecture is good Redefine internal planning I need to expand things to see buy experience etc ,2,need,아키텍처가 좋습니다. 내부 계획을 재정의합니다. 구매 경험 등을 보려면 확장해야 합니다.
3,3,3,167, Unfriendly guidance Its free No order Sorry Staff needs smooth flexibility ,3,need,불친절한 안내 무료 주문 없음 죄송합니다 직원은 부드러운 유연성이 필요합니다
4,4,4,173, Ive seen the exhibition Its a bit complicated structure so I think more information boards are needed I think there are a few restaurants so its good to use them ,4,need,전시를 봤어요 구조가 조금 복잡해서 안내판이 더 필요할 것 같아요 식당이 몇 군데 있으니 이용하시면 좋을 것 같아요
5,5,5,353,"Seoul - a city of 24 hour fried chicken, beer and shoju with ladies shopping non stop till 5 am in 8-9 Stories malls of shops including basement shopping.  Important note to Seoul :- Come with empty luggage as you don’t need clothes, masks or cosmetics ! You can shop till you are broke. Always bring cash in Won or $$.  Tips for shopaholic: - Remember you can always go back to hotel to shower and re-consider that dress and go back to the mall at 3 am to buy and then celebrate the great achievements of full luggage and extra luggage and then have a late supper of fried chicken with beer after.  Most important- Download Naver map as Google map don’t work in Seoul !",5,need,"서울 - 지하 쇼핑을 포함한 상점의 8-9 Stories 쇼핑몰에서 오전 5시까지 여성들이 논스톱으로 쇼핑하는 24시간 프라이드 치킨, 맥주, 소주의 도시. 서울 주의사항 : - 옷, 마스크, 화장품이 필요없으니 빈 가방을 가지고 오세요! 파산할 때까지 쇼핑할 수 있습니다. 현금은 항상 원 또는 $$로 지참하십시오. 쇼핑 중독을 위한 팁: - 항상 호텔로 돌아가서 샤워를 하고 그 드레스를 다시 생각하고 새벽 3시에 쇼핑몰로 돌아가 쇼핑을 한 다음 전체 수하물과 추가 수하물의 위대한 업적을 축하하고 늦은 저녁 식사를 할 수 있음을 기억하십시오. 후 맥주와 함께 프라이드 치킨의. 가장 중요한 것 - 네이버 지도를 구글맵으로 다운받으시면 서울에서 작동하지 않습니다!"
6,6,6,358,"Interesting building but inside there was a huge hall with many unusual chairs which I suppose were interesting but not particularly inspiring. The interior is worn and in need of renovation, all in all it seemed like a bit of a white elephant",6,need,흥미로운 건물이지만 내부에는 흥미롭지 만 특별히 영감을주지는 않는 많은 특이한 의자가있는 거대한 홀이있었습니다. 내부는 낡았고 수리가 필요합니다. 전체적으로 약간의 흰 코끼리처럼 보였습니다.
7,7,7,419,We went DDP for photostop only. I think we just need 1 hour to explore this place. There are some foodtrucks in December 2018.,7,need,우리는 포토스탑 전용 DDP로 갔습니다. 나는 우리가 이 장소를 탐험하는 데 단지 1시간이 필요하다고 생각합니다. 2018년 12월 일부 푸드트럭이 있습니다.
8,8,8,501,"What a fantastic idea. So much creativity to see and on the day we went, there was an African food market. Typical Seoul to always be thought provoking and creative. Great coffee shop inside if you need to shelter from the heat (or cold) too.",8,need,정말 환상적인 아이디어입니다. 너무 많은 창의력을 볼 수 있었고 우리가 갔던 날에는 아프리카 식품 시장이있었습니다. 항상 생각하게 하고 창의적으로 만드는 전형적인 서울. 더위(또는 추위)를 피해야 하는 경우에도 내부에 있는 훌륭한 커피숍입니다.
9,9,9,510,"No doubt DDP is one of the most interesting sites to see in Seoul. Designed by famed Iranian architect Zaha Hadid, DDP is a fascinating contradiction to the squarish city that is Seoul. To really appreciate the marvel, visitors need to spend at least half a day walking and discover all its nooks and crannies.",9,need,의심의 여지 없이 DDP는 서울에서 볼 수 있는 가장 흥미로운 사이트 중 하나입니다. 이란의 유명한 건축가 자하 하디드(Zaha Hadid)가 설계한 DDP는 사각 도시인 서울과 매혹적인 모순입니다. 그 경이로움을 진정으로 감상하려면 방문객들은 적어도 반나절을 걷고 모든 구석구석을 발견해야 합니다.
