,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,38, After Corona many stores are missing so there is nothing to see and nothing to shop ,0,nothing,코로나 이후 많은 가게들이 없어져서 볼 것도 없고 쇼핑할 것도 없다
1,1,1,52,Dont plan to go there during national holidays like the Lunar New Year 90 of the shops and restaurants were closed On the good side at least it wasnt crowded We just happened to be there not planned and just realized that nothing to see,1,nothing,설날과 같은 공휴일에는 거기에 갈 계획이 없습니다. 90개의 상점과 레스토랑이 문을 닫았습니다. 적어도 붐비지 않았습니다.
2,2,2,244,Literally nothing much left. Food is still buzzing but shopping and street vendors are really sad... Not worth coming anymore.,2,nothing,말 그대로 얼마 남지 않았습니다. 음식은 여전히 ??붐비지만 쇼핑과 노점상은 정말 슬프다... 더 이상 올 가치가 없습니다.
3,3,3,320,Very interesting place to wonder around. So many shops and side streets full of shops. So many Korean beauty products and also Tom’s flavoured Almond shops. Also there is also a big Art box here as well. It gets busy during the day but that is nothing compared to nighttime when all the street food vendors come out. Please be careful because people will just push and shove when it’s really busy. That being said we still loved the place. Go and enjoy all it has to offer.,3,nothing,주위를 궁금해하는 매우 흥미로운 장소. 많은 상점과 상점으로 가득한 골목길. 한국 미용 제품이 너무 많고 Tom 's Flavored Almond 매장도 있습니다. 또한 여기에도 큰 아트 박스가 있습니다. 낮에는 북적거리지만 노점상들이 다 나오는 밤에 비하면 아무것도 아니다. 사람들이 정말 바쁠 때 밀치고 밀치기만 하니까 조심하세요. 그 말은 우리는 여전히 그 장소를 좋아했습니다. 가서 모든 것을 즐기십시오.
4,4,4,396,"Many shops with cheap stuff, a lot of face masks and cosmetics etc. Been there 1 hour nothing interesting",4,nothing,"저렴한 물건, 많은 안면 마스크 및 화장품 등이있는 많은 상점. 1 시간 동안 흥미로운 것이 없었습니다."
5,5,5,444,"With expectations set pretty high after watching loads of Youtube videos on this neighborhood, I was understandably left feeling 'eh' about it after getting a chance to experience this for a few days.  First off, I loved the vibe of the neighborhood, despite how crowded it became every night. That said, the neighborhood actually is not that big - two main thoroughfares, primarily, each maybe 4-5 blocks long. Lots of side streets with other shops and food options, but the main action really is on the thoroughfares. Lots of cosmetic shops, lots of cheap clothing of the Forever 21 quality level.  The street food was very much hit or miss, nothing completely mind blowing. Lots of repeat stands, but note that not all the stands have the same quality. I tried to use the length of the lines for each as a rough gauge on how good the stand may be - also a hit or miss approach.  Two tips and heads up (literally): - there are a lot of hidden eateries, cafes, and shops in all the buildings above ground level. really pay attention and look up to see what you may be missing out on! I found a few cafes that I loved - grab a coffee and a window seat and you can people watch all the action down below for awhile - garbage cans are really hard to come by. stay with the vendor you purchase food from and chuck your garbage with them after you're done, or come prepared",5,nothing,"이 동네에서 수많은 Youtube 비디오를 본 후 기대치가 꽤 높아진 상태에서 며칠 동안 이것을 경험할 기회를 얻은 후 나는 당연히 그것에 대해 '어'를 느꼈습니다. 우선, 나는 매일 밤 얼마나 붐볐음에도 불구하고 동네의 분위기를 좋아했습니다. 즉, 이웃은 실제로 그렇게 크지 않습니다. 두 개의 주요 도로, 주로 각각 4-5블록 길이입니다. 다른 상점과 음식 옵션이있는 많은 골목길, 그러나 주요 활동은 실제로 도로에 있습니다. 많은 화장품 가게, Forever 21 품질 수준의 많은 값싼 의류. 길거리 음식은 아주 많이 히트하거나 놓쳤습니다. 반복 스탠드가 많지만 모든 스탠드의 품질이 동일한 것은 아닙니다. 나는 스탠드가 얼마나 좋은지 대략적인 척도로 각 라인의 길이를 사용하려고 노력했습니다. 두 가지 팁과 주의사항(문자 그대로): - 1층 위의 모든 건물에는 숨겨진 식당, 카페, 상점이 많이 있습니다. 정말로 주의를 기울이고 무엇을 놓치고 있는지 찾아보십시오! 나는 내가 좋아하는 몇 개의 카페를 찾았습니다. 커피와 창가 자리를 잡고 잠시 동안 아래에서 모든 활동을 볼 수 있습니다. 쓰레기통을 찾기가 정말 어렵습니다. 음식을 구입한 공급업체에 머물고 음식을 마친 후 쓰레기를 버리거나 준비를 하십시오."
6,6,6,462,Shopping street bustling with tourists and locals alike. Worth a visit... or 2... street food was expensive and had nothing to shout about though,6,nothing,관광객과 현지인으로 붐비는 쇼핑 거리. 방문할 가치가 있는 ... 또는 2... 길거리 음식은 비싸고 외칠 것이 없었습니다.
7,7,7,531,"This is probably the best street if you want to have some shopping in the very city center of Seoul. There're lot of stores, bar, cafe and restaurants, but in my opinion the fashion stores are too commercial and nothing special, they don't represent a good picture of the Korean style. Besides prices are higher compared to the other stores and bar that you can find in the city. Very recommended to young people or to people who like this kind of commercial tourism!",7,nothing,"서울 도심에서 쇼핑을 하고 싶다면 이곳이 가장 좋은 거리일 것입니다. 많은 상점, 바, 카페 및 레스토랑이 있지만 내 생각에 패션 상점은 너무 상업적이고 특별하지 않으며 한국 스타일의 좋은 그림을 나타내지 않습니다. 게다가 가격은 도시에서 찾을 수 있는 다른 상점과 바에 비해 높습니다. 젊은 사람들이나 이런 종류의 상업 관광을 좋아하는 사람들에게 매우 추천합니다!"
8,8,8,580,I expected much more from this place. It was basically streets of lots of facial stuff and nothing much more. The clothing and other stuff like electronics are sooo limited. Was a disappointment for me,8,nothing,나는이 장소에서 훨씬 더 많은 것을 기대했습니다. 그것은 기본적으로 많은 얼굴 재료와 그 이상은 아무것도 없는 거리였습니다. 의류 및 전자 제품과 같은 기타 물건은 너무 제한적입니다. 나에게는 실망이었다
9,9,9,619,"Our apartment rental is right on the edge of this large night market, and we have spent our first two nights wandering through the streets here, just taking it all in. It’s full of people and awesome little shops and stalls. Just looking down the streets with all the lights and visual clutter makes you want to take a photo every five minutes. There’s nothing like this in the states!",9,nothing,"우리 아파트 임대는 이 큰 야시장의 가장자리에 있으며, 우리는 처음 이틀 밤을 여기에서 거리를 배회하면서 보냈습니다. 모든 것을 들이고 있었습니다. 그것은 사람들과 멋진 작은 상점과 포장 마차로 가득합니다. 모든 조명과 시각적 혼란으로 거리를 내려다보는 것만으로도 5분마다 사진을 찍고 싶어집니다. 주에는 이런 것이 없다!"
