,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,3, It is a traditional market for a long time and it was good to have delicious braised cutlassfish and grilled fish ,0,long
1,1,22, After visiting after a long time I looked around the market and ate delicious braised cutlassfish and grilled samchi Today too Delicious braised cutlassfish and steamed egg ,1,long
2,2,37, Braised cutlassfish dinner at the alley It was nice to go to Namdaemun after a long time ,2,long
3,3,112, Seoul City Hall Seoul Station and Myeongdong It has a long history as a traditional market in Korea and Namdaemun the national treasure No 1 Namdaemun Market has souvenirs various wholesale and retail stores ,3,long
4,4,126, Compared to rumors about dumplings the hassle of having to stand in long lines for jeans and a famous dumpling restaurant is a bit sad ,4,long
5,5,132, Its been a long time since Ive seen a lot of people and lively ,5,long
6,6,149, long time no hear I liked that it was cheap to buy clothes ,6,long
7,7,196, Its a fun city if you treat it properly and get along with it ,7,long
8,8,209,The market feels a little dated but that may be its charm Huge number of stores lined up alongside roads and alleys Food options were limited when we visited on Sunday afternoon Fashion was a little previous generation Kalguksu and bibimbap were good,8,long
9,9,211, Ive been to Namdaemun Market in a long time It seems to be the same as in the old days but it hurts my heart to be quiet due to Corona so I hope those days when it was prosperous soon come ,9,long
10,10,224,Great place for street shopping must visit along with dondaemun which is like 3 km from here,10,long
11,11,226, After checkin at LEscape I wandered around to take a look Its been a really long time since Ive visited but there are places that are the same as before some places that are cleaner and its nice to see the ,11,long
12,12,233, How long have you been going Early morning visit to Namdaemun Market Lets make shopping fun ,12,long
13,13,287,"A local market where you can find many shops selling souvenirs, snacks and fashion. It includes many streets with different zones. Enjoy strolling along the streets.",13,long
14,14,301,This market is ideally located and can easily be found . It is long stretch of market stalls that would fit everyone's liking. Prices here are affordable compared to other markets i've been to in Seoul. Vendors may not speak fluent English but will still accommodate every buyers inquiries.,14,long
