,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,48,They need to announce that 10000 won for admission is for the museum only,0,need
1,1,134,I visited here for the first time in few years There were lots of things and places to see and enjoy before But this time its not same with it was back in 2018 due to the covid19 It seems to need some times to recover the normal ,1,need
2,2,141, the architecture is good Redefine internal planning I need to expand things to see buy experience etc ,2,need
3,3,167, Unfriendly guidance Its free No order Sorry Staff needs smooth flexibility ,3,need
4,4,173, Ive seen the exhibition Its a bit complicated structure so I think more information boards are needed I think there are a few restaurants so its good to use them ,4,need
5,5,353,"Seoul - a city of 24 hour fried chicken, beer and shoju with ladies shopping non stop till 5 am in 8-9 Stories malls of shops including basement shopping.  Important note to Seoul :- Come with empty luggage as you don’t need clothes, masks or cosmetics ! You can shop till you are broke. Always bring cash in Won or $$.  Tips for shopaholic: - Remember you can always go back to hotel to shower and re-consider that dress and go back to the mall at 3 am to buy and then celebrate the great achievements of full luggage and extra luggage and then have a late supper of fried chicken with beer after.  Most important- Download Naver map as Google map don’t work in Seoul !",5,need
6,6,358,"Interesting building but inside there was a huge hall with many unusual chairs which I suppose were interesting but not particularly inspiring. The interior is worn and in need of renovation, all in all it seemed like a bit of a white elephant",6,need
7,7,419,We went DDP for photostop only. I think we just need 1 hour to explore this place. There are some foodtrucks in December 2018.,7,need
8,8,501,"What a fantastic idea. So much creativity to see and on the day we went, there was an African food market. Typical Seoul to always be thought provoking and creative. Great coffee shop inside if you need to shelter from the heat (or cold) too.",8,need
9,9,510,"No doubt DDP is one of the most interesting sites to see in Seoul. Designed by famed Iranian architect Zaha Hadid, DDP is a fascinating contradiction to the squarish city that is Seoul. To really appreciate the marvel, visitors need to spend at least half a day walking and discover all its nooks and crannies.",9,need
10,10,554,"I can say we were lucky because in our everyday itinerary we need to pass by in Dongdaemun Design Plaza. The modern, amazing architecture is simply picture perfect. We had the opportunity to view this beautiful architectural work both day and night. This is near Dongdaemun shopping district/market. It is worth your time to visit if you happen to be in Seoul.",10,need
11,11,626,it's an architectural master piece in my eyes. Never seen something like this anywhere. I love the night market and truck food. LED rose lights at night makes it charming enough. Head to 'Dongdaemun history and cultural park' station for direct access.  'Dongdaemun' station is next station and you might need to walk back to reach there.  Outside of DDP there are lots of shop and the famous Migilore and Doosan shops. Eat n shop,11,need
12,0,12,This is a very nice place and big surrounding many reknown shopping market,12,surrounding
13,1,132, Ive been gone for decades Since I went to Allman the surroundings have changed a lot There is an exhibition about Tim Burton in Design Plaza ,13,surrounding
14,2,197, The night view is beautiful and it is located in the middle of walking distance to the surrounding tourist attractions in Seoul If you are tired it is a good place to go to another place by public transport ,14,surrounding
15,3,270, good unique building structure I dont fit in well with my surroundings ,15,surrounding
16,4,295,Nothing much here but nice walk around. It surroundings by few shopping complex which offering various types of things. There is food truck (night market) and performances during weekend if not mistaken. Please check before you go.,16,surrounding
17,5,306,"A truly impressive futuristic, sci fi looking complex that deserves a wow factor on first impression especially if you just exited the subway stop. The grounds and surrounding area are massive you could easily spend two days exploring this area as it also includes historical Dongdaemun wall and gate parkway etc. The DDP is an art gallery design complex that has numerous spaces and rooms for outdoor performances and conferences. Another interesting factor that there are archelogical finds surrounding the complex area that was unearth during construction and this has been integrated into the overall area. This is an outstanding architectural design complex that is impressive when viewed both during the daylight and evening hours.",17,surrounding
18,6,307,"This beautifully designed building is part of the Design Plaza, with regularly exhibitions and performances. There is a small food court area and with few cafes around the basement level of the Plaza. It is also a good place to wait for the HopOn HopOff tour buses which makes DDP their main stop for both lines.... Right across the street and surrounding areas are 5-6 large department stores, some which are opened till 4-5am.",18,surrounding
19,7,320,The design is breathtaking - and very massive. The surrounding areas offer a lot of cool shopping and eating spots.,19,surrounding
20,8,328,"This is a fascinating building which looks great from pretty much any angle. There didn’t seem to be an awful lot to do there - a small shopping arcade & a gallery for exhibitions plus some historic remains in the grounds with a small museum - but we spent an hour or so there, then went and ate in the arcades nearby then came back once it was dark when it looked even better. It reflects the light from surrounding buildings & looks quite otherworldly. Well worth a brief visit.",20,surrounding
21,9,351,"This place simply has to be seen to be appreciated. The design is on a large staggering scale and surprises when compared to the many tiny alleyways that are in surrounding neighbourhoods. The fashion malls in the area are unbelievable in terms of number of shops, selection and pricing.",21,surrounding
22,10,373,this design plaza is a sleek soft metal building with surrounding galleries shops & restaurants which is all very interesting and fun for the entire family! there is also the river close by below ground level to explore or picnic‼️👍,22,surrounding
23,11,379,"This building was full of curves and flowing lines that made it one of the coolest buildings we visited. Inside an almost all white walkway spiraled up to the top floor making for a long walk along the outer circumference of DDP. A staircase with an oddly angled and brown contrasting steps brought us back down.  The building and surrounding areas were open 24 hours a day. I walked around for free inside but to visit any of the exhibits or museums you just had to pay an admission fee (roughly W16000 for adults). On the ground floor was a temporary exhibit on Disney animation which seemed to be quite popular. There also was a Disney store and lots of silkscreened animation scenes from the likes of Frozen, Big Hero 6, and Moana. On the second floor was an art museum. On the third floor was a children’s play area, some collaboration space and on the roof, a viewing area and a cafe. In the back was a lush landscaped area with seating, a piano and various art pieces. In the front was a large courtyard where lots of people were congregated.  My daughter previously visited during the nighttime and enjoyed seeing the building lit up. We will have to visit again.",23,surrounding
24,12,415,"The architectural design is very unique by following the contour of the surroundings.  The thousand led flower lighting was mesmerising in the evening and is great for photography!  In addition to near metro station, there are nice shops and restaurants there as well.",24,surrounding
25,13,440,"Dongdaemun design plaza designed by Zaha Hadid is beautiful and futuristic with curvaceous forms. There is artwork exhibited, a cafe and much more. I enjoyed walking around it and admiring the beatiful forms. There are also other stores and restaurants in the surrounding area.",25,surrounding
26,14,526,"I only spent a while here because of time restriction, but if you wait until evening, the food truck will be open for business, and the surrounding will be lit. Inside, there are lots of exhibits and art market. On the top floor, they have a beautiful roof top garden and some restaurants. Definitely an artsy place I would recommend if you love art and design!",26,surrounding
27,15,529,The place itself it’s amazing and the expositions inside are changing constantly and very interesting. We were there for the Fashion week and the location fitting amazingly with the event. One of my favorite places of the area. The surroundings have a lot of cool places to visit too,27,surrounding
28,16,533,"At first glance, the DDP looks like a set from a sci-fi movie (more like a giant space ship). The building has a very modern and futuristic design so it makes a very nice background for photos. Don't forget to go to the back for the LED roses which light up at night. There are not too many shops inside the building, though. But there are a lot of stores surrounding the DDP where you can do your shopping. Worth the visit.",28,surrounding
29,17,547,"Not really a big attraction, but it does have dining options and a interesting area for photos at night. The LED rose garden is worth seeing at night without it being too crowded. It is tucked away in the back of the building with stone walls surrounding making for architecturally intriguing photos. When Seoul Fashion Week is held here it is great place for people watching.",29,surrounding
30,18,577,Just the building and the surrounding area alone are worth a visit. There weren't many exhibitions going on when we were there though so the design shop was actually the most interesting thing inside with so much cute anime or kpop inspired things or design pieces.,30,surrounding
31,0,67, Its complicated and the exhibitions are good but theres nothing to eat or play after its finished ,31,nothing
32,1,120, I go when there is an exhibition but there is nothing to do inside except for the exhibition They all go around ,32,nothing
33,2,125, Theres nothing to do its hard to find the way theres too much space but its good because there are a lot of UD library books ,33,nothing
34,3,155, Theres nothing that catches my eye but its just a place where you can comfortably ride Ttareungi in Seoul ,34,nothing
35,4,247,This place is like from a different planet or from a science fiction movie You can see a thousands of pictures but nothing is like the reality It will hit your eyes your brain and your heart but you will still not easy to believe what ,35,nothing
36,5,356,Cool place but nothing special other than the building itself. Stores and restaurants inside is like any other typical shopping area. A place to stopby while you shop and dongdaemun.,36,nothing
37,6,407,I think this place is a worthwhile place to visit while in Seoul. The building is nothing like I’ve seen before. Easy access via subway,37,nothing
38,7,414,"Very nice place, took a picture of it and check in to Facebook! Alot of people as well so it's nice. Other than that, nothing much",38,nothing
