,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,38, After Corona many stores are missing so there is nothing to see and nothing to shop ,0,nothing
1,1,52,Dont plan to go there during national holidays like the Lunar New Year 90 of the shops and restaurants were closed On the good side at least it wasnt crowded We just happened to be there not planned and just realized that nothing to see,1,nothing
2,2,244,Literally nothing much left. Food is still buzzing but shopping and street vendors are really sad... Not worth coming anymore.,2,nothing
3,3,320,Very interesting place to wonder around. So many shops and side streets full of shops. So many Korean beauty products and also Tom’s flavoured Almond shops. Also there is also a big Art box here as well. It gets busy during the day but that is nothing compared to nighttime when all the street food vendors come out. Please be careful because people will just push and shove when it’s really busy. That being said we still loved the place. Go and enjoy all it has to offer.,3,nothing
4,4,396,"Many shops with cheap stuff, a lot of face masks and cosmetics etc. Been there 1 hour nothing interesting",4,nothing
5,5,444,"With expectations set pretty high after watching loads of Youtube videos on this neighborhood, I was understandably left feeling 'eh' about it after getting a chance to experience this for a few days.  First off, I loved the vibe of the neighborhood, despite how crowded it became every night. That said, the neighborhood actually is not that big - two main thoroughfares, primarily, each maybe 4-5 blocks long. Lots of side streets with other shops and food options, but the main action really is on the thoroughfares. Lots of cosmetic shops, lots of cheap clothing of the Forever 21 quality level.  The street food was very much hit or miss, nothing completely mind blowing. Lots of repeat stands, but note that not all the stands have the same quality. I tried to use the length of the lines for each as a rough gauge on how good the stand may be - also a hit or miss approach.  Two tips and heads up (literally): - there are a lot of hidden eateries, cafes, and shops in all the buildings above ground level. really pay attention and look up to see what you may be missing out on! I found a few cafes that I loved - grab a coffee and a window seat and you can people watch all the action down below for awhile - garbage cans are really hard to come by. stay with the vendor you purchase food from and chuck your garbage with them after you're done, or come prepared",5,nothing
6,6,462,Shopping street bustling with tourists and locals alike. Worth a visit... or 2... street food was expensive and had nothing to shout about though,6,nothing
7,7,531,"This is probably the best street if you want to have some shopping in the very city center of Seoul. There're lot of stores, bar, cafè and restaurants, but in my opinion the fashion stores are too commercial and nothing special, they don't represent a good picture of the Korean style. Besides prices are higher compared to the other stores and bar that you can find in the city. Very recommended to young people or to people who like this kind of commercial tourism!",7,nothing
8,8,580,I expected much more from this place. It was basically streets of lots of facial stuff and nothing much more. The clothing and other stuff like electronics are sooo limited. Was a disappointment for me,8,nothing
9,9,619,"Our apartment rental is right on the edge of this large night market, and we have spent our first two nights wandering through the streets here, just taking it all in. It’s full of people and awesome little shops and stalls. Just looking down the streets with all the lights and visual clutter makes you want to take a photo every five minutes. There’s nothing like this in the states!",9,nothing
