,index,Unnamed: 0,서울대공원부정단어리뷰,index,단어
0,0,32, The air conditioner is not cool these days but there is nothing like it in terms of multishopping ,0,nothing
1,1,198,"I agree with most that the architectural display out side the Starfield COEX Mall is impressive to say the least. But inside? That's another story. Low ceilings, very dole and depressive. We felt as encased for a lack of better words.  It does not represent inside the modernistic approach from the outside. The quality of the stores are really average and we believed that a structure of this kind would have design better stores and with better choices. Most things once again, cheap Chinese stuff, disposable value items and again the infantile South Koreans with stores filled with teddy bears (for adult people) cute cartoon printed made in China socks (for adults) and the distribution of the stores....very confusing.  Not a well planned mall and nothing to offer except for the Starfield Library, which is really pretty and impressive. Two floors library with lots of colors and places to eat. Basically the only highlight of the Starfield COEX Mall which is pretty average.  Except for the Starfield Library which you can access directly from the streets, the rest of the mall is a waste of pure time. Not recommended.",1,nothing
2,2,255,"Coex is very huge mall with lots of shops, restaurants and entertainment places like cinema, aquarium etc. However the best thing about this mall is the amazing libaray in the middle of the mall. If you tired after lots of walking at the mall, you can relax at the library even though most if the books in Korean. Shops are ordinary, nothing is unique and most of them is Korean product.",2,nothing
3,3,297,This mall in gangnam area and it far from my Hotel Lotte city.In my opinion this mall is waste of time nothing especial and you can not compare it with lotte department store.It too expensive.This place is good for meeting not shopping.In fact this place was huge mall before change it.I will not come back,3,nothing
4,4,340,"This is a big serpentine mall, lots of stores, nothing really special, bring crumbs to find your ay out!",4,nothing
5,5,405,It's a big mall. It's very modern. You can find everything and nothing at the same time. It's way too big. As a tourist this was not for me. I think it doesn't showcase the Korean culture. I don't know. I'm not a mall person I just came here because I had to see it for myself since it was my first time in Korea and it was on my way back from gangnam.  Skip this place if you don't have much time in Seoul. Come here if you have plenty of time.,5,nothing
6,6,461,"After reading all the rave online reviews of coex mall, we decided to visit it.But our visit was quite a letdown.The mall was pretty empty and looked quite outdated.Aside from the aquarium and duty free shop, there was really nothing much to see.Would recommend that you only visit this place if there are any ongoing exhibitions or showcases otherwise it is not worth the time.",6,nothing
7,7,470,"This is a huge mall with almost anything a person would need. It is very convenient if you live in the area, but nothing special.",7,nothing
8,0,27, I visited COEX in Samseongdong on a business trip and it was good ,8,visited
9,1,137, Its been a while since Ive visited Its been a while but the clean facilities were good ,9,visited
10,2,195,"会議での利用（大ホール）。 COEXモール内には、ショップ、水族館、図書館があります。 図書館は、本を提供する体制というより、内装や雰囲気重視で外国人的には見ごたえあります。  I visited for meeting (large hall). There are shops, aquariums and libraries in the COEX Mall. Libraries are more attractive to foreigners because of their emphasis on interior and atmosphere rather than the system of providing books.",10,visited
11,3,211,"Must the the most tourists-visited library in the world. A must-see, surely. Not large but the design is unique and visitor friendly. Rest of mall is quite standard with usual shops. There is an aquarium too.",11,visited
12,4,212,"We visited Starfield Coex Mall on a Sunday noon in September 2019 . Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge walls are lined with books as well. The library is very spacious with many seats available for reading and browsing pleasure. Besides the amazing library, Starfield Coex is a modern mall with everything shoppers need for fashionwears & accessories and services for all ages and also plenty of dinning choices. Understand that within this hige mall, there convention halls, cinema and aquarium. We didnt explore much as we were heading for other destinations given our short stay in Seoul. It is a beautiful Mall and l would love to return for another visit for this is a place to make me smile , especially the lovely iconic library .",12,visited
13,5,242,We were staying near by and visited the mall frequently for shopping and dining. Great mall. Super clean. Lots to do and see.,13,visited
14,6,252,"We have limited time visiting Korea but we made sure to visit Coex. We visited Coex near closing time so we went straight to the library. I love the library, it is a good place just to rest and read. I can spend my entire day here. I will surely go back here.",14,visited
15,7,266,Specifically visited here just to see the Library within this shopping mall!! It was wonderful to be surrounded by so many books and so many people reading!! The glass roof is a great addition for those studying below. I'd love to know how they reach the ones at the top!!,15,visited
16,8,288,"We only visited here for the Brick Live Lego shop. During our short visit, it seems the mall has events at their exhibition halls.  In addition to restaurants, there were McD and other fast food joints. Mall is connected to the Seoul metro.",16,visited
17,9,300,"After visiting SM Town, we visited the COEX mall next door and decided to grab lunch at one of the many restaurants located inside. The mall is massive: there are lots of stores and restaurants that we didn't have time to check out. What I liked about this mall was the underground passage that connected to the mall. We were there during Christmas and it was snowing, but due to the underground walkways we were able to cross to the other side without any difficulties from the weather.",17,visited
18,10,308,"C1 ( 2017.04.13 ) I visited this shopping mall because I want to buy some books. There had many facilities like restaurant, shop, book store and theater, etc. Many brand shop and food court was operating, too. All was good with good atmosphere, but there was confused because of complicated load. Need detailed road sign, I think.",18,visited
19,11,310,Ok I wouldn't call it the hidden gem of Seoul . The shops are expensive and I wouldn't have even visited the place if it weren't for a meeting near by. The duty free Lotte mall attached to it demands not only your passport but the return e tickets before letting you buy anything.. so if you want something from there keep the required documents with you.,19,visited
20,12,326,"visited here since it's one of the biggest malls in korea. wasn't really too impressed by the shopping. but if you're an SM fan, there's an SM Coex Artium area which has a shop (usually packed with fans) and all sorts of other things to do. Also there's a city airport on level 1 that has a money changer that provides pretty decent rates.",20,visited
21,13,333,"One of the interesting places to visit in Seoul is the COEX Mall.I would say don't miss it. The best way to get there from the city center, if you are taking the subway, is to take line 3(the orange line). Line 2(green line) will also take there, but line 3 takes less than 25 minutes.Take line 3 to Seoul university station and then take line 2 to Samseong station. Whenever you get out of the train look at the station and vicinity map posted on the platform to see the closest exit to the mall. As you enter the mall, make a right and you will see the information desk and a virtual interactive map of the layout of the mall.Check this out before you start exploring the place. Check the various restaurants and the food court before you decide to eat. Believe me, you wouldn't want to miss out on some of the best food in Seoul, all under one roof. Also check out the various retail shops, just browse, even if you don't buy anything, this would be an interesting experience. Once you are done with the mall, check out the area around the mall. There is always something going on.When I visited in September, there was a free K-pop concert ( Korea Sale Festa) going on near the mall.",21,visited
22,14,338,"This mall is very much like every other mall. There is a very good variety of shops and it has all the major skincare brands and make up brands. The clothes shops are also very trendy and cool.  The food malls have a large variety to choose from, the is halal food for Muslims, which is very convenient and new. Last time I visited almost 2 years ago, the wasn't any halal places to eat. Now there is, which I am very happy about!  The staff are very helpful and friendly. The location is very easy to find, right next to Samseong station.  The mall is located in a very nice area, very up and coming!",22,visited
23,15,354,"When we visited this mall I kept wondering: maybe it's just because I am an American. We walked and walked and walked and we never found really much of anything. It was very strange. And then we would find ourselves in a giant, empty convention-hall lobby? All malls in Korea are not like this: we found several other malls to be sensibly laid-out and easy to navigate. Not so at the COEX Mall.",23,visited
24,16,425,"The mall is located near the Samseong Metro station. This mall failed to impress us for numerous reasons. First of all, it's completely underground and feels totally claustrophobic. Secondly, it's incomplete and large parts of it are still being built. But most importantly - we visited the mall during the summer and parts of it (especially the parts still being built and renovated) were not air-conditioned. This resulted in unbearable temperatures inside the mall and the lack of ventilation plus the mass of people there made the entire experience uncomfortable, to say the least. While there are a lot of eateries around the malls, an aquarium, many shops, cinemas and pharmacies, we still could not escape but feel its gloomy atmosphere.",24,visited
25,17,434,"I had a convention on COEX and I had little chance to visit the mall. Before I came to Seoul I heard that COEX mall is one the famous indoor shopping mall. But when I visited there, they were having renovation. Most of the shops were closed. Hmmm... But still you can find some shops opened. It would be very convenient if the weather is bad. But it's worth vising for those of you who have conference or business in COEX but if not, I recommend you to visit Garosu-gil instead.",25,visited
26,18,444,"Very huge mall with many shopping as well. But we didn't shop much as most are retail and departmental stores. They're better shopping areas like hongdae, ewha uni etc. We came to COEX mall for Marche, as it's world's no.1 marche which serves buffet! One pax for 23000W, what a good deal! And it's near Lotte World as well. I would recommend coming here if you're heading to Lotte World to have the marche buffet, if not probably not worth coming to the end of Jamsil Station. If you've visited my profile, you will read more details in my blog. xx",26,visited
27,19,460,"I visited the COEX mall after reading great reviews. Unfortunately there are major renovations happening until early 2014, and as a result there is not a lot to do. There are still some shops open, as well as the acquarium and cinemas, but there are better shopping areas available in Seoul. I think this will all be rectified when the renovations are complete",27,visited
28,20,464,"After visiting Lotte Myeongdong the night before, we went to Coex with anticipation. Coex Mall was huge with a few malls and departmental stores joined together in the underpass. However, the place had just begun its refurbishment when we visited and many shops and restaurants were closed since end Mar. Megabox cineplex, the Aquarium, Lotte Duty Free and the big bookstore were still opened. There were only limited local dining options. Coex looked like a mall from the 80s. The public bathrooms stink. Yes, Coex NEEDS the refurbishment.  We were quite disappointed by the Coex experience, really. Wish the hotel concierge could have told us and saved us the time (45 mins in evening peak traffic) to cab there from Gangbuk.",28,visited
29,0,9,liked the fact it was huge not much to shop here though but worth a look around,29,much
30,1,53, It feels much brighter and cleaner But I still need to fill it up more so one point is deducted ,30,much
31,2,127, I love this place There is so much here and everything is firstclass and creative ,31,much
32,3,145,So much to do and see but not much shopping even tho there r tons of shops,32,much
33,4,146, At Coex Plaza we can buy clothes sweaters household needs etc at several shops at a reasonable price not much different from in Jakarta Like Uniqlo the price is not much different I like to buy a discount is ,33,much
34,5,209,"Starfield at COEX is one of the best malls in Seoul, quite large, lots of choice of shops and restaurants. It is one of two co-joined malls, also with two hotels, movie theater and much more. One can easily spend half a day there. So large that it is at times easy to get lost but lots of signage helps. Whenever we are in Seoul we go to this mall to stroll around and see whats new and interesting as well as to have a nice meal. Really one of the best in the city.",34,much
35,6,212,"We visited Starfield Coex Mall on a Sunday noon in September 2019 . Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge walls are lined with books as well. The library is very spacious with many seats available for reading and browsing pleasure. Besides the amazing library, Starfield Coex is a modern mall with everything shoppers need for fashionwears & accessories and services for all ages and also plenty of dinning choices. Understand that within this hige mall, there convention halls, cinema and aquarium. We didnt explore much as we were heading for other destinations given our short stay in Seoul. It is a beautiful Mall and l would love to return for another visit for this is a place to make me smile , especially the lovely iconic library .",35,much
36,7,223,"Coex mall is pretty much Korea's version of the mall in the states. Not just western designer such as Zara and H&M, but the layout is not your typical Korean style mall. Building is long instead of tall. I do recommend to come here at least once for the amazing library design. Stores are ok but the library has amazing layout with gorgeous backdrop. Also a good place to come if it rains.",36,much
37,8,240,Seoul is famous for its markets but you can have a more relaxed shopping experience in Coex. I'm not much into fashion but I can stay for HOURS in the home section in ALand. It's got a huge collection of items from Flying Tiger Copenhagen which I love because they're fun and funky and oh so cheap. The food court offers a wide range of choices too!,37,much
38,9,245,"Given this mall is spread so wide, it will take much walking to cover the grounds. You will find all your known brands inside. They even have an aquarium but will need entrance fees @ 28k won to enter. Lots of restaurants and cafes as well.",38,much
39,10,263,"Housing the largest underground mall in Asia, this place served as a great respite from the blistering 2018 summer heat. You will find plenty to do here - there is even a library! There are also plenty of familiar names for shopping. Having come here with the family, my wallet was very much lighter when we left!!",39,much
40,11,298,"This mall is nearby to gangnam gu area. Its a huge underground shopping complex which is a part of much bigger coex convention centre. The famous coex aquarium is situated within this mall. This mall has many entrance gates. It remains open till 10 pm (some of the shops start closing at 9:30 pm) after that only the restaurants remain open till 11. Many of the good restaurant s too close by 9:30 pm. So its better to visit this mall early in the evening. This mall houses many local as well as international brands. It is also a good place to buy some souvenirs though it will be a little costly. There are varieties of restaurants serving different cuisines of the world. One can get Korean, Japanese, European, Italian, American, Indian & Mediterranean restaurants there.",40,much
41,12,301,"best place to shop in one location - much better than meong-deong or dongdemun. Has some most major stores, an aquarium and a massive library/attrium. Foods, shops, cinema. Massive area.",41,much
42,13,302,"Yes, it is large, but the walking areas are very broad and the stores are big too, so there weren't as many shops as I expected. Overall I found it to be sterile and uninteresting. I had a much better shopping and people-watching experience at the Lotte World Tower and Mall place.",42,much
43,14,321,"It's busy, expensive, and has everything you might ever want at a considerably higher price than you'd likely find in pretty much any other country in Asia, but if you have that European or American ""itch you can't scratch"" this is the place for you. They also have lots of great restaurants and don't forget to visit the Aquarium and KPop Museum (if that doesn't make your ears bleed).",43,much
44,15,338,"This mall is very much like every other mall. There is a very good variety of shops and it has all the major skincare brands and make up brands. The clothes shops are also very trendy and cool.  The food malls have a large variety to choose from, the is halal food for Muslims, which is very convenient and new. Last time I visited almost 2 years ago, the wasn't any halal places to eat. Now there is, which I am very happy about!  The staff are very helpful and friendly. The location is very easy to find, right next to Samseong station.  The mall is located in a very nice area, very up and coming!",44,much
45,16,354,"When we visited this mall I kept wondering: maybe it's just because I am an American. We walked and walked and walked and we never found really much of anything. It was very strange. And then we would find ourselves in a giant, empty convention-hall lobby? All malls in Korea are not like this: we found several other malls to be sensibly laid-out and easy to navigate. Not so at the COEX Mall.",45,much
46,17,364,"Very frustrating the way that it has been built it is quite a mess really. shops are everywhere you get lost and so spaced out , not much shops to buy from eventhough its huge took us so long from myeongdong to gangnam by taxi so much traffic and was a waste of time, not worth the visit",46,much
47,18,366,"I was an easy access from our hotel ( Oakwood premier coex) where you can find delicious food (Halal)😋, bakeries, 😘 sweets sand many 😍 shops to choose from. You can have your gifts from there like we did. 😊 Also it has an aquarium 🐠🐟🐡🐧🦀😌 which we enjoyed so much.",47,much
48,19,371,"This used to be one of my favourite areas to hang out in. There aren’t a large number of crowds, and the area is humongous anyway. However, I feel that the way the shops are laid out isn’t very well-planned. You’d find an area with food in one corner, walk for another 10 minutes and find another cluster of food stalls at another area. The signage/directions are rather confusing at times and the place is too big, it can be a pain if you are looking for a specific shop and realise you have to walk around 20 minutes just to get to it. The developers could have built more floors instead of having almost 95% of all the shops on the same level. There are a lot of international brands as well, so shopping isn’t particularly interesting for me. I feel that guidebooks tend to over-rate this place way too much.",48,much
49,20,374,This mall was enormous! Full of expensive shops and a little less expensive shops that you see everywhere else in Seoul. The aquarium was a point of interest but we did not go because it's too much and if I wanted to see fish I'd go diving instead lol. There's a huge K-Pop shop/museum connected to it that was interesting. Our group wanted to see the Kimchi museum but it was no longer in the mall anymore.,49,much
