,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,3, It is a traditional market for a long time and it was good to have delicious braised cutlassfish and grilled fish ,0,long,오랜만의 전통시장이라 맛있는 오징어조림과 생선구이를 먹을 수 있어서 좋았어요
1,1,1,22, After visiting after a long time I looked around the market and ate delicious braised cutlassfish and grilled samchi Today too Delicious braised cutlassfish and steamed egg ,1,long,오랜만에 방문해서 시장 구경하고 맛있는 오징어조림과 삼치구이 오늘도 맛있게 먹었던 오징어찜과 계란찜
2,2,2,37, Braised cutlassfish dinner at the alley It was nice to go to Namdaemun after a long time ,2,long,골목에서 오징어조림 저녁 오랜만에 남대문에 가서 반가웠어요
3,3,3,112, Seoul City Hall Seoul Station and Myeongdong It has a long history as a traditional market in Korea and Namdaemun the national treasure No 1 Namdaemun Market has souvenirs various wholesale and retail stores ,3,long,서울시청 서울역과 명동 오랜 역사를 자랑하는 한국의 전통시장이자 남대문 국보 제1호 남대문시장에는 각종 기념품 도소매점
4,4,4,126, Compared to rumors about dumplings the hassle of having to stand in long lines for jeans and a famous dumpling restaurant is a bit sad ,4,long,만두소식이라는 소문에 비하면 청바지를 사러 긴 줄을 서야 하는 번거로움과 유명 만두집에 비하면 조금 아쉽다.
5,5,5,132, Its been a long time since Ive seen a lot of people and lively ,5,long,오랜만에 사람많고 활기차게
6,6,6,149, long time no hear I liked that it was cheap to buy clothes ,6,long,오랜만에 옷 싸게 사서 좋았다
7,7,7,196, Its a fun city if you treat it properly and get along with it ,7,long,제대로 대하고 화합하면 즐거운 도시
8,8,8,209,The market feels a little dated but that may be its charm Huge number of stores lined up alongside roads and alleys Food options were limited when we visited on Sunday afternoon Fashion was a little previous generation Kalguksu and bibimbap were good,8,long,시장은 좀 오래된 느낌이 들지만 그게 매력일지도. 길과 골목에 엄청나게 많은 가게들이 늘어서 있다 일요일 오후에 방문했을 때 음식 선택권은 제한적이었다 패션은 조금 전세대 칼국수와 비빔밥이 좋았다
9,9,9,211, Ive been to Namdaemun Market in a long time It seems to be the same as in the old days but it hurts my heart to be quiet due to Corona so I hope those days when it was prosperous soon come ,9,long,남대문시장에 오랜만에 가보니 예전과 같은 것 같지만 코로나로 인해 잠잠해지니 마음이 아프네요 만사형통했던 날이 빨리 왔으면 좋겠습니다
10,10,10,224,Great place for street shopping must visit along with dondaemun which is like 3 km from here,10,long,3km 정도 거리에 있는 동대문과 함께 가볼만한 거리 쇼핑
11,11,11,226, After checkin at LEscape I wandered around to take a look Its been a really long time since Ive visited but there are places that are the same as before some places that are cleaner and its nice to see the ,11,long,LEscape에 체크인 후 둘러보기 정말 오랜만에 가봤는데 예전과 같은 곳도 있고 깨끗하고 보기 좋은 곳도 있어요
12,12,12,233, How long have you been going Early morning visit to Namdaemun Market Lets make shopping fun ,12,long,얼마나 다녀오셨나요 이른 아침 남대문시장 나들이 쇼핑을 즐겨요
13,13,13,287,"A local market where you can find many shops selling souvenirs, snacks and fashion. It includes many streets with different zones. Enjoy strolling along the streets.",13,long,"기념품, 스낵 및 패션을 판매하는 많은 상점을 찾을 수 있는 현지 시장입니다. 그것은 다른 구역을 가진 많은 거리를 포함합니다. 거리를 따라 산책을 즐겨보세요."
14,14,14,301,This market is ideally located and can easily be found . It is long stretch of market stalls that would fit everyone's liking. Prices here are affordable compared to other markets i've been to in Seoul. Vendors may not speak fluent English but will still accommodate every buyers inquiries.,14,long,이 시장은 이상적인 위치에 있으며 쉽게 찾을 수 있습니다. 모두의 취향에 맞는 가판대가 길게 늘어서 있습니다. 여기 가격은 내가 서울에서 가본 다른 시장에 비해 저렴합니다. 공급업체는 유창한 영어를 구사하지 못하지만 모든 구매자의 문의를 수용할 것입니다.
