,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,48,The mall is huge and you can buy almost anything you need. Parking is not difficult with payment deferred if you shop. The supermarket is also big and complete. Lines are not too long and there is a tax refund options if you bring your passport. You can spend the whole day here with a lot of food choices and variety of stores.,0,almost,쇼핑몰은 거대하며 필요한 거의 모든 것을 구입할 수 있습니다. 쇼핑하시면 결제 후불로 주차 어렵지 않습니다. 슈퍼마켓도 크고 완벽합니다. 줄이 길지 않고 여권을 지참하면 세금 환급 옵션이 있습니다. 다양한 음식과 다양한 상점에서 하루 종일 보낼 수 있습니다.
1,1,1,58,"Of course the store sells all the items expected of any and all high-end retailers which one can find almost anywhere in the world -- but the basement food hall and grocery store is worth the trip. Yes, you can purchase ""street foods"" and sit in the dining hall to consumer, or peruse the limitless items in the grocery to take home to cook yourself. Either way, foodies will love this place -- though we have found prices of identical grocery items to be a bit less expensive at the Shinsegae Department Store a few blocks away.",1,almost,"물론 그 가게는 세계 거의 모든 곳에서 찾을 수 있는 모든 고급 소매점에서 기대할 수 있는 모든 품목을 판매합니다. 하지만 지하 푸드 홀과 식료품점은 여행할 가치가 있습니다. 예, ""길거리 음식""을 구입하고 식당에서 소비자에게 앉히거나 식료품점에 있는 무한한 품목을 살펴보고 집에 가져가 직접 요리할 수 있습니다. 어느 쪽이든, 식도락가들은 이곳을 좋아할 것입니다. 우리는 몇 블록 떨어진 신세계 백화점에서 동일한 식료품의 가격이 조금 더 저렴하다는 것을 발견했습니다."
2,2,2,160,"We last visited here around two years ago and this is still a typical mega mall with branded apparel, bags, cosmetics and a duty free on the upper floor. Do note that some items in the duty free are much higher than what you can get for them in other stores like Shisegae, so shop around.  We loved the food court and supermarket in the basement though, and it had almost everything imaginable from vegetables to cakes and sauces and fruits, We bought a couple of punnets of strawberries for 8000 won each and they were sweet and ripe.",2,almost,"우리는 약 2 년 전에 이곳을 마지막으로 방문했으며 위층에는 브랜드 의류, 가방, 화장품 및 면세점이있는 전형적인 메가 몰입니다. 면세점의 일부 품목은 시세계와 같은 다른 상점에서 구입할 수 있는 것보다 훨씬 높으므로 주변에서 쇼핑하십시오. 우리는 지하에 있는 푸드 코트와 슈퍼마켓을 좋아했고 야채부터 케이크, 소스, 과일에 이르기까지 상상할 수 있는 거의 모든 것이 있었습니다. 우리는 각각 8000원에 딸기 두 개를 샀고 달콤하고 잘 익었습니다."
3,3,3,195,"I have to say that the entire Lotte World is not well designed. Maybe because I am a foreigner, I am used to things being designed for the masses, where everything that can go wrong, will go wrong, so you try to make things idiot proof for the first time visitor. Like, this whole complex, the department store, the amusement park, etc, are all integrated into downtown Seoul. Not the city center, but a side city, Songpa-gu. In other words, Lotte World is the majority of Songpa-gu. That being said, it is hard to figure out where Lotte World begins, and where it ends. There is no guidance on where to go. It is just there. Park somewhere, figure it out. No shuttles, no monorails, no people to tell you where to go. Just start walking and figure it out. But this is true of all of South Korea. All of the signs inside, like where to find the bathroom or this or that, only get you half way there. Seriously, you will follow a sign, and then there is no sign, and the thing you are looking for is nowhere to be found. It is the most frustrating thing I have encountered. It is almost like they said, we'll do you a favor, but not really. And that could not be worse in a city where the temperature and the humidity both hover around 90. You will need a shower before you find a drink of water.  Sticking to topic, the department store: So, the front entrance is kind of there where the hotel entrance is, and I see people getting off of buses, I guess for the amusement park. But where do I go? I just want to buy this damn toy helicopter that my girlfriend's kid who keeps asking for it over and over and over. So, inside, am I near the department store? Hell if I know. Finally, after wandering around, I find a long hallway that leads to some stores, and hey, there is a toys r us. I found the helicopter, but only after my friends bus had left. Different cultures, I guess.",3,almost,"롯데월드 전체가 잘 설계되지 않았다고 말씀드리고 싶습니다. 어쩌면 내가 외국인이기 때문에 잘못 될 수있는 모든 것이 잘못 될 수있는 대중을 위해 설계된 것에 익숙해 지므로 처음 방문하는 사람에게 바보 증명을하려고합니다. 마치 이 전체 단지, 백화점, 놀이동산 등이 모두 서울 시내에 통합되어 있는 것과 같습니다. 도심이 아닌 부도심, 송파구. 즉 롯데월드가 송파구의 대부분을 차지하고 있다. 그런데 롯데월드의 시작과 끝이 어디인지 알기 어렵다. 어디로 가야하는지 안내가 없습니다. 그냥 거기에 있습니다. 아무데나 주차하고 알아서 하세요. 셔틀도 없고 모노레일도 없고 어디로 가야 하는지 알려주는 사람도 없습니다. 그냥 걷기 시작하고 알아내세요. 그러나 이것은 대한민국 전체에 해당됩니다. 화장실이나 이것 또는 저것을 찾을 수 있는 곳과 같은 내부의 모든 표지판은 절반만 알 수 있습니다. 진지하게, 당신은 표지판을 따라갈 것입니다. 그러면 표지판이 없으며 당신이 찾고 있는 것은 어디에도 없습니다. 그것은 내가 만난 가장 실망스러운 것입니다. 그들이 말한 것과 거의 같습니다. 우리가 당신에게 호의를 베풀겠지만 실제로는 그렇지 않습니다. 온도와 습도가 모두 90도를 유지하는 도시에서는 더 나빠질 수 없습니다. 물을 마시기 전에 샤워가 필요합니다. 주제로 백화점: 그래서 정문은 호텔 입구가 있는 곳에 있고, 버스에서 내리는 사람들을 보니 놀이동산으로 가는 것 같아요. 하지만 어디로 가야합니까? 나는 계속해서 계속해서 요구하는 내 여자 친구의 아이가이 망할 장난감 헬리콥터를 사고 싶습니다. 그래서 안에, 나는 백화점 근처에 있습니까? 내가 안다면 지옥. 마침내 이리저리 돌아다니다 보니 가게로 이어지는 긴 복도가 있는데, 거기에 우리 장난감이 있습니다. 헬리콥터를 찾았지만 친구 버스가 떠난 후에야 찾았습니다. 문화가 다른 것 같아요."
4,4,4,198,"i bought a pair of ray ban sunglasses from the lotte department store in myeongdong. i assumed it was in perfect condition since it was a brand new pair and was KRW 240000 (and you'd assume for it to be of a certain quality). i started using it only a few days after it was purchased. that was when i noticed a manufacturing defect on the frame. there was a bubble under the frame coating which can only be attributed to a fault in the manufacturing process.  i brought it back for an exchange but it was stoically refused because any returns have to be done within a 2 hour time frame, even for products with manufacturing defects. needless to say i was pissed out of my mind and will never be purchasing anything from lotte department store again.  when i enquired about the warranty, they said i had to take it to the local dealership myself. no further information was given except it would take 20 days for the local dealership to decide on whether any rectification will be made. by which time i would've long left korea.  there is no customer service centre at lotte department store and when you have an after purchase problem with what you bought, all the previously eager beaver sales persons will shun you like the plague.  apart from the 2 hour storewide return policy, the salesperson also examined then pointed out very tiny, superficial marks on the frame (which i'd made accidentally) to further justify the need to adhere to the 2 hour return policy. seriously?! how would it matter unless the lotte staff were going to take the defective pair and resell it to the next unsuspecting tourist.  all the time during our conversation, she frequently asked for the sunglasses after which she'd try to scratch out the defect with her fingernails although i repeatedly asked her to stop it. she even tried to make off with it to somewhere else in the building to file the uneven frame coating down. like it's even possible and won't further damage the frame?!  almost everywhere in lotte, you will have the same lousy customer service. before you congratulate yourself on the marginal savings (if any) you've made by purchasing it there, think of all the unpleasantness you'll have to deal with if you find out a few days later that the product is defective. while tourist dollars are welcomed, all else (e.g. feedback, exchanges and returns) are not, even where the product was originally defective.  most purchases over KRW 30,000 are eligible for a tax refund but for all the saccharine sweetness of lotte salespersons (e.g. accompanying you to the cashier for their commission), not a single one will offer to print the tax refund form out for you even though you're obviously a tourist unless you specifically request for it with much difficulty in english. (the tax refund form has to be provided by the store in which you've made your purchases.)  try it if you don't believe me! for all it's worth, i'll rather pay a few dollars more and get it anywhere but in lotte! 1st world department store run by scam artists.  p.s.: my sunglasses are a lot worse for wear after the sales person's scrubbing and recounting my experience makes my blood boil.",4,almost,"나는 명동 롯데백화점에서 레이밴 선글라스를 샀다. 신품 240000원(어느 정도의 퀄리티라고 생각하시면 됩니다)으로 상태가 완벽하다고 생각했습니다. 구입한지 며칠 만에 사용하기 시작했습니다. 그 때 프레임에서 제조상의 결함을 발견했습니다. 프레임 코팅 아래에 기포가 있었는데 이는 제조 과정의 결함으로 인한 것일 뿐입니다. 교환을 위해 반품했는데 제조상의 하자가 있는 제품이라도 2시간 이내 반품을 해야 하기 때문에 단호하게 거절당했습니다. 말할 필요도 없이 나는 속이 상해서 다시는 롯데백화점에서 물건을 사지 않을 것입니다. 보증에 대해 물어보니 현지 대리점에 직접 가져가야 한다고 하더군요. 현지 대리점이 시정 여부를 결정하는 데 20일이 걸린다는 점 외에는 추가 정보가 제공되지 않았습니다. 그때쯤이면 나는 한국을 오래 떠났을 것이다. 롯데백화점에는 고객센터가 없고, 산 후 문제가 생기면 예전에 열광하던 비버 판매원들이 모두 역병처럼 당신을 피합니다. 2시간 매장 전체 반품 정책과는 별도로 판매원은 2시간 반품 정책을 준수해야 할 필요성을 더 정당화하기 위해 프레임에 매우 작고 피상적인 표시(내가 실수로 만든 것)도 조사했습니다. 진지하게?! 롯데 직원이 결함이있는 쌍을 가져 와서 다음 순진한 관광객에게 재판매하지 않는 한 그것이 어떻게 중요합니까? 대화하는 내내 그녀는 자주 선글라스를 요구했고, 나는 그녀에게 반복적으로 그녀에게 그만하라고 반복해서 요청했지만 그녀는 손톱으로 흠집을 긁으려고 노력했습니다. 그녀는 고르지 않은 프레임 코팅을 정리하기 위해 건물의 다른 곳으로 가려고했습니다. 프레임이 더 이상 손상되지 않는 것처럼! 롯데의 거의 모든 곳에서 똑같은 형편없는 고객 서비스를 받게 될 것입니다. 그곳에서 구입하여 얻은 한계 절감액(있는 경우)에 대해 축하하기 전에 며칠 후에 제품에 결함이 있음을 알게 되면 처리해야 할 모든 불쾌감을 생각해 보십시오. 관광 달러는 환영하지만 제품이 원래 결함이 있는 경우에도 다른 모든 것(예: 피드백, 교환 및 반품)은 그렇지 않습니다. 대부분의 3만원 이상 구매시 세금환급이 가능하지만, 롯데판매원의 사카린 단맛(예: 캐셔에게 수수료를 받고 동행)을 받음에도 불구하고 세금환급서를 출력해 주는 사람은 단 한 명도 없습니다. 영어로 많은 어려움을 겪고 특별히 요청하지 않는 한 분명히 관광객입니다. (세금 환급 양식은 구매한 매장에서 제공해야 합니다.) 믿기지 않으면 시도하십시오! 그만한 가치가 있기 때문에 몇 달러 더 지불하고 롯데가 아닌 곳에서 구입할 것입니다! 사기꾼들이 운영하는 세계 1위 백화점. p.s.: 영업 사원이 문지르며 내 경험을 이야기하면 피가 끓어오르고 나서 내 선글라스는 착용하기 훨씬 더 나쁩니다."
5,5,0,25,Already a good shopping center  but the goods on offer are already in the top league in terms of price If you dont have the money very loosely you wont find it,5,top,이미 좋은 쇼핑 센터이지만 제공되는 상품은 이미 가격면에서 상위 리그에 있습니다. 돈이 매우 느슨하지 않으면 찾을 수 없습니다
6,6,1,30,A lot of top brands at prices like anywhere else nothing special for my taste There is Duty Free but I dont know what is Duty Free,6,top,다른 곳과 같은 가격의 일류 브랜드가 많이 내 취향에 특별하지 않습니다 면세점이 있지만 면세점이 무엇인지 모르겠습니다
7,7,2,61,"This massive multi-floor department store stood across the street from my Seoul hotel, so I went over to check it out one day. It seemed to be a typical upscale store, similar to myriad others in the world, with many boutique shops and most prices on the high end. I noted many Korean-made items available. All floors looked well maintained and had nicely displayed merchandise. It was early November and the whole place was already beautifully decorated for the upcoming holiday season. I didn't interact with any employees so cannot comment on the staff and service.  The food court in the basement, however, brought me back to Lotte twice. I ate two very good dinners (Chinese and Korean) there and found the staff upbeat and pleasant. The cashier for the food court and at least one person at each order counter spoke good English. The area became crowded in the early evening, and I shared my table with a local resident on each visit. Both became lovely dinner companions as we discussed many topics, including what not to miss during my exploration of Seoul.  For those looking for good buys, I cannot recommend Lotte, based on what I saw. But there are plenty of other places nearby, such as Namdaemun Market with its estimated 10,172 stores. It offers bargains at many shops and provides a totally different experience from typical department stores",7,top,"서울 호텔 맞은편에 이 거대한 다층 백화점이 있어서 어느 날 가보기로 했습니다. 많은 부티크 상점과 대부분의 가격이 하이 엔드에 있는 세계의 무수한 다른 상점과 유사한 전형적인 고급 상점처럼 보였습니다. 나는 많은 한국산 품목을 볼 수 있다고 언급했습니다. 모든 층은 잘 관리되어 보였고 상품을 멋지게 전시했습니다. 11월 초였는데 벌써부터 다가오는 휴가철을 맞아 곳곳이 아름답게 장식되어 있었습니다. 나는 직원과 상호 작용하지 않았으므로 직원 및 서비스에 대해 언급 할 수 없습니다. 그러나 지하에 있는 푸드코트는 나를 두 번 롯데에 데려다 주었다. 나는 거기에서 아주 좋은 저녁 식사(중국어와 한국식)를 두 번 먹었고 직원들이 활기차고 유쾌하다는 것을 알았습니다. 푸드 코트의 계산원과 각 주문 카운터의 최소 한 사람은 좋은 영어를 구사했습니다. 그 지역은 이른 저녁에 혼잡해져서 방문할 때마다 현지 주민과 테이블을 공유했습니다. 서울을 탐험하는 동안 놓치지 말아야 할 것을 포함하여 많은 주제에 대해 토론하면서 둘은 사랑스러운 저녁 식사 동반자가 되었습니다. 좋은 물건을 찾는 사람들에게는 내가 본 것을 기반으로 롯데를 추천 할 수 없습니다. 그러나 약 10,172개의 상점이 있는 남대문 시장과 같이 근처에 다른 장소가 많이 있습니다. 다양한 매장에서 저렴하게 판매하고 있으며, 일반 백화점과는 완전히 다른 경험을 제공합니다."
8,8,3,75,not the top mall in Seoul but you can find everything in 1 place from food to clothes. the surrounding area is great.,8,top,서울 최고의 쇼핑몰은 아니지만 음식부터 옷까지 모든 것을 한 곳에서 찾을 수 있습니다. 주변 지역이 훌륭합니다.
9,9,4,81,"Amazing shopping center that seems to have anything that you wold need. It is really large so it can be quite hard to find specific items. We stopped by before heading off to get tteokbokki chips, among other things. They have empty boxes available at the checkout for carrying items. There is also tape and ribbon to pack the boxes. We essentially packed what we brought and left for the airport.",9,top,당신이 필요로하는 모든 것을 갖춘 놀라운 쇼핑 센터. 정말 크기가 커서 특정 항목을 찾기가 매우 어려울 수 있습니다. 우리는 무엇보다도 떡볶이 칩을 사기 위해 떠나기 전에 들렀습니다. 계산대에 물건을 실을 수 있는 빈 상자가 있습니다. 상자를 포장할 테이프와 리본도 있습니다. 우리는 본질적으로 우리가 가져오고 공항으로 떠났던 것을 포장했습니다.
